season,source_player_id,canonical_player_id,player_name,verification
1997,471,1489,Lionel Simmons,NBA BoxScoreTraditionalV3 game 0029600021
1997,775,511,Melvin Booker,NBA BoxScoreTraditionalV3 game 0029600976
