age,n_pairs,weight_sum,dOff_raw,dDef_raw,dRAPM_raw,dOff,dDef,dRAPM,cumOff,cumDef,cumRAPM
19,59,244096.0,1.1613478139748294,-0.475475358055847,1.6369484260291034,0.7374056839134309,-0.22832157896849534,0.9657113646466223,0.0,0.0,0.0
20,253,1179557.0,1.0082518962627496,-0.32927047103276913,1.3374628619049358,0.6250296536103644,-0.19847061473230548,0.8234860620436163,0.7374056839134309,-0.22832157896849534,0.9657113646466223
21,414,2042778.0,0.6005718639029791,-0.17988004912917605,0.7804565444703242,0.5156219358891425,-0.17006774180716447,0.685677335780158,1.3624353375237952,-0.4267921937008008,1.7891974266902386
22,611,2954871.0,0.4496478509552532,-0.1488508500032658,0.598502417533625,0.409051498018907,-0.1430592826438891,0.552100461095993,1.8780572734129377,-0.5968599355079652,2.474874762470397
23,821,3866937.0,0.1895049223713756,-0.2418115332626314,0.4313124837565236,0.30518939734791006,-0.11738769734745097,0.42256893937928675,2.2871087714318445,-0.7399192181518544,3.0269752235663896
24,875,4409700.0,0.14187348889947163,0.06626080980565573,0.07559799101979726,0.20390959071673398,-0.09299189811910973,0.2968956221336499,2.5922981687797546,-0.8573069154993054,3.4495441629456765
25,832,4411691.0,0.03488889634382825,-0.041336772679682256,0.07623782059985613,0.10508967013243373,-0.06980759881878199,0.1748937963589069,2.7962077594964887,-0.9502988136184151,3.7464397850793265
26,796,4348037.0,0.005933071636694903,-0.023916095930186405,0.02980274040906275,0.008611516091055427,-0.04776769366439123,0.05637821674663329,2.9012974296289222,-1.020106412437197,3.9213335814382333
27,755,4243781.0,-0.1704522219690413,-0.036837299097196595,-0.13362520262002214,-0.08563813790895895,-0.026802658784830107,-0.05883392805417529,2.9099089457199776,-1.0678741061015882,3.9777117981848664
28,679,3786509.0,-0.13814505630384083,0.05894053467191019,-0.1970703796029535,-0.17776723383962437,-0.00684097024125829,-0.17092212566794507,2.824270807811019,-1.0946767648864182,3.918877870130691
29,636,3420910.0,-0.2717838256487309,-0.00481049983776247,-0.2669630206582459,-0.267878012457172,0.012190467775044135,-0.2800617348708678,2.6465035739713945,-1.1015177351276764,3.7479557444627463
30,571,3018983.0,-0.3514386311549287,-0.005089876955252809,-0.34627834572105903,-0.3560667310292872,0.030365890583224694,-0.38642327070898963,2.378625561514222,-1.0893272673526322,3.4678940095918787
31,482,2463790.0,-0.61713066900994,0.0891900446060744,-0.7063425714042187,-0.44242347288434636,0.04776024206737688,-0.4901717828449053,2.022558830484935,-1.0589613767694075,3.081470738882889
32,390,1997690.0,-0.42824593205151945,0.03463991259905188,-0.46286706546060696,-0.5270320442143754,0.06444875014706236,-0.5914663275714481,1.5801353576005888,-1.0112011347020307,2.5912989560379835
33,304,1607303.0,-0.6670014315906833,0.07736956628588389,-0.7443632986437528,-0.609969951831427,0.08050651299266282,-0.6904595315253408,1.0531033133862133,-0.9467523845549684,1.9998326284665353
34,233,1189060.0,-0.43986710847223853,-0.05677473550535719,-0.3830322061123913,-0.6913084541340037,0.09600809958015497,-0.7872972429561323,0.44313336155478633,-0.8662458715623056,1.3093730969411945
35,181,863382.0,-0.7237599973128929,0.20428660546548344,-0.9281031026822425,-0.7711126764155042,0.11102716742523662,-0.8821182645260373,-0.24817509257921733,-0.7702377719821506,0.5220758539850622
36,125,594010.0,-0.9564853217959292,0.13263386306627833,-1.0890614619282508,-0.849441780855463,0.1256360996018923,-0.9750541600898096,-1.0192877689947215,-0.6592106045569139,-0.3600424105409751
37,68,320967.0,-1.018717858845302,0.16789479603822197,-1.1865712144862244,-0.9263491810779271,0.13990566247305813,-1.0662291267694433,-1.8687295498501846,-0.5335745049550217,-1.3350965706307847
38,45,187247.0,-0.2609288373111452,-0.00520640117064636,-0.2558259998825081,-1.0018827910290404,0.15390468497382948,-1.155759922918547,-2.7950787309281115,-0.39366884248196354,-2.401325697400228
39,22,83679.0,-1.422578137884057,0.3434272876109896,-1.7658893509721671,-1.0760852980973137,0.1676997598167935,-1.2437558422712947,-3.7969615219571518,-0.23976415750813407,-3.557085620318775
40,0,0.0,0.0,0.0,0.0,-1.1489944508471748,0.1813549666525751,-1.3303187246810648,-4.873046820054466,-0.07206439769134057,-4.8008414625900695
