context,coef,coef_per_100
rubber_band,-0.029263696408915414,-2.9263696408915414
home_effect,0.01967602366094091,1.9676023660940911
playoff_indicator,0.0016479691713044843,0.16479691713044842
season_1998,-0.03137559392690332,-3.137559392690332
season_1999,-0.05895970618191946,-5.895970618191946
season_2000,-0.047182165066294475,-4.718216506629448
season_2001,-0.05501462351739512,-5.501462351739512
season_2002,-0.04556261996245566,-4.556261996245566
season_2003,-0.053771384650683325,-5.377138465068333
season_2004,-0.06158974202656909,-6.158974202656909
season_2005,-0.032310360243119056,-3.2310360243119054
season_2006,-0.03171567109793971,-3.1715671097939713
season_2007,-0.026909741336436213,-2.6909741336436213
season_2008,-0.021266700311691276,-2.1266700311691276
season_2009,-0.013524720883147968,-1.352472088314797
season_2010,-0.012110876666855985,-1.2110876666855985
season_2011,-0.018923307136970633,-1.8923307136970633
season_2012,-0.03923030941106679,-3.923030941106679
season_2013,-0.025155426266684745,-2.5155426266684744
season_2014,-0.018749922245442283,-1.8749922245442283
season_2015,-0.025253787627035586,-2.5253787627035584
season_2016,-0.020025792944565024,-2.0025792944565026
season_2017,0.002186956184100743,0.21869561841007432
season_2018,0.004248662825557096,0.42486628255570963
season_2019,0.013965127986333472,1.3965127986333472
season_2020,0.01886634496705888,1.8866344967058881
season_2021,0.03141530356602143,3.141530356602143
season_2022,0.02656735302220209,2.656735302220209
season_2023,0.05091725123316586,5.091725123316586
season_2024,0.0526852041844181,5.26852041844181
