Player,Ridge Coefficient
2736_off,0.004203545030032299
2736_def,-0.014909981143846033
2430_off,-0.01013055725707093
2430_def,0.0017875930509932156
1737_off,-0.0030756220013586806
1737_def,-0.007371880465200665
202710_off,0.00228039764271374
202710_def,-0.020065731310698186
2550_off,-0.008317370105737295
2550_def,-0.00639244513716876
101161_off,-0.0003106574621164002
101161_def,-0.006887974524152321
201942_off,-0.0040127308986497995
201942_def,0.0009036808584451939
201189_off,-0.0047913612799736355
201189_def,0.002164837253923346
200768_off,0.02015864798358054
200768_def,-0.019193727229098744
200752_off,0.006061799667443489
200752_def,-0.006125457080411555
1888_off,-0.004110116052178561
1888_def,-0.0017014204712846018
101126_off,-0.003294708885223338
101126_def,-0.005032763913196061
203112_off,-0.012737543116024005
203112_def,0.00031076714671646384
101249_off,-0.011791694216743384
101249_def,0.0016730398007621281
101187_off,-0.007120674275647876
101187_def,-0.007732765476999947
202952_off,-0.003695565898251183
202952_def,0.0023718260953235243
201158_off,-0.005360529051895269
201158_def,0.014297544982879735
202323_off,-0.020606591432240647
202323_def,-0.013373786754253263
201950_off,0.004769603854764321
201950_def,-0.012580872072594073
2863_off,0.0007980073121182564
2863_def,-0.001327653279069368
201150_off,-0.008315418577178607
201150_def,-0.0033871994992505437
201152_off,0.005251848991004649
201152_def,-0.006265817514317395
2731_off,-0.0065495891343685456
2731_def,-0.004665085256258842
202066_off,-0.010414943823405342
202066_def,-0.0011459703063209392
201858_off,-0.010341208406304496
201858_def,-0.0005787764042047356
2403_off,-0.008679169770592885
2403_def,-0.020962848629269202
202322_off,0.01584758912241454
202322_def,-0.004427054769485371
202344_off,-0.0023288001999588635
202344_def,0.0019486161723903494
2748_off,-0.00169158963530421
2748_def,-0.00011618247217990967
203102_off,-0.0008433057778291327
203102_def,0.0020237814208245945
202338_off,-0.015396938162059585
202338_def,-0.0020391339662562116
201156_off,0.00601416803015836
201156_def,-0.0009777883105284593
202730_off,-0.002213489270519933
202730_def,-0.005026963258569148
202698_off,-0.0062020546183728445
202698_def,-0.00248273945083241
201985_off,-0.005091343119229156
201985_def,-0.0013096049872485032
203200_off,-0.000617058064604985
203200_def,-0.0009797856139976404
202686_off,-0.006999997177305669
202686_def,-0.0005361930696958534
2207_off,0.008876709740365508
2207_def,-0.0016845043694286945
201572_off,0.003204691053963476
201572_def,-0.007060451858431196
101114_off,0.0061827108638479985
101114_def,-0.0005354223200614768
2501_off,0.0031261873160714614
2501_def,-0.0008222807972654338
2586_off,0.001508497892941571
2586_def,0.0005910300041832838
201579_off,-0.007539873849650432
201579_def,-0.008666904362692825
2561_off,-0.004358977145358022
2561_def,-0.01575814794266698
201588_off,0.013182802561668877
201588_def,-0.017276750072863212
202331_off,0.010858288502256104
202331_def,-0.01973022088321094
202362_off,-0.0012921247673032949
202362_def,-0.003401413581403778
201946_off,-0.007779951865135215
201946_def,-0.005580152926175996
201228_off,-0.004304654125987535
201228_def,-0.0005027330621583303
711_off,-0.00027056771219386084
711_def,-0.0004592689284795556
201970_off,-0.006833737275876146
201970_def,-0.0009374022502328352
2743_off,-0.011336798618088787
2743_def,0.0018719504191111148
201571_off,-0.015491985744956945
201571_def,0.00820678227337984
101154_off,0.002449667577891973
101154_def,-0.0031023875679343513
101133_off,-0.024304516494248283
101133_def,-0.010688363238147263
203111_off,-0.006893593986099429
203111_def,-0.002430069880098446
2605_off,-0.005937488317593396
2605_def,-0.004015405450073501
101145_off,0.0073184655457784985
101145_def,0.0024337041982224975
200755_off,0.010629132680354505
200755_def,-0.006705426037296503
101141_off,0.0037328159165820433
101141_def,-0.0006052932233825027
203089_off,-0.016118919262513035
203089_def,0.0023598221082348323
2746_off,-0.008560108460376185
2746_def,-0.004930202102374356
201952_off,-0.00021884809711448405
201952_def,-0.01232081390900488
201143_off,0.00041502207752093365
201143_def,-0.006336605588226759
2594_off,0.0074690740410343626
2594_def,-0.01019400957368773
2734_off,0.003498246656408967
2734_def,-0.006687773542627745
2052_off,-0.0008182957011743367
2052_def,0.0018204544556762164
2399_off,-0.0027334989286503593
2399_def,-0.01449305267543098
203098_off,-0.007984781555837152
203098_def,0.002392922988188471
202327_off,-0.006588545100098671
202327_def,0.0016740319660972023
201601_off,-0.01876503877267006
201601_def,-0.00883221090626857
201274_off,-0.0066976167651057305
201274_def,-0.005705050304990968
202714_off,-0.003973954935489707
202714_def,0.0006384851840297445
202397_off,-0.0005101414452772394
202397_def,0.001785822682873632
2563_off,-0.003133321574558158
2563_def,0.0033483679416645437
202348_off,-0.004691805121311839
202348_def,-0.000267808799055607
201584_off,0.0017974497773193276
201584_def,0.002678118017862373
202340_off,0.0064366581752196145
202340_def,0.003177807606766057
201145_off,-0.014720387907270831
201145_def,-0.002622953906629835
101138_off,-0.006355773349005096
101138_def,-0.0024096079728575036
2547_off,0.0015887386894403034
2547_def,-0.005070288365325287
201596_off,0.004465153093000794
201596_def,-0.004175746365875253
2548_off,-0.00314267659380425
2548_def,0.0020413505503340743
2544_off,0.055365953772867335
2544_def,-0.01889359462268331
2034_off,-0.008619479460285429
2034_def,0.0009120843457618628
1891_off,-0.0036161136472856736
1891_def,-0.007299907065630745
1740_off,0.004216309136391515
1740_def,-0.0039534120757395465
951_off,0.010858739456657267
951_def,0.0007407378068486923
101183_off,0.00214670631840933
101183_def,0.00023955386808208418
2365_off,-0.0033750314466778355
2365_def,-0.009079506499422898
202708_off,-0.0015224818166631872
202708_def,-0.0030500350482727994
201944_off,-0.002036878757377892
201944_def,-0.0015163441806520079
2404_off,-0.0005893156210304873
2404_def,-0.0002513306352013508
2592_off,-0.007321066128211366
2592_def,0.002699118902281672
201202_off,-0.0038437639290292446
201202_def,-0.00359403375400699
436_off,-0.00020683464599043167
436_def,8.464941457438458e-08
201591_off,-0.00041842334533941973
201591_def,-0.0005704567531549172
202689_off,0.005159635308004671
202689_def,-0.00046856816037393656
202687_off,-0.011313336312199268
202687_def,-0.003842973545078337
203077_off,0.002417740511668541
203077_def,-0.01102089576105698
201945_off,-0.009721441116576218
201945_def,-0.001317536548511498
201177_off,0.0017555491235611358
201177_def,-0.0018859422943874836
203083_off,0.007148545578371907
203083_def,0.0043304353025607175
202713_off,-0.005932587923977818
202713_def,-0.002219854514312397
202688_off,-0.008838321560305762
202688_def,0.005416522049466086
201155_off,-0.00417306194094085
201155_def,-0.00017254857767910132
202328_off,0.013622826656748386
202328_def,0.0021952044859380997
201973_off,0.0010743403381987368
201973_def,-0.00220786932286557
202399_off,0.001927066373882041
202399_def,0.003345854032217633
101198_off,-0.0036016002980410553
101198_def,0.007728397978387327
2732_off,-0.007731998481622003
2732_def,0.007265909693237875
203114_off,0.005191690047956059
203114_def,-0.009586964605674675
2457_off,-0.0021744060221831054
2457_def,0.004132441435556696
101111_off,-0.0019966294714959046
101111_def,0.007228209656107964
203119_off,-0.002652072168786621
203119_def,0.002314390555969847
203106_off,-0.012319783692981156
203106_def,0.0014859291149837246
200748_off,-0.0019191038501583403
200748_def,0.0009918902444217064
203139_off,-0.003438745059136082
203139_def,9.91084117601312e-05
202697_off,0.0032531819758877733
202697_def,-0.018818801094882986
203142_off,0.006731963713013918
203142_def,0.000910194572500072
203143_off,-0.003147269973955845
203143_def,-0.013741072213877697
2546_off,0.013675543448439045
2546_def,0.0014796532784931682
101109_off,-0.0004776749995624924
101109_def,-0.0017899647391789789
201961_off,-0.004571938037937729
201961_def,-0.001184250730749462
203092_off,-0.012006890946852086
203092_def,-0.0023506997996284662
202684_off,0.004555390004899248
202684_def,-0.005693162259883941
202681_off,0.025807069463387053
202681_def,0.013235363138752128
202087_off,-0.014085546792170904
202087_def,0.0014413006762889666
2747_off,0.014151812487166482
2747_def,-0.009553047056903798
2733_off,0.009709135065274911
2733_def,-3.8705339414564345e-06
200780_off,-0.0016320591659373688
200780_def,-0.0011941929294992518
467_off,-0.00022766065677322494
467_def,-0.007914226008306017
201956_off,0.0006833237488154799
201956_def,-0.00098203317957254
200779_off,0.005078329782393972
200779_def,0.001555953369012551
201578_off,-0.00816195431265545
201578_def,0.0031226588260077418
203158_off,0.000352468805025264
203158_def,-0.0008324490678384679
200778_off,-0.001002376804627791
200778_def,0.002412707015196571
200809_off,-0.0009911997186151781
200809_def,-0.0011665925551887074
101108_off,0.028601163400015978
101108_def,-0.019252454748417174
201599_off,0.01645630081661842
201599_def,-0.006025602434969097
2406_off,-0.007775078538403179
2406_def,0.007494401229222953
2584_off,-0.011232610079498882
2584_def,-0.0028312302504053767
201933_off,0.012476941609203438
201933_def,-0.005739641865790465
201577_off,-0.0027404489592391165
201577_def,-3.0087032030324965e-05
203148_off,-0.01062221565625176
203148_def,0.0032932856943710207
201569_off,0.013586860328463382
201569_def,0.0034209421123808986
202329_off,0.0013298112645834942
202329_def,-0.012167327296750498
201583_off,0.02026183368897989
201583_def,0.0076633192341426445
2037_off,0.0031112658644254416
2037_def,0.0018442935622922506
202333_off,-0.0041333011179740566
202333_def,-0.001897520349830826
2440_off,0.003923530515693777
2440_def,-0.00038010026129737336
200797_off,-0.006228971793915677
200797_def,-0.0033167933527642156
1885_off,-0.0002965579901941764
1885_def,-0.007685376831228255
2427_off,0.0030876315148487803
2427_def,0.0020391130136169864
202339_off,0.006170675805667871
202339_def,-0.011221642556070806
200811_off,-0.006374260210988645
200811_def,-0.0008384211450536337
203121_off,-0.003921981105132364
203121_def,-0.003493504874364771
2216_off,-0.0047403254096043505
2216_def,-0.005637034013254362
2419_off,-0.007004683018015716
2419_def,-0.012715443849819685
201188_off,-2.49296797012074e-05
201188_def,-0.011485149587956349
2754_off,0.0021484453347925207
2754_def,-0.021844885526042804
201144_off,0.01563048053751716
201144_def,-0.01937315095554707
101128_off,-0.0007124645381471278
101128_def,-0.004517616051189542
202962_off,-0.007468152211406935
202962_def,0.0029742359973348375
202391_off,-0.004949300562627499
202391_def,-0.006657963289808225
201935_off,0.028068072469762975
201935_def,-0.002193628101549804
201600_off,-0.005598424527952411
201600_def,-0.008094956137139151
2568_off,0.0030017446979706914
2568_def,-0.003931992242338746
203093_off,0.0011578926509627548
203093_def,0.006935855355137543
202347_off,-0.0036757115755490254
202347_def,-0.007392740893922215
201976_off,0.016232853966749672
201976_def,-0.0018429153081891108
201573_off,-0.006777649073813253
201573_def,-0.0025662160684044566
2039_off,-0.0012002852091393514
2039_def,0.0003177135836148133
202334_off,-0.0038944090728349895
202334_def,0.004659383505606034
202700_off,-0.007466748977331774
202700_def,-0.0031115979893466964
201948_off,-0.0034966696262301003
201948_def,0.001953220266258739
