Key,Coefficient
203967_off,0.0076197358751561904
203967_def,-0.007659998250420884
1627732_off,-0.006036855670504389
1627732_def,-0.007219248367366109
203954_off,0.021051392897560108
203954_def,-0.029433969114618673
203496_off,0.013019227950931985
203496_def,-0.014706371084335599
1628365_off,-0.004492138821832882
1628365_def,0.005033713915580828
201143_off,0.008882688066588177
201143_def,-0.014074299900594183
202330_off,0.020183493600570254
202330_def,-0.012198341185774236
1627759_off,0.003802716082566356
1627759_def,-0.0009603962181158549
1628369_off,0.027722149288305076
1628369_def,-0.026709930692812175
202681_off,0.028013574709888592
202681_def,0.00793277138808845
101161_off,-0.004424271671443068
101161_def,0.005835572870829855
200755_off,0.0181471019727973
200755_def,0.004525647907674003
1626179_off,-0.021104370978016037
1626179_def,0.016803089502432724
202694_off,0.013345613611935035
202694_def,0.01513655280899281
204456_off,0.011425094860501342
204456_def,0.013295678256810944
203935_off,-0.0024777495511061655
203935_def,-0.014017493138799816
203382_off,-0.0033429671464267944
203382_def,0.0028660870521263044
1629013_off,0.008325608329312808
1629013_def,0.009646116277595308
1628464_off,0.010960312647354913
1628464_def,-0.0018063257161398693
1628413_off,-0.004946182807625192
1628413_def,0.0013016916021232835
1627788_off,0.008390695522341474
1627788_def,-0.008840005210603808
1628400_off,-0.011328021679155078
1628400_def,-0.011502617901408465
1627824_off,-0.008293987140676917
1627824_def,0.00027755819693272546
202954_off,-0.008046357232404523
202954_def,-0.01914232446740977
202335_off,-0.009032586332605981
202335_def,-0.01218958166891126
202331_off,0.03418213797730014
202331_def,-0.033947794539894535
203500_off,0.020832922701629664
203500_def,-0.0020963119363573077
203471_off,0.007740123799477297
203471_def,-0.014322788985904613
1628390_off,0.00017667004563008844
1628390_def,0.010429480117572795
1627745_off,-0.007516000779438999
1627745_def,0.02749204046390971
202691_off,0.009669498807255943
202691_def,0.004395597683482197
203110_off,0.010824417761659667
203110_def,-0.017305157983553938
201142_off,0.04468478202329282
201142_def,-0.012815087624444025
201939_off,0.046121425638356056
201939_def,-0.012891278704132555
1626172_off,0.014453818524073323
1626172_def,0.003624156183475918
203518_off,-0.007374863379643588
203518_def,-0.01289320190613448
203924_off,-0.0002563899038492628
203924_def,-0.003968116207635839
2738_off,-0.008220343672880876
2738_def,-0.01975421038228065
101109_off,-0.004546917777627353
101109_def,-0.006736495367286157
203457_off,-0.013537477613515753
203457_def,-0.010534752697443339
1626188_off,0.0024325761421908083
1626188_def,0.015000395568917775
1628977_off,0.005085231461294457
1628977_def,-0.0038538978712058525
2733_off,0.0006204657345326879
2733_def,-0.005049451673865791
1628395_off,-0.006393592797304215
1628395_def,0.003641604644830905
1628035_off,-0.0014147141094254477
1628035_def,0.0019250494049855341
201973_off,0.007734659009948691
201973_def,-0.004906702629194099
203507_off,0.019813293485126008
203507_def,-0.039002695413255586
202339_off,0.022947052421744857
202339_def,-0.001203027767486441
201572_off,0.01738978531677082
201572_def,-0.016149831004510576
1627763_off,0.015231885103542914
1627763_def,-0.013353260220070984
203114_off,0.018520258902816687
203114_def,-0.00500716553667186
203087_off,0.010346649531354604
203087_def,0.00735992927893952
101107_off,0.0018343800227607573
101107_def,0.0036540378316635307
202689_off,0.030981699050585385
202689_def,0.0017028171193235572
201587_off,0.012013432158596108
201587_def,-0.01081096269911211
203469_off,0.011393742651144755
203469_def,0.006232084084781351
1628978_off,0.022141015950758167
1628978_def,-0.013088262259823347
203089_off,-0.0072207854821150115
203089_def,-0.009648792864442098
101141_off,0.00538944207866136
101141_def,-0.004706238896581026
1628370_off,-0.008513903763622887
1628370_def,0.009850446747736033
1626195_off,0.007750946033866617
1626195_def,0.023889385428983993
203077_off,-0.0033247813293318176
203077_def,-0.013385953890204702
2225_off,-0.0026317658292154063
2225_def,-0.003720259542634955
1628970_off,0.005916545382553043
1628970_def,0.014756843505189231
203503_off,-0.005710041125406648
203503_def,-0.001388196871400648
1626174_off,0.016109524621852635
1626174_def,-0.004519860352543694
1628425_off,-0.005617179359447474
1628425_def,0.0036766806271768386
201162_off,0.007404554209922342
201162_def,-0.0021075176628424196
203925_off,0.026898692037336698
203925_def,-0.0008741217847281437
1628386_off,0.009020412473768223
1628386_def,0.0013258771758070439
1626156_off,0.004007727098808845
1626156_def,0.014214274099858565
1627747_off,0.00848628503517975
1627747_def,0.006307022980896449
1628971_off,-0.00320476823771884
1628971_def,-0.0014929608370446623
1628379_off,0.010695289013568435
1628379_def,0.027802587121796916
203083_off,0.01157386012791272
203083_def,-0.012863682881953458
202704_off,0.030168325555637986
202704_def,0.003269927839679312
201933_off,0.0014252185712723458
201933_def,-0.002296692665721171
204038_off,0.007767005853499373
204038_def,0.0044241996458852795
203915_off,0.00497981704373955
203915_def,0.0004150113955260766
1626203_off,-0.005401389156356057
1626203_def,0.00209684980598103
203922_off,-0.00758745666785581
203922_def,0.021927514670296668
202334_off,-0.01742983178715985
202334_def,-0.020952612417164222
1629066_off,-0.009977857701946593
1629066_def,-0.006433922997008858
202397_off,0.0033989703076328713
202397_def,-0.001909572969488645
2585_off,-0.011561101825226234
2585_def,-0.010828418317262117
1629155_off,-9.386041131667843e-05
1629155_def,-0.00018927610546122433
202718_off,-0.008268552872045386
202718_def,-0.001063891290119953
202066_off,0.0021479160347566075
202066_def,-0.017842454536504532
201188_off,-6.541684276405775e-06
201188_def,-0.026025464470946075
203210_off,-0.004082498618568215
203210_def,-0.002487371591355495
201144_off,0.012004337810707361
201144_def,-0.009775047453005292
1626167_off,-0.009678208617306127
1626167_def,-0.018169072733108194
201152_off,0.0139521548753112
201152_def,-0.005197763857417614
203506_off,-0.009016550142024335
203506_def,-0.013005079076759574
201954_off,0.007804298722947364
201954_def,-0.0029193824930408064
202711_off,0.018046107350606067
202711_def,-0.002334999000408417
1628991_off,-0.015334186375838487
1628991_def,-0.0025664238396658607
203937_off,-0.02351228141330415
203937_def,-0.01319798890670475
1627734_off,0.00113294038418527
1627734_def,-0.0057473425010131675
1628415_off,0.0120439929516137
1628415_def,-0.005523427162753577
202714_off,-0.018383711329189104
202714_def,0.006413741091818688
201936_off,-0.004982798704468281
201936_def,-0.004968660202815713
1628388_off,-0.006936174780329681
1628388_def,-0.011559387673557542
202709_off,-0.012429987175346451
202709_def,-0.004208861635158664
203926_off,0.016415903761670188
203926_def,-0.0023587488449112095
202705_off,-0.008882033374031073
202705_def,-0.005011011595604596
1627782_off,-0.009900841006723483
1627782_def,0.013934699576972525
203124_off,0.000922733598884281
203124_def,0.020451871692906916
1628410_off,-0.005463646098801371
1628410_def,0.010146116557857545
1628988_off,0.018379763940891816
1628988_def,0.004222028864608242
1627884_off,-0.014752119398917282
1627884_def,0.00432502008495236
202355_off,0.0001931078720718916
202355_def,-0.008213158492695598
1626196_off,0.009375660732496476
1626196_def,-0.01159098998355093
201609_off,0.018448828520191977
201609_def,-0.010856851401152624
203585_off,-0.006919011242017768
203585_def,0.0022993442665762524
202696_off,0.0035891323071375065
202696_def,-0.0005809865415495402
201571_off,0.005586419320659506
201571_def,-0.0012962082478651712
1628371_off,-0.0003017613920262682
1628371_def,-0.024990216788452035
203095_off,0.015338420219680649
203095_def,0.01530164961991943
203932_off,0.021179223662748648
203932_def,-0.013673465111546221
2548_off,-0.013063393748549009
2548_def,-0.006070971289316965
204020_off,-0.01412096613706503
204020_def,0.007367538830629641
203082_off,-0.0171836553425111
203082_def,-0.0009394142825581935
1628964_off,-0.017934104510971414
1628964_def,-0.00418044643607103
1628389_off,0.014455550255875473
1628389_def,-0.018131749838492636
203482_off,0.010817172385408531
203482_def,0.0025131447011531006
203613_off,-0.013279229394413119
203613_def,0.0008887713481158861
1626170_off,-0.007838769258774346
1626170_def,0.0013174981159368702
1713_off,-0.01981234443454962
1713_def,-0.003999367998291787
203145_off,-0.017314840183272093
203145_def,-0.025791750771987063
1627752_off,-0.0035547635120839163
1627752_def,0.009461024318673374
203458_off,-0.01802104761926894
203458_def,-0.006475353141852115
1629027_off,0.040581862668412856
1629027_def,0.03187609136230642
202683_off,0.030294474049176876
202683_def,0.010121027380436087
203504_off,0.01633381343618584
203504_def,0.010077855874333344
1628373_off,-0.014876111381121425
1628373_def,-0.01173617852615046
202498_off,-0.01647217714180485
202498_def,0.003543740386618324
203501_off,0.011907717329667014
203501_def,0.015386022020652469
1627816_off,-0.004043317031142191
1627816_def,0.0036669882189099136
202391_off,-0.018356355141242515
202391_def,-0.002793795376445099
1627761_off,-0.015549652564494261
1627761_def,0.0033636736209128083
203101_off,-0.0046251281319119675
203101_def,0.005168967569157876
1628995_off,-0.036213346512429946
1628995_def,0.016700753937478025
1627758_off,-0.009308318843929245
1627758_def,-0.002973517317069236
1629011_off,-0.003103600567535391
1629011_def,-0.0172351616875577
1629019_off,-0.014592537677874252
1629019_def,0.00604643738249864
1628416_off,0.0014450399960212847
1628416_def,0.007310261771560174
203943_off,-0.005815066791979331
203943_def,0.00023185125842021002
1626209_off,-0.02470210053966754
