col_idx,key,coef,block,zero_penalty,target_penalty,target
0,2544_off,0.04411146347325343,off,0.0,3000.0,0.04018551202998931
1,2544_def,-0.023728381327529302,def,0.0,3000.0,-0.01319888258416886
2,2738_off,-0.004314583814280628,off,0.0,3000.0,-0.0048670044308367225
3,2738_def,-0.013791394545695989,def,0.0,3000.0,-0.02106315994918202
4,101108_off,0.014111728831140572,off,0.0,3000.0,0.004852358759932979
5,101108_def,-0.03034988401922454,def,0.0,3000.0,-0.036105463077494945
6,200765_off,-0.032165601597900086,off,0.0,3000.0,-0.0290854361999981
7,200765_def,4.0783956295566944e-05,def,0.0,3000.0,-0.0015454210626011829
8,200768_off,0.005746188188955348,off,0.0,3000.0,-0.004715704703110938
9,200768_def,-0.019970573488234174,def,0.0,3000.0,-0.01994146712936756
10,200782_off,0.012813693722930702,off,0.0,3000.0,0.008560171040791886
11,200782_def,-0.013507009424002429,def,0.0,3000.0,-0.00536490669798112
12,200794_off,-0.010863192696400436,off,0.0,3000.0,-0.011362695680499975
13,200794_def,-0.0013388204567173058,def,0.0,3000.0,-0.001898854645448154
14,201142_off,0.04849964832953604,off,0.0,3000.0,0.039371509801460654
15,201142_def,-0.018788561947216856,def,0.0,3000.0,-0.030825585833624554
16,201143_off,0.01574663470473197,off,0.0,3000.0,0.014075672188781398
17,201143_def,-0.02034974336905443,def,0.0,3000.0,-0.014189248318877235
18,201144_off,0.002961332625033837,off,0.0,3000.0,0.015590572305102877
19,201144_def,-0.011863366972273718,def,0.0,3000.0,-0.009373306706781109
20,201145_off,-0.014270252204249973,off,0.0,3000.0,-0.016082540020517143
21,201145_def,0.01137525157944605,def,0.0,3000.0,0.00881460289708607
22,201152_off,-0.007570004157476109,off,0.0,3000.0,-0.007898328514726998
23,201152_def,0.0005003758463756456,def,0.0,3000.0,0.002547211111511266
24,201566_off,0.002202080089733864,off,0.0,3000.0,-0.006622794835468191
25,201566_def,0.005206422320857927,def,0.0,3000.0,0.0012068735200575884
26,201567_off,-0.0007622225673675266,off,0.0,3000.0,-0.0005298363145483575
27,201567_def,-0.011156127624523789,def,0.0,3000.0,-0.01270247892779053
28,201568_off,0.0061562854626744075,off,0.0,3000.0,0.012294962972790426
29,201568_def,0.007601667200088783,def,0.0,3000.0,0.008965370295399101
30,201569_off,0.0008495408462956854,off,0.0,3000.0,0.0025461934098209233
31,201569_def,0.0011720274546819075,def,0.0,3000.0,-0.004210663696715459
32,201572_off,-0.022383503090930762,off,0.0,3000.0,-0.011936776653889208
33,201572_def,-0.024814342545564663,def,0.0,3000.0,-0.04055728259924798
34,201580_off,-0.015393807877893467,off,0.0,3000.0,-0.014891819445815453
35,201580_def,-0.009036140792761048,def,0.0,3000.0,-0.010985610550742325
36,201586_off,-0.022774673872988434,off,0.0,3000.0,-0.023042493521518295
37,201586_def,-0.004049695868423381,def,0.0,3000.0,-0.004727013587480287
38,201587_off,-0.0007299862200878197,off,0.0,3000.0,0.008626457502197558
39,201587_def,-0.011404301323791617,def,0.0,3000.0,-0.013054273032338595
40,201588_off,-0.008601106065169804,off,0.0,3000.0,-0.002393117375404152
41,201588_def,-0.04780067208718997,def,0.0,3000.0,-0.05185243573521378
42,201599_off,-0.03326673115752921,off,0.0,3000.0,-0.03109036977135603
43,201599_def,0.015297088614573257,def,0.0,3000.0,0.012362891733427256
44,201609_off,0.008496360010601963,off,0.0,3000.0,0.0042592549635624265
45,201609_def,0.006100990552848582,def,0.0,3000.0,0.00531922440028533
46,201933_off,-0.008340197382875997,off,0.0,3000.0,-0.010164382669494062
47,201933_def,0.0029937376609847533,def,0.0,3000.0,0.001957995415945556
48,201935_off,0.03097879662920865,off,0.0,3000.0,0.033926781852795136
49,201935_def,0.004322654908542256,def,0.0,3000.0,0.005213229204793124
50,201937_off,-0.016430010164902285,off,0.0,3000.0,-0.013485356826125896
