key,coef
101108_def,-0.036105463077494945
101108_off,0.004852358759932979
101139_def,0.0008545064708332674
101139_off,-0.0004551687257755944
101150_def,-0.002923509692382736
101150_off,-0.0024205357623647214
1626144_def,-0.00022332706760361688
1626144_off,-0.002937778361292283
1626145_def,0.010168570995270049
1626145_off,0.015988331611267958
1626147_def,0.009818823273147677
1626147_off,0.005538143027726689
1626149_def,-0.022981640236451724
1626149_off,0.004137376836501413
1626153_def,-0.03132857847651182
1626153_off,0.0038336542906557258
1626156_def,-0.0021542236835894123
1626156_off,0.009908287787447626
1626157_def,-0.01250883874139089
1626157_off,0.024441188757028116
1626158_def,0.002991679480842989
1626158_off,-0.0187925087211339
1626159_def,-0.02019585446513833
1626159_off,0.0010267854634809239
1626161_def,-0.009427671232304053
1626161_off,-0.008361700996376653
1626162_def,0.006001987896980004
1626162_off,-0.007494887581663825
1626163_def,-0.007634813746448729
1626163_off,-0.0028986228643210657
1626164_def,-0.005978074390924305
1626164_off,0.05286121764888002
1626166_def,-0.006523440923092727
1626166_off,-0.004377686016936532
1626167_def,-0.02207352198741168
1626167_off,0.021977744546699925
1626168_def,0.003323762587773987
1626168_off,0.009938418316408236
1626169_def,0.02199695902684317
1626169_off,0.012535736658747127
1626171_def,0.003339459027655547
1626171_off,0.011195916085971307
1626172_def,-0.003731269987352416
1626172_off,0.023025012915488145
1626174_def,0.013834140434724517
1626174_off,-0.012752978437699972
1626179_def,0.006617572209742934
1626179_off,-0.004089847090328444
1626181_def,0.018439408024169702
1626181_off,-0.011012909524661664
1626192_def,0.012061421474770477
1626192_off,-0.014024585695478584
1626195_def,0.006963943498614287
1626195_off,0.004031954354233305
1626196_def,0.0071468971757103665
1626196_off,-0.007499323766137357
1626204_def,-0.018339262357307026
1626204_off,0.002037492866913508
1626208_def,0.002160203035605257
1626208_off,-0.0038794451067445668
1626220_def,-0.01691003399802979
1626220_off,0.0023800072670631892
1626224_def,0.009882578927110567
1626224_off,-0.007287761764252926
1626246_def,-0.012722325630792173
1626246_off,-0.0036270970011425124
1627732_def,-0.003268048666979429
1627732_off,-0.0007886226997793569
1627734_def,-0.014740781667521949
1627734_off,0.01600713036141957
1627736_def,0.005920735250502168
1627736_off,-0.00896152683311675
1627737_def,-3.0099437855951408e-05
1627737_off,-0.0030425422804120877
1627739_def,0.0065647308713359725
1627739_off,0.015980630284676584
1627741_def,0.008342987246288567
1627741_off,0.008137804061754053
1627742_def,-0.019618924089125998
1627742_off,0.017533082046887503
1627745_def,0.0048905451992461695
1627745_off,-0.02994937995198174
1627747_def,0.0048458327540837984
1627747_off,-0.0010898346912352494
1627749_def,-0.005047603537335207
1627749_off,0.01345732915745483
1627750_def,0.0036252561056538163
1627750_off,0.011753761152722164
1627751_def,-0.0065264117931368906
1627751_off,0.013304398765049213
1627752_def,0.013824438516434681
1627752_off,0.0009323396737300558
1627756_def,0.0017423415259711454
1627756_off,-0.005299686041937179
1627759_def,-0.01068634389527353
1627759_off,-0.002356569375518267
1627760_def,0.0015243265843211517
1627760_off,-4.663025155752749e-05
1627761_def,0.007702266160834399
1627761_off,-0.0010406651822252521
1627763_def,-0.005933427361184885
1627763_off,0.0018574034255962662
1627767_def,0.005197746820904975
1627767_off,-0.004285745486689129
1627774_def,0.005291875371309716
1627774_off,0.002986585145945143
1627777_def,0.004893904701091847
1627777_off,-0.0034251413833818515
1627780_def,-0.023109250941462767
1627780_off,0.015390176913127884
1627782_def,0.001928353763191522
1627782_off,-0.0023201077107043843
1627783_def,-0.003263309540988532
1627783_off,0.026866002981859656
1627788_def,-0.016689815883132605
1627788_off,-0.014544453081778987
1627789_def,0.006534569069420054
1627789_off,-0.0072255671867515
1627814_def,-0.016428568770453233
1627814_off,-0.013338862770671908
1627820_def,0.005186217130742948
1627820_off,-0.00017290006678703833
1627822_def,0.0012033754936882624
1627822_off,-0.0003928471235713021
1627823_def,0.012455444051930954
1627823_off,0.009846402655484815
1627826_def,0.0013285228957612553
1627826_off,-0.008499738478139212
1627827_def,-0.010464272843107785
1627827_off,-0.0016100725965715306
1627832_def,-0.027033204073459608
1627832_off,0.023581082682870545
1627846_def,-0.00634976989134214
1627846_off,-0.009308653870157729
1627853_def,-0.009401448437474971
1627853_off,-0.010686085178299125
1627854_def,-0.0006432602353113169
1627854_off,-0.012901122213221546
1627863_def,-0.012324383118763455
1627863_off,-0.0025093979150097403
1627884_def,-0.020212818113379254
1627884_off,-0.0034162241258618212
1627885_def,-0.003082734174486548
1627885_off,-0.002289205688967947
1627936_def,-0.04722573412189033
1627936_off,-0.011210515431335747
1628021_def,0.014592142970884047
1628021_off,-0.010512981499074455
1628035_def,0.01315374842706157
1628035_off,0.00044940463794500345
1628221_def,0.0004277966140140781
1628221_off,0.002501504183666154
1628238_def,0.0
1628238_off,0.0002996098053123888
1628365_def,-0.0066694059613256786
1628365_off,-0.010681966985534022
1628366_def,-0.017507769705215347
1628366_off,-0.006353052671875646
1628367_def,-0.0005637379786467108
1628367_off,-0.00813146768454217
1628368_def,0.0006871438112824354
