Player,Ridge Coefficient,Bayesian Coefficient
101107_off,-0.008258167683799065,0
101107_def,-0.003638443495635344,0
1710_off,0.009475050201431703,0
1710_def,0.018188266092075907,0
2207_off,0.033833574176089065,0
2207_def,0.0039060201743284727,0
201143_off,0.01241610411851649,0
201143_def,-0.00796562439432255,0
2230_off,-0.017594761222351117,0
2230_def,0.010441414934589858,0
200793_off,0.0006812425294886778,0
200793_def,5.8405171356557294e-05,0
201580_off,0.006612289998044089,0
201580_def,0.021382851364960834,0
2406_off,0.01128950120691405,0
2406_def,0.0014412652167634088,0
1712_off,0.02186664729172752,0
1712_def,0.02911739315258475,0
2052_off,-0.01709303655120649,0
2052_def,0.005053185489767907,0
1498_off,-0.012679792058284211,0
1498_def,0.020161989129731005,0
101154_off,-0.0020120614150317025,0
101154_def,-0.0034206248438659373,0
200780_off,-0.028371575928820007,0
200780_def,-0.0019329912871530938,0
201151_off,-0.005161783680420906,0
201151_def,0.004529827818818299,0
2436_off,0.017730674569438512,0
2436_def,-0.006558806663937655,0
2443_off,0.0011731213117823227,0
2443_def,0.003685858254423126,0
201156_off,-0.0017282427261871422,0
201156_def,-0.005299512149045579,0
201187_off,-0.012924008091364096,0
201187_def,0.014699396829763227,0
2041_off,-0.01300409650590195,0
2041_def,0.010683756450253592,0
201238_off,-0.006132503293435821,0
201238_def,-0.0001252930354913772,0
1885_off,0.025110149059602672,0
1885_def,-0.03323515766408386,0
2575_off,0.0033466640795615323,0
2575_def,-0.014795183034436625,0
965_off,0.01911418138872412,0
965_def,0.0009078360277229814,0
2200_off,0.029020943186797446,0
2200_def,-0.0008074325503353467,0
977_off,0.04409521077021733,0
977_def,0.00172578729595518,0
708_off,0.006231337619308583,0
708_def,-0.04950080394715192,0
2570_off,-0.0023698535301146565,0
2570_def,-0.0008189346404949425,0
200765_off,0.011328908879729344,0
200765_def,-0.0069885903998257665,0
951_off,0.039015526964868395,0
951_def,-0.012262376950293039,0
1718_off,0.016890526404554733,0
1718_def,-0.01691467858398998,0
2694_off,-0.02873564059580068,0
2694_def,0.020091018203458703,0
2772_off,-0.008285354579487696,0
2772_def,-0.01324690435834158,0
200770_off,-0.011237425227875537,0
200770_def,-0.0030152288067668218,0
201175_off,-0.013284483012419843,0
201175_def,0.00443971295472922,0
2756_off,-0.0055119938028042985,0
2756_def,0.011403566966980153,0
2067_off,-0.0018045177814028789,0
2067_def,-0.0008991024175625671,0
200796_off,-0.0020673473023596076,0
200796_def,-0.0016927462273698696,0
2754_off,-0.01385568125072717,0
2754_def,-0.02713480540480126,0
2036_off,-0.006356848889554872,0
2036_def,0.0051197224427408684,0
1725_off,-0.0005779038504561716,0
1725_def,0.017195735835212722,0
2211_off,0.004839589322718786,0
2211_def,0.01885986403298558,0
101122_off,0.03517033580060957,0
101122_def,-0.0032568108662151367,0
2551_off,-0.006142020094087912,0
2551_def,-0.006379751611566991,0
2605_off,-0.0023633921632465285,0
2605_def,-0.01330546318597578,0
1902_off,0.01790715268043444,0
1902_def,-0.01920656308620036,0
201579_off,-0.0028037226027843275,0
201579_def,-0.018979319390427348,0
101211_off,-0.01737357090250766,0
101211_def,-0.00832975649498135,0
101127_off,0.011735895377311806,0
101127_def,0.014505633962536693,0
201177_off,0.010726017559545512,0
201177_def,0.0007553109270787462,0
2243_off,0.003163246865487939,0
2243_def,0.008558121109033727,0
200755_off,-0.0007208261731875984,0
200755_def,0.007051248757402233,0
1533_off,0.0025304512180825407,0
1533_def,-2.8047514102460287e-05,0
2730_off,0.02234828755787532,0
2730_def,-0.03614840213252369,0
1740_off,0.0179423463185355,0
1740_def,-0.017244103059469714,0
2045_off,0.022184464866998085,0
2045_def,-0.003571185895066831,0
201584_off,0.013655616256478213,0
201584_def,0.011666452052065483,0
1499_off,-0.022997956703678074,0
1499_def,-0.014463520522922017,0
201585_off,-0.016521582256215583,0
201585_def,0.008569376570331326,0
101139_off,0.011696823919664834,0
101139_def,0.00020771360353369697,0
101179_off,-0.016159111565144525,0
101179_def,-0.010561464042463945,0
2430_off,0.022100897480294996,0
2430_def,0.009801580354904834,0
200758_off,-0.010516340220845705,0
200758_def,-0.013825399437196103,0
980_off,0.01065700568569802,0
980_def,0.00020146045564378763,0
2590_off,0.007616245320674625,0
2590_def,0.003470869767604883,0
1112_off,-0.0020165961471166733,0
1112_def,-0.022750881563361785,0
2753_off,-0.0015238620332947317,0
2753_def,-0.01732024555682097,0
2544_off,0.057489643089130786,0
2544_def,-0.036348846023348334,0
2260_off,-0.022039827565201335,0
2260_def,-0.010192797586330177,0
1887_off,0.003619967669415568,0
1887_def,0.007710393635645089,0
200789_off,0.0031742645625752733,0
200789_def,-0.00241518986690111,0
200794_off,0.021873513877780155,0
200794_def,-0.016345943802954132,0
2760_off,0.02394300728899046,0
2760_def,-0.017009609262823862,0
201165_off,-0.015067947444590338,0
201165_def,-0.003242869938028854,0
201581_off,-0.02073451445524532,0
201581_def,0.03175664193667377,0
1510_off,-0.023919999239508737,0
1510_def,-0.0193735833841702,0
2594_off,0.012020053722087155,0
2594_def,-0.011779612619955032,0
2562_off,-0.024788493379111553,0
2562_def,0.005095390473728531,0
2446_off,-0.013205185217174257,0
2446_def,0.00402311903019128,0
2199_off,0.005853371467365425,0
2199_def,-0.024985767051742144,0
101108_off,0.042107177030119146,0
101108_def,-0.01852297200428386,0
978_off,0.02225676251401674,0
978_def,0.0054813496744567205,0
2561_off,0.01981995217340486,0
2561_def,0.013426857894070988,0
2427_off,-0.003370253566487902,0
2427_def,0.0017178211597316917,0
2588_off,0.032695938061002926,0
