col_idx,key,coef
0,2_off,0.006896467645510149
1,2_def,-0.023994575761768847
2,3_off,-0.025580645751005646
3,3_def,-0.04104425152535199
4,7_off,-0.004924475010734234
5,7_def,-0.015376354521523914
6,9_off,-0.03502233029118526
7,9_def,-0.02546189191318157
8,12_off,-0.04397448287460992
9,12_def,-0.013686070629087518
10,15_off,0.02945347809795329
11,15_def,-0.004719491420423506
12,17_off,0.05776527372121342
13,17_def,-0.02680025882795871
14,21_off,0.0006558701245520764
15,21_def,-0.016713493807630403
16,22_off,0.02697943910195181
17,22_def,-0.017758392798366385
18,23_off,0.021951002711125944
19,23_def,-0.026148711417028382
20,26_off,-0.01996494294430251
21,26_def,-0.04770872770499539
22,28_off,-0.017103995437691037
23,28_def,-0.021365289460569228
24,29_off,-0.012971101322311872
25,29_def,-0.03553332008926266
26,31_off,-0.04289301390298548
27,31_def,-0.015254163846422815
28,32_off,-0.03181491693895352
29,32_def,-0.017464479504743283
30,35_off,-0.032808842451406375
31,35_def,-0.02260923886583327
32,36_off,-0.05287689942310014
33,36_def,-0.031500202170743674
34,37_off,-0.017394122742693585
35,37_def,-0.014013357817771934
36,38_off,-0.04496963309881731
37,38_def,-0.005238391420757963
38,42_off,-0.01270751596860462
39,42_def,-0.010883455825629383
40,43_off,0.007105048299476759
41,43_def,-0.010406421240815845
42,45_off,0.008824583519217038
43,45_def,-0.004669092611196777
44,47_off,-0.04554121028619896
45,47_def,0.0009175791196947038
46,49_off,0.006378574018275525
47,49_def,-0.04929449182538666
48,51_off,0.0027968441283236917
49,51_def,-0.010148978203306286
50,52_off,-0.02001474105177124
51,52_def,-0.009733513224157865
52,53_off,0.011374240978717465
53,53_def,-0.03092023775253141
54,54_off,-0.04144504014996915
55,54_def,-0.014024170677179693
56,55_off,-0.011233526090705579
57,55_def,0.007565436818425635
58,56_off,0.03501136179409359
59,56_def,-0.022891979803572774
60,57_off,0.01950680290671838
61,57_def,-0.028151342136285777
62,61_off,-0.028699481962175553
63,61_def,-0.01580412566671894
64,63_off,0.013247903845885724
65,63_def,0.00456487708161744
66,64_off,0.027118535209696017
67,64_def,-0.033161422706503164
68,65_off,0.003398870670418608
69,65_def,-0.04079438729813929
70,67_off,-0.007189031783455133
71,67_def,0.00625092805711773
72,70_off,0.007909905183385989
73,70_def,-0.015907003366547663
74,71_off,-0.011701739614799969
75,71_def,-0.0001702619457656547
76,72_off,0.02451449812477364
77,72_def,-0.017361113453732868
78,73_off,0.0006965094690004267
79,73_def,-0.03368578600015047
80,76_off,-0.0021903775777350823
81,76_def,-0.009573820277928786
82,77_off,-0.014020038541054875
83,77_def,-0.0030560273912432177
84,78_off,-0.043940621507821645
85,78_def,-0.012554373249922295
86,80_off,-0.06586060569066768
87,80_def,-0.024970216927708497
88,81_off,-0.03704650738126023
89,81_def,-0.018089022765085973
90,82_off,-0.03111101313354315
91,82_def,-0.022056371879447277
92,84_off,0.03647582521917514
93,84_def,-0.0054083339666211
94,85_off,0.003458006347164984
95,85_def,-0.004359780873615217
96,87_off,0.01160098397681928
97,87_def,-0.07252103895719403
98,88_off,-0.016634609245728398
99,88_def,-0.0030991744808796747
100,89_off,0.0340741962893727
101,89_def,0.008129800576059686
102,93_off,0.010113164989678968
103,93_def,0.011354743338361076
104,95_off,-0.018815534925423295
105,95_def,-0.01939922463257011
106,96_off,0.05761189277074932
107,96_def,-0.032774118808848667
108,98_off,0.011894382405001683
109,98_def,-0.024236777199375267
110,100_off,-0.04049124667991572
111,100_def,-0.01262097029096758
112,103_off,0.026173522838441727
113,103_def,-0.007249953366689661
114,104_off,-0.05147805260197798
115,104_def,-0.025485878702258404
116,105_off,0.02283672847875355
117,105_def,-0.03522180195351579
118,107_off,0.03388383589484375
119,107_def,0.004291217053531072
120,109_off,0.011371659192888062
121,109_def,-0.05345603144037723
122,111_off,0.001518191527770751
123,111_def,-0.0017862842096858095
124,112_off,-0.02968994641724348
125,112_def,-0.016070575717842154
126,116_off,-0.02681509434238503
127,116_def,-0.013361422240804508
128,120_off,0.032851693538196614
129,120_def,-0.006953162675757258
130,121_off,0.0055394612828162035
131,121_def,-0.0441487762940619
132,122_off,-0.015572393698273823
133,122_def,-0.003390137925427878
134,123_off,-0.01436033215690704
135,123_def,0.0010870248708350523
136,124_off,0.0287986643295295
137,124_def,-0.06190374535012309
138,128_off,-0.01612428487947892
139,128_def,-0.021247479925388772
140,129_off,-0.004735797560239465
141,129_def,-0.04956860719857742
142,133_off,0.014306909810510818
143,133_def,-0.01462455517828743
144,134_off,0.05801390490372136
145,134_def,-0.0035933537886692693
146,136_off,0.01614215309345206
147,136_def,-0.029720132656909086
148,137_off,0.0002891218943541739
149,137_def,-0.01714954614319357
150,138_off,-0.0378326366066558
151,138_def,-0.0066268107076420685
152,140_off,-0.020891296882754574
153,140_def,-0.01266081375271007
154,143_off,-0.009833106587154857
155,143_def,-0.008126187585080191
156,145_off,0.02645424479618716
157,145_def,0.007146702587234471
158,146_off,-0.008474237915686331
159,146_def,-0.03143953941083308
160,147_off,0.01709795394950803
161,147_def,-0.00740781202555774
162,154_off,-0.0335248412664812
163,154_def,-0.01072274069771623
164,156_off,-0.015381722629334474
165,156_def,-0.015500002367564106
166,157_off,0.009952151784028019
167,157_def,0.00752843948928171
168,160_off,-0.01839034622550626
169,160_def,-0.006123729087410603
170,164_off,-0.017472980764864584
171,164_def,-0.04030494300562315
172,165_off,0.0062181406785671986
173,165_def,-0.04442501030579316
174,166_off,0.023928072794731414
175,166_def,-0.04585333187699233
176,168_off,0.008762213016349586
177,168_def,-0.03627922913677439
178,170_off,-0.035421129226501924
179,170_def,0.0008017034430158835
180,173_off,0.004571145238146113
181,173_def,-0.03140521009857359
182,175_off,-0.04208405786657275
183,175_def,-0.003916091417446935
184,176_off,-0.039219505934744534
185,176_def,-0.015626417485348994
186,177_off,0.006233544892908373
187,177_def,-0.021983233249053
188,178_off,-0.012250819243360392
189,178_def,-0.01210874792626435
190,179_off,0.0006543595096668384
191,179_def,-0.013154214209146841
192,180_off,-0.009073977421733409
193,180_def,-0.014383082708051874
194,181_off,-0.0290846149578447
195,181_def,-0.0025094629725673796
196,182_off,0.005404744331763207
197,182_def,-0.022317862339003035
198,183_off,-0.0099052715549455
199,183_def,-0.0330584707519716
200,184_off,0.033662699062972985
201,184_def,-0.03478829584969533
202,185_off,0.014508792039049725
203,185_def,-0.0277483193582565
204,187_off,-0.006906078352564748
205,187_def,-0.021536051744697998
206,190_off,-0.041750529978028424
207,190_def,-2.8467409099139016e-05
208,192_off,0.023467607294676535
209,192_def,-0.012742884245654682
210,193_off,0.010344176383916003
211,193_def,-0.0025936541309745167
212,194_off,-0.03396007423217151
213,194_def,-0.011218459986452226
214,195_off,0.0156959831994857
215,195_def,-0.00448532768555069
216,197_off,-0.006918841137389668
217,197_def,-0.03951150484952032
218,198_off,0.014661828413234414
219,198_def,-0.020921914026866512
220,199_off,-0.0487053213279591
221,199_def,-0.02924617038091747
222,201_off,-0.014097218741129073
223,201_def,-0.0360424752342926
224,202_off,-0.03787858951353169
225,202_def,-0.016539745199230765
226,203_off,-0.0039037254503405706
227,203_def,-0.041066552562859904
228,204_off,0.06800206819480992
229,204_def,-0.03756532314614893
230,208_off,0.05338259512552987
231,208_def,-0.02136090672434025
232,209_off,0.02732051856214878
233,209_def,0.004651439684743856
234,210_off,0.03698738706195377
235,210_def,-0.013857336735680795
236,211_off,-0.05310623018905687
237,211_def,-0.015244087522382084
238,212_off,-0.02446679929209053
239,212_def,-0.005584148481398153
240,213_off,0.004314019941116927
241,213_def,-0.035935470069113795
242,216_off,-0.0022133119047932463
243,216_def,-0.0006623839717907823
244,219_off,0.015775644858460437
245,219_def,0.003082787695850752
246,221_off,-0.01001389156897262
247,221_def,-0.010374550268037418
248,223_off,-0.028792425671578182
249,223_def,-0.019600890324193383
250,224_off,0.03365453701550822
251,224_def,-0.04514361697467598
252,226_off,-0.041552824422719445
253,226_def,-0.01929394724206782
254,228_off,0.008172653370896649
255,228_def,-0.016677085019418957
256,234_off,0.01892487248391905
257,234_def,-0.0026280136670591703
258,236_off,-0.018938267684198526
259,236_def,-0.01708296521394024
260,238_off,0.0009562321627115998
261,238_def,-0.034261729143663176
262,239_off,0.0309798892287173
263,239_def,-0.001815076415230009
264,240_off,-0.0007584484496282601
265,240_def,0.014073735537836713
266,241_off,-0.03713372405788885
267,241_def,-0.015795927641695913
268,243_off,0.0016729472721944971
269,243_def,-0.05534023655828604
270,244_off,-0.012004764702838146
271,244_def,-0.011320954697535569
272,246_off,-0.021876293355516496
273,246_def,0.007155712544298209
274,247_off,0.06486715665560262
275,247_def,-0.018239209014744427
276,248_off,-0.010902357818837144
277,248_def,-0.04641453830295088
278,251_off,-0.010985998075925738
279,251_def,-0.03472296661392224
280,252_off,0.03449095681252636
281,252_def,-0.014876924354757024
282,255_off,0.037735026542546866
283,255_def,-0.0129393226068771
284,258_off,-0.008327357308486608
285,258_def,-0.02426493748440243
286,262_off,-0.02954460417428548
287,262_def,-0.017424751182440218
288,265_off,-0.007900279553495461
289,265_def,-0.031082002579581373
290,270_off,0.021875635819087767
291,270_def,-0.042735276299245825
