col_idx,key,coef,block,zero_penalty,target_penalty,target
0,2544_off,0.016158803980000802,off,3000.0,1000.0,0.04018858445910441
1,2544_def,-0.011750460516861823,def,3000.0,1000.0,-0.013211919419920727
2,2738_off,-0.0007897959961955422,off,3000.0,1000.0,-0.004870211520849502
3,2738_def,-0.00023316529408530723,def,3000.0,1000.0,-0.021056951576213616
4,101108_off,0.011888200371580563,off,3000.0,1000.0,0.004832910950386863
5,101108_def,-0.009384608323817564,def,3000.0,1000.0,-0.03608851665057661
6,200765_off,-0.010340105406826594,off,3000.0,1000.0,-0.029080002726219356
7,200765_def,0.0009616241944607675,def,3000.0,1000.0,-0.0015454912505013568
8,200768_off,0.004130151134029991,off,3000.0,1000.0,-0.004755852982222842
9,200768_def,-0.006181615909369805,def,3000.0,1000.0,-0.019905432130434945
10,200782_off,0.007476998602348908,off,3000.0,1000.0,0.0085462322842043
11,200782_def,-0.00801725799602906,def,3000.0,1000.0,-0.005350238170155566
12,200794_off,-0.00253741661755906,off,3000.0,1000.0,-0.011360032487950446
13,200794_def,-6.637655117482287e-05,def,3000.0,1000.0,-0.0018984266707952689
14,201142_off,0.023227065807685108,off,3000.0,1000.0,0.03932605173788119
15,201142_def,0.0016912911058740805,def,3000.0,1000.0,-0.030788610252089434
16,201143_off,0.007650907360049855,off,3000.0,1000.0,0.014061699651674012
17,201143_def,-0.011027689270465574,def,3000.0,1000.0,-0.01417882671140522
18,201144_off,-0.004094319730853383,off,3000.0,1000.0,0.015562695954722053
19,201144_def,-0.004151294504856267,def,3000.0,1000.0,-0.009352579207415073
20,201145_off,-0.004420175657304296,off,3000.0,1000.0,-0.016103847427113106
21,201145_def,0.005968990443215431,def,3000.0,1000.0,0.008833454483366327
22,201152_off,-0.00213955812255328,off,3000.0,1000.0,-0.007915941463558313
23,201152_def,-0.00033334815534650337,def,3000.0,1000.0,0.0025624269686740017
24,201566_off,0.003365143538079294,off,3000.0,1000.0,-0.006612738200836646
25,201566_def,0.006800024737789201,def,3000.0,1000.0,0.0011943985138710776
26,201567_off,-0.0012290783023794312,off,3000.0,1000.0,-0.0005408468906587079
27,201567_def,-0.0012207425816796339,def,3000.0,1000.0,-0.01269291992762432
