col_idx,key,coef,block,zero_penalty,target_penalty,target
0,2544_off,0.00044208774982256756,off,94868.3298050514,0.0,0.0
1,2544_def,-0.0023731947258326907,def,16870.239755710474,0.0,0.0
2,2738_off,3.180558492157689e-05,off,94868.3298050514,0.0,0.0
3,2738_def,0.001170154047297353,def,16870.239755710474,0.0,0.0
4,101108_off,0.0008655772698336395,off,94868.3298050514,0.0,0.0
5,101108_def,0.00022355480760551582,def,16870.239755710474,0.0,0.0
6,200765_off,-0.00014701650814846325,off,94868.3298050514,0.0,0.0
7,200765_def,0.00037761020193369786,def,16870.239755710474,0.0,0.0
8,200768_off,0.00021281483366321805,off,94868.3298050514,0.0,0.0
9,200768_def,-0.0009535475356090309,def,16870.239755710474,0.0,0.0
10,200782_off,0.00034274513229294503,off,94868.3298050514,0.0,0.0
11,200782_def,-0.0024076533999008976,def,16870.239755710474,0.0,0.0
12,200794_off,1.1310520479169609e-05,off,94868.3298050514,0.0,0.0
13,200794_def,8.620805980095534e-05,def,16870.239755710474,0.0,0.0
14,201142_off,0.0008989760465983234,off,94868.3298050514,0.0,0.0
15,201142_def,0.004203476915063378,def,16870.239755710474,0.0,0.0
16,201143_off,0.0004586969528342885,off,94868.3298050514,0.0,0.0
17,201143_def,-0.0034959847218850038,def,16870.239755710474,0.0,0.0
18,201144_off,-0.00043754685959631777,off,94868.3298050514,0.0,0.0
19,201144_def,0.0008100478503045517,def,16870.239755710474,0.0,0.0
20,201145_off,0.00017081701015837786,off,94868.3298050514,0.0,0.0
21,201145_def,0.0008973540949941357,def,16870.239755710474,0.0,0.0
22,201152_off,-2.2665976442861775e-05,off,94868.3298050514,0.0,0.0
23,201152_def,3.4079822074378694e-05,def,16870.239755710474,0.0,0.0
24,201566_off,0.000194538643129245,off,94868.3298050514,0.0,0.0
25,201566_def,0.0027589293333362395,def,16870.239755710474,0.0,0.0
26,201567_off,-8.516898613338092e-05,off,94868.3298050514,0.0,0.0
27,201567_def,6.094326177564801e-06,def,16870.239755710474,0.0,0.0
28,201568_off,-0.00021152627236280586,off,94868.3298050514,0.0,0.0
29,201568_def,0.00028940655814058483,def,16870.239755710474,0.0,0.0
30,201569_off,-0.00010672514618428209,off,94868.3298050514,0.0,0.0
31,201569_def,0.002576172603446269,def,16870.239755710474,0.0,0.0
32,201572_off,-0.0006163662326169186,off,94868.3298050514,0.0,0.0
33,201572_def,0.0007747119925041103,def,16870.239755710474,0.0,0.0
34,201580_off,-0.00011471344957469015,off,94868.3298050514,0.0,0.0
35,201580_def,0.00024494110751016574,def,16870.239755710474,0.0,0.0
36,201586_off,8.803835789745184e-06,off,94868.3298050514,0.0,0.0
37,201586_def,0.00011008750774715457,def,16870.239755710474,0.0,0.0
38,201587_off,-0.00033267565653097964,off,94868.3298050514,0.0,0.0
39,201587_def,0.000960455599839855,def,16870.239755710474,0.0,0.0
40,201588_off,-0.0002772483369887434,off,94868.3298050514,0.0,0.0
41,201588_def,0.0004761925596389569,def,16870.239755710474,0.0,0.0
42,201599_off,-0.00013840380948528587,off,94868.3298050514,0.0,0.0
43,201599_def,0.000717827041239576,def,16870.239755710474,0.0,0.0
44,201609_off,0.00013761018657922958,off,94868.3298050514,0.0,0.0
45,201609_def,0.0005043345974785964,def,16870.239755710474,0.0,0.0
46,201933_off,7.240045098203343e-05,off,94868.3298050514,0.0,0.0
47,201933_def,0.00031236167317163913,def,16870.239755710474,0.0,0.0
48,201935_off,0.0002208351191692897,off,94868.3298050514,0.0,0.0
49,201935_def,-1.3278591403584427e-05,def,16870.239755710474,0.0,0.0
50,201937_off,-0.0001273487816303723,off,94868.3298050514,0.0,0.0
51,201937_def,-0.00026309111042735364,def,16870.239755710474,0.0,0.0
52,201939_off,0.0005030010989565577,off,94868.3298050514,0.0,0.0
53,201939_def,-0.003288647290549215,def,16870.239755710474,0.0,0.0
54,201942_off,-0.0005075516052992852,off,94868.3298050514,0.0,0.0
55,201942_def,-0.00016186854747667943,def,16870.239755710474,0.0,0.0
56,201950_off,-3.128472678087705e-05,off,94868.3298050514,0.0,0.0
57,201950_def,-0.0013418490653953979,def,16870.239755710474,0.0,0.0
58,201959_off,-7.856446267567777e-05,off,94868.3298050514,0.0,0.0
59,201959_def,-0.0005612863045278881,def,16870.239755710474,0.0,0.0
60,201976_off,-0.00026149995319071364,off,94868.3298050514,0.0,0.0
61,201976_def,-0.00026989211837846673,def,16870.239755710474,0.0,0.0
62,201980_off,0.0001136344063578595,off,94868.3298050514,0.0,0.0
63,201980_def,-0.0014084242593396564,def,16870.239755710474,0.0,0.0
64,201988_off,0.00010299758745204147,off,94868.3298050514,0.0,0.0
65,201988_def,0.0004853036430334559,def,16870.239755710474,0.0,0.0
66,202066_off,-2.3113029201742014e-07,off,94868.3298050514,0.0,0.0
67,202066_def,0.0003224488774883503,def,16870.239755710474,0.0,0.0
68,202083_off,-0.00036870161878863517,off,94868.3298050514,0.0,0.0
69,202083_def,-0.0025912522281580155,def,16870.239755710474,0.0,0.0
70,202326_off,1.77560223968949e-05,off,94868.3298050514,0.0,0.0
71,202326_def,0.0002539429319787573,def,16870.239755710474,0.0,0.0
72,202328_off,-6.306338263810534e-05,off,94868.3298050514,0.0,0.0
73,202328_def,-0.00020122389388582045,def,16870.239755710474,0.0,0.0
74,202330_off,0.00010059239083570502,off,94868.3298050514,0.0,0.0
75,202330_def,-0.0002576333710226647,def,16870.239755710474,0.0,0.0
76,202331_off,0.00010657566711280548,off,94868.3298050514,0.0,0.0
77,202331_def,-0.001356193260500039,def,16870.239755710474,0.0,0.0
78,202355_off,-2.965648972737189e-05,off,94868.3298050514,0.0,0.0
79,202355_def,0.00026634292346884244,def,16870.239755710474,0.0,0.0
80,202357_off,-0.00012979547604882323,off,94868.3298050514,0.0,0.0
81,202357_def,-0.0002029763169102309,def,16870.239755710474,0.0,0.0
82,202681_off,4.137663280220163e-05,off,94868.3298050514,0.0,0.0
83,202681_def,0.0019510406057504032,def,16870.239755710474,0.0,0.0
84,202684_off,-0.000330955702426664,off,94868.3298050514,0.0,0.0
85,202684_def,0.0008025726120751631,def,16870.239755710474,0.0,0.0
86,202685_off,-0.00014819782174234507,off,94868.3298050514,0.0,0.0
87,202685_def,0.003940655533782414,def,16870.239755710474,0.0,0.0
88,202687_off,8.60963836779677e-05,off,94868.3298050514,0.0,0.0
89,202687_def,-0.0001685694761984959,def,16870.239755710474,0.0,0.0
90,202691_off,0.00022084693036950308,off,94868.3298050514,0.0,0.0
91,202691_def,-0.0021642974324170656,def,16870.239755710474,0.0,0.0
92,202692_off,6.700571236493104e-05,off,94868.3298050514,0.0,0.0
93,202692_def,0.0005826612741624942,def,16870.239755710474,0.0,0.0
94,202693_off,-9.668061312227434e-05,off,94868.3298050514,0.0,0.0
95,202693_def,-0.0003437801974931399,def,16870.239755710474,0.0,0.0
96,202694_off,-6.049225746107648e-05,off,94868.3298050514,0.0,0.0
97,202694_def,0.001454309142158593,def,16870.239755710474,0.0,0.0
98,202695_off,9.468712695847872e-05,off,94868.3298050514,0.0,0.0
99,202695_def,0.0005651091511489033,def,16870.239755710474,0.0,0.0
100,202696_off,-0.0006126702756842172,off,94868.3298050514,0.0,0.0
101,202696_def,0.00032715698688407326,def,16870.239755710474,0.0,0.0
102,202699_off,1.6433899687019817e-05,off,94868.3298050514,0.0,0.0
103,202699_def,-0.0015509717534564285,def,16870.239755710474,0.0,0.0
104,202704_off,-0.0002674750365090431,off,94868.3298050514,0.0,0.0
105,202704_def,-0.001380786541109502,def,16870.239755710474,0.0,0.0
106,202710_off,0.00024295413412362397,off,94868.3298050514,0.0,0.0
107,202710_def,-0.003378558740200986,def,16870.239755710474,0.0,0.0
108,202711_off,-3.636830732773303e-05,off,94868.3298050514,0.0,0.0
109,202711_def,0.0005081232573515009,def,16870.239755710474,0.0,0.0
110,202722_off,2.1685138325882154e-05,off,94868.3298050514,0.0,0.0
111,202722_def,-0.0007713035094899139,def,16870.239755710474,0.0,0.0
112,202738_off,-1.672612425670181e-06,off,94868.3298050514,0.0,0.0
113,202738_def,-0.00010371236417226413,def,16870.239755710474,0.0,0.0
114,203076_off,0.0005724464443849521,off,94868.3298050514,0.0,0.0
115,203076_def,-0.0007208393480140685,def,16870.239755710474,0.0,0.0
116,203078_off,0.00016957773729084157,off,94868.3298050514,0.0,0.0
117,203078_def,-0.0006117101813446334,def,16870.239755710474,0.0,0.0
118,203081_off,-7.068081614385685e-05,off,94868.3298050514,0.0,0.0
119,203081_def,-6.35977903204551e-05,def,16870.239755710474,0.0,0.0
120,203082_off,-3.591687892896274e-05,off,94868.3298050514,0.0,0.0
121,203082_def,0.0009254281859379261,def,16870.239755710474,0.0,0.0
122,203083_off,8.681193632043039e-05,off,94868.3298050514,0.0,0.0
123,203083_def,-0.0002824280361609491,def,16870.239755710474,0.0,0.0
124,203084_off,-0.0002779317319083976,off,94868.3298050514,0.0,0.0
125,203084_def,-6.663795573716619e-05,def,16870.239755710474,0.0,0.0
126,203085_off,-0.00023418630939082882,off,94868.3298050514,0.0,0.0
127,203085_def,0.0004482876259935605,def,16870.239755710474,0.0,0.0
128,203095_off,-0.0001472526091651497,off,94868.3298050514,0.0,0.0
129,203095_def,-0.0007406797708487998,def,16870.239755710474,0.0,0.0
130,203109_off,6.263842254159495e-05,off,94868.3298050514,0.0,0.0
131,203109_def,0.0014253983772155377,def,16870.239755710474,0.0,0.0
132,203110_off,0.0003201077638590146,off,94868.3298050514,0.0,0.0
133,203110_def,-0.0024696751296998457,def,16870.239755710474,0.0,0.0
134,203114_off,7.116381910291108e-06,off,94868.3298050514,0.0,0.0
135,203114_def,-4.486704809131592e-05,def,16870.239755710474,0.0,0.0
136,203115_off,3.6965771193111225e-05,off,94868.3298050514,0.0,0.0
137,203115_def,0.0018738618192314608,def,16870.239755710474,0.0,0.0
138,203200_off,-1.1473540222837159e-05,off,94868.3298050514,0.0,0.0
139,203200_def,-0.0002663680019124893,def,16870.239755710474,0.0,0.0
140,203210_off,-0.00017064346791392668,off,94868.3298050514,0.0,0.0
141,203210_def,0.0012298165378482493,def,16870.239755710474,0.0,0.0
142,203458_off,7.895715186487266e-05,off,94868.3298050514,0.0,0.0
143,203458_def,-0.0009439852036455269,def,16870.239755710474,0.0,0.0
144,203468_off,-0.0001796312922841309,off,94868.3298050514,0.0,0.0
145,203468_def,0.0015391678472153438,def,16870.239755710474,0.0,0.0
146,203469_off,-3.4165003470456834e-05,off,94868.3298050514,0.0,0.0
147,203469_def,-0.00031681624728260627,def,16870.239755710474,0.0,0.0
148,203471_off,0.00022904331931262962,off,94868.3298050514,0.0,0.0
149,203471_def,-0.002260669624526116,def,16870.239755710474,0.0,0.0
150,203473_off,-9.333300954834865e-05,off,94868.3298050514,0.0,0.0
151,203473_def,-0.001131851376448994,def,16870.239755710474,0.0,0.0
152,203476_off,2.2832283222639837e-05,off,94868.3298050514,0.0,0.0
153,203476_def,-8.99550552595624e-05,def,16870.239755710474,0.0,0.0
154,203482_off,-8.801419690267442e-05,off,94868.3298050514,0.0,0.0
155,203482_def,6.665976452801319e-05,def,16870.239755710474,0.0,0.0
156,203484_off,0.0011607072786192641,off,94868.3298050514,0.0,0.0
157,203484_def,-0.0011249345843721609,def,16870.239755710474,0.0,0.0
158,203486_off,-0.0001366792439787244,off,94868.3298050514,0.0,0.0
159,203486_def,0.0017913755525728605,def,16870.239755710474,0.0,0.0
160,203488_off,6.66475625603456e-06,off,94868.3298050514,0.0,0.0
