key,coef,coef_per_100,se,block
META_home,0.012246661865759421,1.224666186575942,0.0014947653376530532,home
META_rubberband,-0.018769559033141866,-1.8769559033141865,0.001539768039065793,rubberband
META_season_2023,0.019768851327137994,1.9768851327137995,0.004539507985355033,season
META_season_2024,0.021123827707684978,2.1123827707684977,0.005027947325111603,season
