Key,Coefficient
202696_off,-0.0017001678202037088
202696_def,-0.013295240345898561
203901_off,0.007214192322198956
203901_def,0.016776835857110598
203124_off,0.006336825720560666
203124_def,0.006977894816201681
202699_off,0.006010225962819991
202699_def,0.008221631387421654
203095_off,0.017872341401960756
203095_def,0.009670713100308538
203076_off,0.012629318138538964
203076_def,-0.015816197930628027
201600_off,-0.01692457738251705
201600_def,-0.005480951251432552
201936_off,0.009860746698764761
201936_def,-0.002834019513476938
201950_off,0.03307542081104732
201950_def,-0.02771392779251061
201569_off,0.029481066573490658
201569_def,-0.013349466969006418
203932_off,0.017049748245527876
203932_def,-0.010550867855627914
201583_off,0.016614815829055992
201583_def,0.013162784258216844
2732_off,-0.014044116397675376
2732_def,0.0022548226442082753
2422_off,-0.004809086770454455
2422_def,0.0024193778761318926
2557_off,-0.012700452752614593
2557_def,0.0027999522616565294
203473_off,-0.004877615503125731
203473_def,-0.005362695880889114
203085_off,0.009879394961260984
203085_def,0.009519713733582843
202690_off,-0.0010257610102610327
202690_def,-0.0024916897542801315
2584_off,-0.022098184028859304
2584_def,-0.0068087930314121884
203906_off,-0.003164389103832648
203906_def,-0.0032709635476131033
201582_off,-0.014898151995599246
201582_def,-0.008018481261620946
202337_off,0.0045376370541174915
202337_def,0.007282697330658993
203481_off,0.0051650695292283074
203481_def,-0.004029156090883595
202718_off,0.014700016977919908
202718_def,0.0007100686481863935
2199_off,-0.010633480271024289
2199_def,-0.019457434028065056
101145_off,0.006099957706391201
101145_def,-0.000463128425369568
2749_off,1.5216718387982346e-05
2749_def,0.0056273807309705215
1717_off,0.02447935209006838
1717_def,0.008352649696147848
1495_off,-0.0034163058374364176
1495_def,-0.032893671566495544
201158_off,-0.003410811631051213
201158_def,0.016417748961973316
2225_off,-0.0014324061636517712
2225_def,0.004159864813593446
201980_off,0.02603713678171028
201980_def,-0.024023018113829155
2588_off,0.002910197370031113
2588_def,0.00092671957241216
2734_off,-0.003562760689171237
2734_def,-0.007412031129332807
1938_off,0.00644002070194985
1938_def,-0.014275328978540391
2564_off,-0.004781442129770726
2564_def,-0.012803400032175944
201148_off,-0.004414223363095887
201148_def,-0.011775582142039366
203382_off,0.00346427679245318
203382_def,-0.03502855756994695
202329_off,0.022101621641454273
202329_def,-0.015597775320222376
203109_off,0.01953396317056417
203109_def,0.0003216370236104383
202709_off,0.006299451201143712
202709_def,-0.02122545106609412
2210_off,-0.00720392267351791
2210_def,-0.00741464750747275
202962_off,-0.016442465979183238
202962_def,-0.00028340438215963663
2730_off,-0.011935360343572447
2730_def,0.0009686641650774563
2772_off,0.00418026210700553
2772_def,0.0039171394884314785
201935_off,0.05796166063504749
201935_def,0.004457926358657594
203093_off,-0.018189769101385266
203093_def,0.010395876178415211
201976_off,0.022615185212173226
201976_def,-0.01584408382614745
201941_off,-0.004696024559177178
201941_def,0.00037841109697618505
977_off,-0.007392604402660905
977_def,0.019522380682154294
2430_off,0.0069328876909740544
2430_def,0.00995405349404426
202391_off,-0.017045073187820295
202391_def,-0.005719156193930242
202325_off,-0.014507795876313812
202325_def,-0.009043400081268495
204028_off,-0.008041487908089093
204028_def,-0.016428268660278907
101179_off,-0.008147985431715646
101179_def,-0.006506030779442222
203903_off,-0.0038535344393556205
203903_def,0.024682457458125306
1891_off,0.0014583311062095928
1891_def,-0.015109897823637392
202700_off,-0.012983696550880467
202700_def,-0.011021016911175782
203123_off,-0.009620464492565286
203123_def,-0.0025955403242579225
202333_off,-0.0013947824535386997
202333_def,0.001305846276239941
203944_off,0.008557838031762304
203944_def,0.026393928911072687
202334_off,-0.0011036324611546078
202334_def,-0.010071629902371173
203584_off,-0.005213601483347613
203584_def,0.017327078769457063
203477_off,-0.01730324273106835
203477_def,0.006599732205901049
203135_off,-0.010485164968321758
203135_def,-0.007255466528278814
202336_off,-0.01038116038592885
202336_def,-0.0066916876948937346
201162_off,0.007868230797033896
201162_def,-0.016171525123130803
203114_off,0.02684750276421527
203114_def,-0.014183853489050227
203953_off,0.006909179237270167
203953_def,0.014020991958171155
202688_off,-0.024151582147748946
202688_def,0.007596886171002421
101107_off,0.0032194445388517103
101107_def,-0.0014335665900569513
203077_off,0.0028055063510059506
203077_def,-0.02367740708225322
202362_off,-0.0029731134597679133
202362_def,0.014877090105589949
2744_off,-0.020333800603816878
2744_def,-0.00997912052505648
202689_off,0.045573705004612594
202689_def,-0.001452189030757563
2585_off,0.0019042767571915043
2585_def,-0.019441468915916946
203507_off,0.01903742593568016
203507_def,-0.019861628671591927
203469_off,0.012131536734058437
203469_def,-0.016926764673728598
201945_off,-0.014187652004370901
201945_def,-0.005202209672688291
201564_off,-0.009155630233928368
201564_def,-0.014710924739197438
202390_off,-0.013869636141797132
202390_def,0.009510939793066747
101131_off,-0.009130756146575278
101131_def,-0.00304743967021545
101141_off,0.014031581692821902
101141_def,-0.008330668084864816
203089_off,-0.014278976646519096
203089_def,0.003778039771939412
201573_off,-0.01754645154287044
201573_def,0.01726265167750314
203148_off,-0.011391815149507083
203148_def,-0.0017976047067816137
203156_off,-0.02292824202384388
203156_def,0.006781059739532572
203187_off,-0.011400625349216459
203187_def,-0.010193858779152576
203100_off,-0.008867703405681842
203100_def,0.009661369653768676
203457_off,-0.03549400998108664
203457_def,-0.007798207524744243
203138_off,-0.017831383390106426
203138_def,0.003919665747913753
203524_off,-0.0007195720089774111
203524_def,0.002573094322175351
202388_off,-0.00898791746751675
