col_idx,key,coef
0,87_off,-0.041811956376576795
1,87_def,-0.02448968334270011
2,255_off,0.028289191660501867
3,255_def,-0.017040805232907484
4,283_off,-0.0341577460334227
5,283_def,-0.00816837149651187
6,406_off,0.02896349976845492
7,406_def,0.001348170436064243
8,436_off,-0.03834292829810391
9,436_def,-2.4997777522392517e-05
10,467_off,0.04155747100737921
11,467_def,-0.03197223267205385
12,686_off,0.005119674282510662
13,686_def,-0.009548444860375734
14,689_off,-0.023102112461221236
15,689_def,-0.005779901341253692
16,693_off,-0.02753526991990556
17,693_def,-0.020427071526587848
18,699_off,-0.01627619980500819
19,699_def,-0.012995814267607993
20,703_off,-0.015133422860587935
21,703_def,-0.028150043130891752
22,708_off,0.010429543683325635
23,708_def,-0.057384658006338726
24,711_off,-0.055453612828677126
25,711_def,-0.0235909389327858
26,714_off,0.012016083304272375
27,714_def,0.01070200838403356
28,739_off,0.008555571393649604
29,739_def,-0.02792036819341589
30,923_off,-0.00895920341259528
31,923_def,-0.011626894088838744
32,947_off,-0.01123015691031954
33,947_def,-0.024713919215172134
34,948_off,-0.010708148603022431
35,948_def,-0.03766625171490035
36,950_off,-0.04456212751462215
37,950_def,-0.019170013070950356
38,951_off,0.049429850227675556
39,951_def,-0.0317640727712879
40,953_off,-0.033770085160628696
41,953_def,-0.019968705745943276
42,956_off,-0.004627997755109279
43,956_def,-0.004891023124338341
44,959_off,0.04743013619918014
45,959_def,-0.006230095598213007
46,965_off,0.009011182651143854
47,965_def,-0.017870108376660546
48,977_off,0.05577574589898235
49,977_def,-0.019250871401760253
50,978_off,0.023345219150777863
51,978_def,-0.005869153060382975
52,979_off,-0.0021365723315744916
53,979_def,-0.00859975643925773
54,980_off,0.008112658678903605
55,980_def,-0.030646821946926688
56,990_off,-0.034355818682753406
57,990_def,-0.01606272856008488
58,1088_off,-0.04175538107946904
59,1088_def,-0.012593765973639065
60,1112_off,0.001946513333758098
61,1112_def,-0.029344682210178698
62,1477_off,-0.031310732252528076
63,1477_def,-0.025209668505781484
64,1495_off,0.015149711251561799
65,1495_def,-0.017091923716862203
66,1497_off,0.0523331985858865
67,1497_def,-6.40432433507282e-05
68,1498_off,-0.036232097691788895
69,1498_def,0.022089757879205987
70,1499_off,-0.014072358121615199
71,1499_def,-0.016763877415194313
72,1501_off,-0.015554736734304249
73,1501_def,-0.023092306607119528
74,1502_off,-0.03607103924343144
75,1502_def,-0.013910657137730422
76,1503_off,-0.008586727205713587
77,1503_def,-0.020609816122255636
78,1506_off,-0.039561734743535776
79,1506_def,-0.014071869008491146
80,1510_off,-0.04454491352024652
81,1510_def,-0.03253939233844243
82,1515_off,0.009999145922932218
83,1515_def,-0.020913868733428917
84,1517_off,0.002108640413692041
85,1517_def,-7.32568277508304e-05
86,1521_off,-0.03595968406249761
87,1521_def,-0.013607659225229697
88,1533_off,-0.015392784096608391
89,1533_def,-0.015091627180469157
90,1536_off,0.03200329641471934
91,1536_def,-3.445010728983511e-05
92,1548_off,-0.034434672482164926
93,1548_def,-0.019532425959509613
94,1563_off,-0.022029430412736303
95,1563_def,-0.006835008933828645
96,1630_off,-0.020672805771396
97,1630_def,-0.00489820974768187
98,1710_off,0.01714191989064031
99,1710_def,0.00499336074427879
100,1712_off,0.027356794924258746
101,1712_def,0.012313523511825821
102,1713_off,0.04157911641623088
103,1713_def,0.005903430438567808
104,1716_off,-0.012964834587114329
105,1716_def,0.0020544158500565464
106,1717_off,0.03329799400042391
107,1717_def,-0.007269381788294704
108,1718_off,0.021473463456869853
109,1718_def,-0.020425764593242978
110,1723_off,-0.032801769240101114
111,1723_def,-0.020442179876890544
112,1725_off,-0.026967503735198635
113,1725_def,-0.010894659732764178
114,1729_off,-0.02557651399340862
115,1729_def,-0.0019345921187796794
116,1730_off,-0.04741561480587579
117,1730_def,-0.008592988169060517
118,1731_off,-0.040797578869966405
119,1731_def,-0.015553542568855935
120,1733_off,0.020658139144682765
121,1733_def,-0.021655270022161652
122,1737_off,-0.023895563981739143
123,1737_def,-0.00519670056186391
124,1740_off,0.04245230917629364
125,1740_def,-0.03397298633137313
126,1744_off,-0.012342527799886467
127,1744_def,-0.004896525434512859
128,1747_off,-0.007528534111321936
129,1747_def,-0.01618829516937003
130,1749_off,-0.020574966747278177
131,1749_def,-0.030966005953304454
132,1752_off,-0.039897228918064735
133,1752_def,-0.014278711970218596
134,1761_off,-0.024659528065392976
135,1761_def,-0.005290263490441456
136,1763_off,-0.03953365686651967
137,1763_def,-0.014675807728915857
138,1766_off,-0.034676233040329865
139,1766_def,-0.01233403848877555
140,1800_off,-0.022854152425361197
141,1800_def,-0.010210723583364573
142,1802_off,0.013745982191966433
143,1802_def,-0.014166706617013332
144,1853_off,-0.006439407082402747
145,1853_def,-0.004489448850366135
146,1882_off,-0.035627477024168734
147,1882_def,-0.03902332195400665
148,1884_off,-0.00581771109421097
149,1884_def,0.004036862133389593
150,1885_off,0.05045502724344805
151,1885_def,-0.05176351059213016
152,1887_off,0.003515313477473539
153,1887_def,-0.0026228155488127926
154,1888_off,0.003898967509875218
155,1888_def,-0.016636332813870246
156,1889_off,0.022945224025214785
157,1889_def,-0.008564167332420746
158,1890_off,0.008520211221195617
159,1890_def,-0.017133239066578466
160,1891_off,0.015160355175864323
161,1891_def,0.0018919688234567827
162,1894_off,-0.006119801694231738
163,1894_def,-0.004283914586178914
164,1897_off,0.022452001872853542
165,1897_def,-0.042624712683289184
166,1899_off,0.002297431976814642
167,1899_def,-0.01605921719048214
168,1902_off,0.0007767089389365094
169,1902_def,-0.027402272855525142
170,1903_off,-0.03278614457560583
171,1903_def,-0.017558988521801176
172,1904_off,-0.04691862318040916
173,1904_def,-0.0030427879885950512
174,1905_off,0.015160057184410096
175,1905_def,-0.026323830236349217
176,1913_off,-0.008079993247130528
177,1913_def,-0.00281756362817117
178,1916_off,-0.03475478361753492
179,1916_def,-0.0121949255827144
180,1922_off,-0.0202965306880436
181,1922_def,-0.008282175657362506
182,1938_off,0.011642073366981264
183,1938_def,-0.014267930473720387
184,1952_off,0.006038549716557595
185,1952_def,-0.016464776553553547
186,2030_off,-0.0005239889145327407
187,2030_def,-0.032936246988363435
188,2031_off,-0.032976645773623664
189,2031_def,-0.01845033754331188
190,2032_off,-0.04345986077674619
191,2032_def,-0.007578875065457791
192,2034_off,0.008723794142104259
193,2034_def,0.005331217122667698
194,2036_off,-0.03638019693672044
195,2036_def,-0.009242817859257495
196,2037_off,0.03405979361786711
197,2037_def,0.01706980306693857
198,2038_off,-0.007043471298118543
199,2038_def,-0.035829867910484134
200,2039_off,-0.005667739723517178
201,2039_def,0.0181709160363672
202,2041_off,-0.04696854775555129
203,2041_def,-0.009134816810622942
204,2045_off,0.03370930465147004
205,2045_def,-0.0290560875481718
206,2046_off,-0.009900296159141106
207,2046_def,-0.029833495234384423
208,2047_off,0.0027787796769549768
209,2047_def,-0.0044795434870219045
210,2048_off,-0.01598256458644034
211,2048_def,-0.017097797422337965
212,2049_off,-0.03442514241835551
213,2049_def,-0.015602383532247886
214,2050_off,-0.03413773205093534
215,2050_def,-0.009513726705675562
216,2052_off,-0.014904575995656368
217,2052_def,-0.012421608172032205
218,2058_off,-0.03652914299780942
219,2058_def,-0.016601935401961435
220,2059_off,-0.06424851353444738
221,2059_def,-0.015143033186069502
222,2060_off,-0.02921433025554391
223,2060_def,-0.030647718434755375
224,2063_off,-0.019420319272083673
225,2063_def,-0.017003399926820824
226,2067_off,0.012490502971223338
227,2067_def,-0.005935462419530075
228,2072_off,0.036856916106946136
229,2072_def,-0.01827934502661825
230,2073_off,-0.004807293690652945
231,2073_def,-0.0101418963592594
232,2078_off,-0.0493271543036807
233,2078_def,-0.003322894144910057
234,2109_off,-0.03711319353518232
235,2109_def,-0.012189099870883255
236,2124_off,-0.03141166367105364
237,2124_def,-0.01760327684205416
238,2137_off,-0.011019240413723546
239,2137_def,-0.030729551021793998
240,2198_off,-0.01719205892935867
241,2198_def,-0.020807437520115546
242,2199_off,-0.001194376577808274
243,2199_def,-0.023518939494891516
244,2200_off,0.04371963821778316
245,2200_def,-0.010435548586765236
246,2201_off,-0.014085387694719113
247,2201_def,-0.003935283627281768
248,2202_off,0.012429009198346701
249,2202_def,0.007831986275624463
250,2203_off,0.0021813611845111006
251,2203_def,-0.0328739432922155
252,2205_off,-0.021832399648065277
253,2205_def,0.012877568471678738
254,2207_off,0.03406246260347422
255,2207_def,-0.015503704049835098
256,2209_off,-0.008874134035872786
257,2209_def,-0.002993881370847563
258,2210_off,0.016917043840940577
259,2210_def,-0.004105051230136766
260,2211_off,0.027740755487567305
261,2211_def,0.009880844187020243
262,2215_off,-0.06803448285533614
263,2215_def,-0.010506469544061032
264,2216_off,0.012530204534545834
265,2216_def,-0.023160144500059623
266,2217_off,-0.02592262851361489
267,2217_def,-0.03379555663766107
268,2222_off,0.0081454007856719
269,2222_def,-0.031174674613705506
270,2223_off,-0.014306541956045192
271,2223_def,-0.015487346014424547
272,2225_off,0.03369489614311679
273,2225_def,-0.021901848320542795
274,2226_off,-0.03513168434401399
275,2226_def,-0.010307121535030675
276,2229_off,-0.031476705833012805
277,2229_def,-0.01242683107501248
278,2230_off,-0.0006510002906459558
279,2230_def,0.004275084133135407
280,2239_off,-0.026599278858830126
281,2239_def,-0.009424818898447894
282,2240_off,-0.019781392250981515
283,2240_def,-0.04002541827578317
284,2243_off,-0.009242969002308152
285,2243_def,-0.0213271180506344
286,2246_off,0.021319759393724325
