Player,Ridge Coefficient
1629130_off,0.026211758755615676
1629130_def,-0.00524748688488172
1628389_off,0.012812624488322547
1628389_def,-0.010437780508232557
202710_off,0.03468583069452595
202710_def,-0.020552828307875616
2772_off,-0.016964289254122578
2772_def,-0.009067067801567593
1629134_off,0.007478623922136625
1629134_def,0.011788641678510233
1629057_off,0.01356477400350615
1629057_def,0.010665414435902123
1628369_off,0.02491762244959008
1628369_def,-0.02214741970890855
202689_off,0.03699438492776573
202689_def,0.005864506440819923
203935_off,0.0026352451185104164
203935_def,-0.011100211859303238
203095_off,0.009897095231480621
203095_def,0.018016034423121025
201609_off,0.016886576505943905
201609_def,-0.0065072624721169035
202684_off,-0.0014097215946171377
202684_def,0.02283585143058408
1630174_off,-0.014671071496546709
1630174_def,-0.009326875799560194
203473_off,0.00475823772904722
203473_def,0.00974066877478709
1629639_off,-0.011592627857217756
1629639_def,0.020689500932524536
2738_off,0.003059616207144002
2738_def,-0.012196442459863671
1630202_off,0.011127313608302129
1630202_def,0.010261616679203337
1629684_off,-0.01153953582434371
1629684_def,-0.00950403115346247
1629035_off,-0.02717951762930855
1629035_def,-0.010002095242625613
1628436_off,-0.01024248251056006
1628436_def,-0.0072722757341099065
1629638_off,0.006230518372549397
1629638_def,0.01862898950302887
201949_off,-0.011535214733478655
201949_def,0.022368389235686955
1630230_off,0.002222183231700308
1630230_def,-0.00691051069046527
1626195_off,0.011019023510029142
1626195_def,0.025586114393634087
202339_off,0.012419813952678915
202339_def,-0.022121385885369493
203939_off,0.02401954728610744
203939_def,0.010042758094374573
1627827_off,0.028771131891128492
1627827_def,-0.01023330149883579
1629029_off,0.040624495682786116
1629029_def,0.020562830101498182
203501_off,0.015617226839335436
203501_def,0.008647631000495877
204001_off,0.03273085877987031
204001_def,0.021873100608536165
1628411_off,-0.017124444430723085
1628411_def,-0.011768724094370204
1629117_off,0.002522306594728711
1629117_def,0.005958341760827921
1628973_off,4.901815239736693e-06
1628973_def,-0.0005243951843534652
1626161_off,-0.011786296801552885
1626161_def,-0.04127387671718846
1629637_off,-0.018014413817696348
1629637_def,-0.009150695079065258
1630184_off,0.004471220846648786
1630184_def,-0.004214442742243526
1628467_off,-0.0005648954710780025
1628467_def,-0.014558750581532658
1626196_off,0.005838257260086788
1626196_def,0.009208649192078438
203504_off,0.02267707435710292
203504_def,0.009042053801448763
1629712_off,-0.0005455206225564042
1629712_def,0.002728339540650127
1629740_off,-0.009853692408179645
1629740_def,0.0024508351900868657
1630182_off,0.003738002969347669
1630182_def,-0.006267965637687428
1630207_off,-0.001947750530652681
1630207_def,0.0009041991352607066
203263_off,0.0012118848450957658
203263_def,0.008615175553276566
1626246_off,0.007813141155037536
1626246_def,-0.007267848678091373
1630189_off,-0.0002902364662314126
1630189_def,0.00012226403124516175
202696_off,0.003093632942247471
202696_def,-0.005220148454662855
1628464_off,-0.0037955043367764573
1628464_def,-0.006251896811412002
1629632_off,-0.00909716718287272
1629632_def,0.004228379570541381
203897_off,0.023077528160695526
203897_def,0.02126649213434434
1630172_off,-0.0022685498885964394
1630172_def,0.021915222369262768
201152_off,0.011109254159611089
201152_def,-0.007544265965639016
202066_off,-0.002178736130514223
202066_def,-0.02477892041972392
203107_off,0.0005029505711816179
203107_def,-0.01733566925781798
1628374_off,-0.0006573369122603408
1628374_def,-0.004905524485593998
1629750_off,-0.0013556096399012733
1629750_def,-0.001732138905366558
203953_off,-0.0016446786276391656
203953_def,-0.012053248508507844
1629605_off,0.001752299492762888
1629605_def,-0.00229304129469302
1629641_off,-0.009285778892270061
