Player,Ridge Coefficient,Bayesian Coefficient
203473_off,-0.00975212037506985,0
203473_def,-0.0010937002487765273,0
1628989_off,0.019358315485574668,0
1628989_def,0.006186974337153698,0
1629027_off,0.03138227062597808,0
1629027_def,0.02657277534377502,0
1627752_off,0.0037442931687244976,0
1627752_def,0.005823881968542343,0
1628381_off,0.008592142360660648,0
1628381_def,7.14836933708847e-05,0
203518_off,-0.006135973699343863,0
203518_def,-0.007648202260978754,0
201566_off,-0.001945916798532129,0
201566_def,0.001713542556057552,0
203924_off,0.0009649835286581729,0
203924_def,-0.0023863390930268687,0
203500_off,0.0275470926838693,0
203500_def,-0.005507199650254614,0
202331_off,0.024180281799311358,0
202331_def,-0.026168737695601837,0
1627761_off,-0.01258999241886235,0
1627761_def,-0.0017793692827899467,0
203458_off,-0.014472470223349597,0
203458_def,-0.007300677718928944,0
203145_off,-0.02561053728712942,0
203145_def,-0.015812707628307388,0
1629016_off,-0.011493999840746495,0
1629016_def,0.005861822383829809,0
1626147_off,0.001320394966802619,0
1626147_def,0.004231556733873948,0
203471_off,-0.0011764751477822766,0
203471_def,-0.01238511426917856,0
1627846_off,-0.022545111011488803,0
1627846_def,-0.004201000321508686,0
202335_off,-0.007817897704632804,0
202335_def,-0.0019051701240021903,0
203457_off,-0.015972965988245897,0
203457_def,-0.008347069716345044,0
1629126_off,-0.011705910755029466,0
1629126_def,-0.007640572898430041,0
203101_off,-0.0022511409089833205,0
203101_def,0.0015908842369536833,0
1628416_off,4.5370796341343764e-06,0
1628416_def,-0.0013053798013752708,0
1627789_off,-0.008851386534194683,0
1627789_def,0.007466442742805681,0
202694_off,0.005477762399694346,0
202694_def,0.011282228791854297,0
201143_off,0.008513269330965056,0
201143_def,-0.007569541618738747,0
203935_off,0.008715573621447523,0
203935_def,-0.008621050148948461,0
202681_off,0.030691201675445645,0
202681_def,0.004103268524073631,0
1628369_off,0.032371862189595195,0
1628369_def,-0.020085246128464553,0
1627863_off,0.0026357447055789713,0
1627863_def,-0.0019090770149449697,0
