col_idx,key,var,se
0,2207_off,0.001091260050628696,0.03303422544314753
1,2207_def,0.0006066836373012006,0.024630948769813976
2,2544_off,0.00024765799580217144,0.01573715335764926
3,2544_def,0.00020395089997114692,0.014281137908834398
4,2546_off,0.0005223123365667621,0.022854153595501237
5,2546_def,0.0003733175737300878,0.01932142783880342
6,2617_off,0.0009692333106764205,0.03113251211637796
7,2617_def,0.0005668875127076084,0.023809399671298064
8,2730_off,0.0006539880263772389,0.025573189601167057
9,2730_def,0.00043947806876683894,0.020963732224173227
10,2738_off,0.00070959512783748,0.026638226814814082
11,2738_def,0.00046433385784865386,0.02154840731582392
12,2772_off,0.0008161444736769199,0.02856824239740555
13,2772_def,0.000509943471881025,0.022581927992999736
14,101108_off,0.0002814026343196931,0.016775059890196908
15,101108_def,0.00022495345494191364,0.01499844841781688
16,101139_off,0.0010912600506286963,0.03303422544314754
17,101139_def,0.0006066836373012006,0.024630948769813976
18,101150_off,0.0007211544346949683,0.026854318734515836
19,101150_def,0.0004682800697299359,0.021639779798554696
20,200746_off,0.0006528360064717172,0.025550655695533865
21,200746_def,0.0004373476771003766,0.020912859132609693
22,200752_off,0.00048650455043862406,0.02205684815286681
23,200752_def,0.0003549313237060424,0.01883962111365413
24,200765_off,0.0007040977298954252,0.026534839925943122
25,200765_def,0.0004623028767991705,0.021501229657839814
26,200768_off,0.0002503911974908779,0.015823754216079
27,200768_def,0.00020731956992574863,0.014398596109543063
28,200782_off,0.00028169903221827606,0.01678389204619346
29,200782_def,0.00022903450901992365,0.015133886117581421
30,200794_off,0.0008442516668074433,0.02905600913421255
31,200794_def,0.0005223374110111146,0.02285470216413057
32,201142_off,0.0002449334125281803,0.01565034863918949
33,201142_def,0.00019984712800275492,0.014136729749229662
34,201143_off,0.0003023725218055842,0.01738886200432864
35,201143_def,0.00023969150966982015,0.015481973700721111
36,201144_off,0.000271938367384192,0.016490553883487115
37,201144_def,0.00021840943895298418,0.014778681908512146
38,201145_off,0.00029403155606846194,0.01714734836843475
39,201145_def,0.00023598572770774804,0.015361826965167523
40,201152_off,0.00043228486343702653,0.020791461310764727
41,201152_def,0.0003269908852094565,0.018082889293734465
42,201565_off,0.0005522836163888208,0.023500715231431168
43,201565_def,0.00039191215391341474,0.019796771300225065
44,201566_off,0.00024393946349581642,0.01561856150533129
45,201566_def,0.00019913901657964288,0.014111662431465787
46,201567_off,0.0002947241267889049,0.017167531179202934
47,201567_def,0.000238468504708022,0.01544242548008641
48,201568_off,0.000432812270983599,0.020804140717261048
49,201568_def,0.00032319297700038606,0.01797756871772115
50,201569_off,0.00024177249177435696,0.015549035075346539
51,201569_def,0.0002022431619805706,0.0142212222393355
52,201571_off,0.0006624433880898727,0.025737975602014095
53,201571_def,0.00044462881716722925,0.02108622339745146
54,201572_off,0.0002912303936907316,0.017065473731799292
55,201572_def,0.00023384223801122,0.015291901059424233
56,201577_off,0.0006348316650850806,0.025195866031654492
57,201577_def,0.00043162730167451677,0.020775642027973933
58,201580_off,0.0004698759966579965,0.0216766232761931
59,201580_def,0.00034455397638971484,0.018562165185929007
60,201586_off,0.0006073504216474541,0.024644480551382172
61,201586_def,0.0004180593789278874,0.020446500407842107
62,201587_off,0.0002748570027245462,0.016578811861063695
63,201587_def,0.0002256881929290119,0.015022922249982255
64,201588_off,0.0004446565468305121,0.021086880917539987
65,201588_def,0.0003333775708065773,0.018258630036412295
66,201599_off,0.0005126487451808721,0.022641747838470245
67,201599_def,0.00036679262965159216,0.01915183097386754
68,201609_off,0.0005235580252944505,0.022881390370658214
69,201609_def,0.00037706401734264087,0.019418136299414548
70,201933_off,0.0005207555247984477,0.022820068466120946
71,201933_def,0.0003745441142402013,0.019353142231694608
72,201935_off,0.00022535761023550392,0.0150119156084593
73,201935_def,0.0001862855240549423,0.013648645502574323
74,201937_off,0.0005277174774096791,0.02297210215478068
75,201937_def,0.0003789653516528053,0.01946703243056849
76,201939_off,0.0002982733398495178,0.017270591763153858
77,201939_def,0.0002342030973928885,0.01530369554692227
78,201942_off,0.00029223602988945926,0.01709491239782934
79,201942_def,0.0002306949213149046,0.015188644485763191
80,201949_off,0.0005567280912622924,0.023595086167723406
81,201949_def,0.00039201097854490037,0.019799267121408823
82,201950_off,0.0002425795111492227,0.015574964242309601
83,201950_def,0.00019933585362908018,0.014118634977542276
84,201954_off,0.0010584327543928563,0.032533563505906575
85,201954_def,0.0005963880425710859,0.02442105735980909
86,201959_off,0.0005143884260121986,0.022680132848204363
87,201959_def,0.00037025999598387383,0.019242141148631924
88,201961_off,0.0006920622075958302,0.026307075238342824
89,201961_def,0.0004580470230818675,0.02140203315299431
90,201976_off,0.00025653973994703487,0.016016857992347776
91,201976_def,0.0002122985556792609,0.014570468615636935
92,201980_off,0.0004915060038501389,0.02216993468303727
93,201980_def,0.00035906068731306586,0.018948896730761552
94,201988_off,0.0003652974976289999,0.019112757457494193
95,201988_def,0.0002806974982847678,0.01675402931490714
96,202066_off,0.000532311405327326,0.023071874768369516
97,202066_def,0.000379184299173754,0.019472655164967975
98,202083_off,0.0003877266731168246,0.019690776346219175
99,202083_def,0.0002985157963747976,0.01727760968348335
100,202322_off,0.0006978949510476165,0.026417701471695386
101,202322_def,0.00046044621690831405,0.021458010553364774
102,202324_off,0.000746452635271008,0.027321285388337935
103,202324_def,0.0004805181899559008,0.021920725123861683
