lam_off,lam_def,mean_rmse,std_rmse
1500.0,3000.0,1.1062676974808754,0.0007454172471426904
2500.0,3000.0,1.106272902735771,0.0007543124338022784
1500.0,4500.0,1.1062831374282058,0.0007510596564481846
2500.0,4500.0,1.106287071220789,0.0007596261618182918
