alpha,mean_mse,mean_rmse
100.0,1.415968912607007,1.1899449199887393
250.0,1.4108315139463337,1.1877842876323688
500.0,1.4096331118673688,1.1872797108800306
1000.0,1.4096639386724839,1.1872926929247412
1500.0,1.4099482904826073,1.1874124348694548
2000.0,1.4101945155071782,1.1875161116831965
3000.0,1.4105482219169836,1.187665029339916
4500.0,1.4108688161487406,1.1877999899599008
6000.0,1.4110632073629197,1.187881815402071
8000.0,1.4112273520183396,1.1879509047171688
