alpha,pid,beta_off
125.0,1631170,0.12025049099799698
125.0,1629216,0.09010044125475695
125.0,1626156,0.09135303008364891
125.0,203932,0.07879968522420525
125.0,1630573,0.10852508002938173
125.0,1630631,0.07020851231825678
125.0,2544,0.07821578423805928
125.0,1627752,0.02260319093839716
125.0,203994,0.0669234379321522
125.0,1629639,0.006925473119274649
125.0,1630540,0.05451137752239333
125.0,1630558,0.02805882638724128
125.0,203078,0.022238833928096276
125.0,1628401,0.042122853496437726
125.0,1630200,0.06160735627369819
125.0,1630541,0.045662842552155435
125.0,1641717,0.04749716586580666
125.0,1641715,0.04790830122240482
125.0,1627750,0.07881269397157709
125.0,1641708,0.10254194801269319
170.09875002179703,1631170,0.10241347886383309
170.09875002179703,1629216,0.07654892575921181
170.09875002179703,1626156,0.07944056622462306
170.09875002179703,203932,0.06672725591023654
170.09875002179703,1630573,0.09182818562495976
170.09875002179703,1630631,0.059694897599603364
170.09875002179703,2544,0.06653161084453162
170.09875002179703,1627752,0.023822648981873945
170.09875002179703,203994,0.05914367805499431
170.09875002179703,1629639,0.006209581758185125
170.09875002179703,1630540,0.04324290291864381
170.09875002179703,1630558,0.022286638525020264
170.09875002179703,203078,0.024192148208486166
170.09875002179703,1628401,0.034481930016438074
170.09875002179703,1630200,0.04952909275858731
170.09875002179703,1630541,0.038298511943917604
170.09875002179703,1641717,0.040682583355269
170.09875002179703,1641715,0.04134012714687121
170.09875002179703,1627750,0.0680270566648027
170.09875002179703,1641708,0.08311946031235666
231.4686780718225,1631170,0.08584510957492433
231.4686780718225,1629216,0.06393909613220582
231.4686780718225,1626156,0.06810756124076181
231.4686780718225,203932,0.056317968850915896
231.4686780718225,1630573,0.0771029326135542
231.4686780718225,1630631,0.049531158715880604
231.4686780718225,2544,0.05618489631038512
231.4686780718225,1627752,0.02337846454880216
231.4686780718225,203994,0.05146202217166632
231.4686780718225,1629639,0.005262695254706651
231.4686780718225,1630540,0.03393162895268767
231.4686780718225,1630558,0.01737511472312578
231.4686780718225,203078,0.024517166798403538
231.4686780718225,1628401,0.027662651421787077
231.4686780718225,1630200,0.039361142358106095
231.4686780718225,1630541,0.03133390824994812
231.4686780718225,1641717,0.034384746768015215
231.4686780718225,1641715,0.03492804779801082
231.4686780718225,1627750,0.05809695483734378
231.4686780718225,1641708,0.0664574694893716
314.9802624737181,1631170,0.07090930171591946
314.9802624737181,1629216,0.05252062981263271
314.9802624737181,1626156,0.05752522819878194
314.9802624737181,203932,0.04730055955278264
314.9802624737181,1630573,0.06419538552681148
314.9802624737181,1630631,0.04008862189494123
314.9802624737181,2544,0.04708809023414931
314.9802624737181,1627752,0.021745465211731367
314.9802624737181,203994,0.0440228231050471
314.9802624737181,1629639,0.004298742534999831
314.9802624737181,1630540,0.026414803126623348
314.9802624737181,1630558,0.01335327575685687
314.9802624737181,203078,0.023533314708801843
314.9802624737181,1628401,0.021748634734321037
314.9802624737181,1630200,0.030937377408177157
314.9802624737181,1630541,0.02504860934448744
314.9802624737181,1641717,0.028648777465343504
314.9802624737181,1641715,0.028906463137421557
314.9802624737181,1627750,0.0490864896833969
314.9802624737181,1641708,0.05247060752654108
428.62199142653617,1631170,0.057789513430909906
428.62199142653617,1629216,0.04246019547146052
428.62199142653617,1626156,0.04786521660702237
428.62199142653617,203932,0.039447278395948124
428.62199142653617,1630573,0.05295621764799581
428.62199142653617,1630631,0.031668037711252234
428.62199142653617,2544,0.03913553896794491
428.62199142653617,1627752,0.019390242775022125
428.62199142653617,203994,0.03698526027070555
428.62199142653617,1629639,0.0034473962848798876
428.62199142653617,1630540,0.020438375248061347
428.62199142653617,1630558,0.010177828374745767
428.62199142653617,203078,0.021609640496151675
428.62199142653617,1628401,0.016764724155223554
428.62199142653617,1630200,0.024052611675616658
428.62199142653617,1630541,0.019613049941030625
428.62199142653617,1641717,0.02350951615987156
428.62199142653617,1641715,0.02344909868114553
428.62199142653617,1627750,0.04101193474752883
428.62199142653617,1641708,0.040943191271254495
583.2645197880585,1631170,0.04651580179484841
583.2645197880585,1629216,0.03382815525689804
583.2645197880585,1626156,0.039258059802234915
583.2645197880585,203932,0.032590740011856974
583.2645197880585,1630573,0.04324415915879278
583.2645197880585,1630631,0.024454702381142272
583.2645197880585,2544,0.03222866681179396
583.2645197880585,1627752,0.01671196567939953
583.2645197880585,203994,0.03050521756438173
583.2645197880585,1629639,0.0027583769779898214
583.2645197880585,1630540,0.01572942616669047
