alpha,pid,beta_off
375.0,203999,0.1025006573095886
375.0,203507,0.06265415187630251
375.0,202331,0.0613106360210408
375.0,202681,0.07584882774599301
375.0,203954,0.05752455460045698
375.0,201939,0.06849711153094272
375.0,201142,0.05822225846242858
375.0,201950,0.057843938036418394
375.0,1628369,0.058992779088045434
375.0,202695,0.04775288115472717
375.0,1628983,0.06570131362913642
375.0,2544,0.0636440112617925
375.0,203081,0.07621985155860697
375.0,1626164,0.07103136947362663
375.0,1630162,0.04560820265242201
375.0,1628378,0.054283848939506135
375.0,203500,0.06907097860195228
375.0,202710,0.05082268107307677
375.0,1628973,0.06274692036390724
375.0,1630532,0.02496424089756165
510.29625006539135,203999,0.09878225664512423
510.29625006539135,203507,0.0605544469664187
510.29625006539135,202331,0.05915434483388828
510.29625006539135,202681,0.07408388486063763
510.29625006539135,203954,0.05495862201296
510.29625006539135,201939,0.06626107051809628
510.29625006539135,201142,0.056432569879019776
510.29625006539135,201950,0.05676221155577748
510.29625006539135,1628369,0.057835886407677214
510.29625006539135,202695,0.04655552925779644
510.29625006539135,1628983,0.06313290868003119
510.29625006539135,2544,0.06155593595746156
510.29625006539135,203081,0.0743708149054597
510.29625006539135,1626164,0.06956011753019244
510.29625006539135,1630162,0.04371558176869258
510.29625006539135,1628378,0.05241231178234851
510.29625006539135,203500,0.06630587239510664
510.29625006539135,202710,0.04913920381328934
510.29625006539135,1628973,0.06137494001261714
510.29625006539135,1630532,0.02363693818168886
694.4060342154677,203999,0.09447982895969825
694.4060342154677,203507,0.05816595699639921
694.4060342154677,202331,0.05665136344081087
694.4060342154677,202681,0.07195015457278232
694.4060342154677,203954,0.052089582047923896
694.4060342154677,201939,0.06365294283431816
694.4060342154677,201142,0.05434725128522086
694.4060342154677,201950,0.055439535629504134
694.4060342154677,1628369,0.05642423135165089
694.4060342154677,202695,0.04518729926281317
694.4060342154677,1628983,0.06012047172267364
694.4060342154677,2544,0.05910422603684924
694.4060342154677,203081,0.07206935738577858
694.4060342154677,1626164,0.0677979099877887
694.4060342154677,1630162,0.04153163458145139
694.4060342154677,1628378,0.05029461744348419
694.4060342154677,203500,0.06313809473808721
694.4060342154677,202710,0.04722564575252124
694.4060342154677,1628973,0.059754158344916805
694.4060342154677,1630532,0.022111805198269642
944.9407874211547,203999,0.08958684559655734
944.9407874211547,203507,0.05545658040901338
944.9407874211547,202331,0.053769565678620734
944.9407874211547,202681,0.06937035782509683
944.9407874211547,203954,0.04892701899096104
944.9407874211547,201939,0.06062522845473342
944.9407874211547,201142,0.051925720111889034
944.9407874211547,201950,0.05380864966521961
944.9407874211547,1628369,0.05471060332285224
944.9407874211547,202695,0.04360603345114368
