lam_off,lam_def,mean_rmse,std_rmse
2500.0,4500.0,1.1880742468787382,0.0009973897369405947
2500.0,3000.0,1.188075803760879,0.001002136092022349
1500.0,4500.0,1.1880773760561019,0.0010017720249001815
1500.0,3000.0,1.1880793003549994,0.001006232371510664
2500.0,6000.0,1.1880840747734434,0.0009951460680010862
1500.0,6000.0,1.1880869871687874,0.000999786403422353
4000.0,4500.0,1.188102699437742,0.000993760696171266
4000.0,3000.0,1.1881043410608179,0.0009987334440569938
4000.0,6000.0,1.1881124774903282,0.0009912826209681786
2500.0,1500.0,1.1881189793249163,0.001013296318891926
750.0,4500.0,1.188122155826384,0.001008475703010376
1500.0,1500.0,1.1881230165240602,0.0010171761730309596
750.0,3000.0,1.188124838924846,0.0010125996723741285
750.0,6000.0,1.1881313698892613,0.0010067627437071866
4000.0,1500.0,1.1881478316597007,0.0010099813703839497
750.0,1500.0,1.1881700835728972,0.0010231764728164305
