lam_off,lam_def,lam_home,lam_rb,lam_playoff,mean_rmse,std_rmse
1500.0,3000.0,500.0,250.0,250.0,1.1880793003549994,0.001006232371510664
1500.0,3000.0,50.0,250.0,250.0,1.188079301939745,0.0010062060014259546
1500.0,3000.0,500.0,2500.0,250.0,1.188079303121075,0.0010062319069421488
1500.0,3000.0,5000.0,250.0,250.0,1.1880793040480435,0.0010064961173122024
1500.0,3000.0,50.0,2500.0,250.0,1.1880793044054003,0.0010062060006630381
1500.0,3000.0,5000.0,2500.0,250.0,1.1880793068237179,0.001006495676684617
1500.0,3000.0,500.0,250.0,2500.0,1.1880793791268787,0.0010059665711279699
1500.0,3000.0,50.0,250.0,2500.0,1.1880793794048385,0.0010059398355724066
1500.0,3000.0,500.0,2500.0,2500.0,1.1880793810614751,0.0010059672444573166
1500.0,3000.0,50.0,2500.0,2500.0,1.1880793813541892,0.0010059405251582239
1500.0,3000.0,5000.0,250.0,2500.0,1.1880793837331305,0.001006231029072024
1500.0,3000.0,5000.0,2500.0,2500.0,1.1880793862133612,0.0010062308068141685
3000.0,3000.0,500.0,250.0,250.0,1.1880829694460722,0.0010007909515409813
3000.0,3000.0,50.0,250.0,250.0,1.1880829696031538,0.0010007643539481613
3000.0,3000.0,500.0,2500.0,250.0,1.188082972049145,0.001000790989183532
3000.0,3000.0,50.0,2500.0,250.0,1.1880829722001562,0.0010007643918587676
3000.0,3000.0,5000.0,250.0,250.0,1.1880829744808157,0.0010010534417742734
3000.0,3000.0,5000.0,2500.0,250.0,1.1880829770934087,0.0010010534743891326
3000.0,3000.0,500.0,250.0,2500.0,1.1880831373514906,0.0010005704060492948
3000.0,3000.0,50.0,250.0,2500.0,1.1880831375041336,0.0010005438121218875
3000.0,3000.0,500.0,2500.0,2500.0,1.1880831399542437,0.0010005704434161184
3000.0,3000.0,50.0,2500.0,2500.0,1.1880831401065144,0.0010005438515525362
3000.0,3000.0,5000.0,250.0,2500.0,1.1880831423819387,0.0010008328393559791
3000.0,3000.0,5000.0,2500.0,2500.0,1.188083144993999,0.0010008328732746714
1500.0,6000.0,50.0,250.0,2500.0,1.188086970115399,0.0009994672010925846
1500.0,6000.0,500.0,250.0,2500.0,1.188086970230432,0.0009994940267328593
1500.0,6000.0,50.0,2500.0,2500.0,1.188086972528128,0.0009994673222158187
1500.0,6000.0,500.0,2500.0,2500.0,1.188086972617694,0.0009994939582476257
1500.0,6000.0,5000.0,250.0,2500.0,1.1880869771249019,0.0009997582954651247
1500.0,6000.0,5000.0,2500.0,2500.0,1.1880869795001232,0.0009997583597066572
1500.0,6000.0,50.0,250.0,250.0,1.1880869871459958,0.0009997596023487104
1500.0,6000.0,500.0,250.0,250.0,1.1880869871687874,0.000999786403422353
1500.0,6000.0,50.0,2500.0,250.0,1.1880869895864519,0.0009997596630192524
1500.0,6000.0,500.0,2500.0,250.0,1.1880869896919373,0.000999786388719846
1500.0,6000.0,5000.0,250.0,250.0,1.1880869941553345,0.0010000507191234246
1500.0,6000.0,5000.0,2500.0,250.0,1.1880869965583578,0.0010000507175946445
3000.0,6000.0,50.0,250.0,250.0,1.188091286799432,0.0009935832632116215
3000.0,6000.0,500.0,250.0,250.0,1.1880912870002698,0.0009936099166295187
3000.0,6000.0,50.0,2500.0,250.0,1.1880912893531157,0.000993583269366776
3000.0,6000.0,500.0,2500.0,250.0,1.188091289555777,0.000993609924464098
3000.0,6000.0,5000.0,250.0,250.0,1.1880912954964387,0.0009938729823805118
3000.0,6000.0,5000.0,2500.0,250.0,1.1880912980609133,0.0009938729875928023
3000.0,6000.0,50.0,250.0,2500.0,1.1880913756081988,0.0009933353248186407
