alpha,pid,beta_off
625.0,203999,0.09601730639241622
625.0,203507,0.05901640707672708
625.0,202681,0.07272551440770231
625.0,1628369,0.05693874971124442
625.0,202331,0.05754861078472623
625.0,201939,0.0645894498883711
625.0,201950,0.05592269184339265
625.0,201142,0.05509653329148119
625.0,203954,0.05310393462210019
625.0,202695,0.04567700423851612
625.0,2544,0.059986901129972
625.0,1628983,0.06120323101355858
625.0,203081,0.0729125455387308
625.0,1626164,0.06843709331922701
625.0,1630162,0.042312921557426116
625.0,1628378,0.05104795820124775
625.0,202710,0.047907686118315286
625.0,1628973,0.060339121000482276
625.0,1630532,0.02265739370546465
625.0,203932,0.03340796397283546
850.493750108986,203999,0.09132494197807021
850.493750108986,203507,0.05642074425856602
850.493750108986,202681,0.07030760143038285
850.493750108986,1628369,0.05533341021580993
850.493750108986,202331,0.05479850330005911
850.493750108986,201939,0.061709985892927866
850.493750108986,201950,0.05440415484468023
850.493750108986,201142,0.05279252113784073
850.493750108986,203954,0.050039270831182724
850.493750108986,202695,0.04417334733241118
850.493750108986,2544,0.05726501816516756
850.493750108986,1628983,0.057872544777309735
850.493750108986,203081,0.07026460600167142
850.493750108986,1626164,0.06644646801617134
850.493750108986,1630162,0.039921529387453504
850.493750108986,1628378,0.04875103605530629
850.493750108986,202710,0.04582084480832828
850.493750108986,1628973,0.058527137742175515
850.493750108986,1630532,0.020985440326040893
850.493750108986,203932,0.03285782759406461
1157.3433903591135,203999,0.08605728649929022
1157.3433903591135,203507,0.05348730939263419
1157.3433903591135,202681,0.06739437739854377
1157.3433903591135,1628369,0.05339649684411545
1157.3433903591135,202331,0.05165706480169609
1157.3433903591135,201939,0.05839263107116994
1157.3433903591135,201950,0.05253925590545893
1157.3433903591135,201142,0.05013455659513017
1157.3433903591135,203954,0.04669637646782328
1157.3433903591135,202695,0.04242697187060286
1157.3433903591135,2544,0.05409326777509044
1157.3433903591135,1628983,0.05403609256657705
1157.3433903591135,203081,0.06702990738467064
1157.3433903591135,1626164,0.06405090479785891
1157.3433903591135,1630162,0.03720389243850702
1157.3433903591135,1628378,0.046153472044464905
1157.3433903591135,202710,0.04343382083809379
1157.3433903591135,1628973,0.05638572167442947
1157.3433903591135,1630532,0.019067782677644335
1157.3433903591135,203932,0.03232004039452941
1574.901312368592,203999,0.08027123726226089
1574.901312368592,203507,0.05020210712990921
1574.901312368592,202681,0.06392370534321123
1574.901312368592,1628369,0.05109441278430534
1574.901312368592,202331,0.04812649473420239
1574.901312368592,201939,0.05463586669865914
1574.901312368592,201950,0.05027850112915902
1574.901312368592,201142,0.04711114555740939
1574.901312368592,203954,0.04311836777862618
1574.901312368592,202695,0.040396768977926725
1574.901312368592,2544,0.05044702277521658
1574.901312368592,1628983,0.049706727980793626
1574.901312368592,203081,0.06316309894841532
1574.901312368592,1626164,0.06118847623664799
1574.901312368592,1630162,0.03417111863644528
1574.901312368592,1628378,0.043241786078923865
1574.901312368592,202710,0.040716904196461526
1574.901312368592,1628973,0.053873594782498625
1574.901312368592,1630532,0.01689496497909245
1574.901312368592,203932,0.03176066013290804
2143.1099571326827,203999,0.07405861474726286
2143.1099571326827,203507,0.0465714932635361
2143.1099571326827,202681,0.059862857715962975
2143.1099571326827,1628369,0.04840767817699834
2143.1099571326827,202331,0.044238126140292
2143.1099571326827,201939,0.05047393316810816
2143.1099571326827,201950,0.04759641115678348
2143.1099571326827,201142,0.043746276744204955
2143.1099571326827,203954,0.03937194980960455
2143.1099571326827,202695,0.0380487011103351
2143.1099571326827,2544,0.046334464940192804
2143.1099571326827,1628983,0.0449464936616145
2143.1099571326827,203081,0.05867012774189855
2143.1099571326827,1626164,0.057816633259580856
2143.1099571326827,1630162,0.030873721529379734
2143.1099571326827,1628378,0.040021451648477896
