col_idx,key,var,se
0,2544_off,0.002444568297246087,0.049442575754566905
1,2544_def,0.0024385130524245124,0.04938130266026315
2,101108_off,0.002590341525744778,0.05089539788374562
3,101108_def,0.0025838052808570154,0.05083114479191882
4,200768_off,0.0024770912707016094,0.049770385478732325
5,200768_def,0.002471103089108919,0.04971019099851578
6,200782_off,0.0028109162106003155,0.053018074376577615
7,200782_def,0.002817976859403738,0.05308461980087771
8,201142_off,0.00258406795172912,0.05083372848541724
9,201142_def,0.0025845866268088906,0.05083882991187829
10,201143_off,0.0028609333633874087,0.05348769356952503
11,201143_def,0.002860412538033461,0.0534828247013325
12,201144_off,0.0025689915334878243,0.05068522006944257
13,201144_def,0.0025672145327322927,0.050667687264491286
14,201145_off,0.0027732986587617903,0.052662117871975014
15,201145_def,0.002778280281026114,0.052709394618285214
16,201152_off,0.0029374011319513596,0.05419779637541881
17,201152_def,0.0029373714257907883,0.05419752232151197
18,201566_off,0.0027929988823628786,0.052848830472990396
19,201566_def,0.002793015851921055,0.05284899102084215
20,201567_off,0.002589586614903077,0.05088798104565632
21,201567_def,0.002601568587686595,0.05100557408447232
22,201568_off,0.00287899911207297,0.05365630542697633
23,201568_def,0.0028783885053932957,0.05365061514459359
24,201569_off,0.0027301417399121395,0.05225075827116904
25,201569_def,0.0027385003257692454,0.052330682450826546
26,201572_off,0.002718423585092907,0.05213850386319986
27,201572_def,0.002717139858176101,0.05212619167152057
28,201580_off,0.002956501418780523,0.05437371992774196
29,201580_def,0.0029562299944781473,0.05437122395604266
30,201587_off,0.0024416048583418585,0.04941259817437106
31,201587_def,0.002437859449201721,0.04937468429470432
32,201599_off,0.0029760442185110822,0.054553132068755526
33,201599_def,0.002971653491624429,0.05451287454926982
34,201935_off,0.002748241890640044,0.05242367681344036
35,201935_def,0.002746729548069608,0.0524092505963366
36,201939_off,0.0026270785732523173,0.051255034613707146
37,201939_def,0.0026321024431303903,0.05130401975606191
38,201942_off,0.0025069623571926667,0.050069575164890974
39,201942_def,0.0025052442903707025,0.05005241542993407
40,201949_off,0.0029906942275737865,0.054687240080056945
41,201949_def,0.002990664590136659,0.05468696910724399
42,201950_off,0.002824045950101418,0.05314175335930701
43,201950_def,0.0028271960234991845,0.05317138350183475
44,201959_off,0.002858327255485203,0.05346332626656522
45,201959_def,0.002858616894140598,0.05346603495809838
