lam_off,lam_def,mean_rmse,std_rmse
2500.0,4500.0,1.1271130806207041,0.00032084810891105383
5000.0,4500.0,1.1271324119708075,0.0003222098661309672
2500.0,9000.0,1.1271460872086432,0.0003233687606449065
5000.0,9000.0,1.1271665669314923,0.000324285260791754
10000.0,4500.0,1.1271885809598443,0.0003262052520682584
2500.0,18000.0,1.1272112125816083,0.0003263710286356731
10000.0,9000.0,1.127223527801748,0.000327870964730167
5000.0,18000.0,1.12723328027643,0.0003269370978919922
20000.0,4500.0,1.1272916112956974,0.0003321454281969336
10000.0,18000.0,1.1272918925085567,0.0003301307588651687
2500.0,36000.0,1.1273059073013385,0.00032964809782891504
20000.0,9000.0,1.1273269465424667,0.00033355034269317684
5000.0,36000.0,1.1273295994055648,0.0003299810158177819
10000.0,36000.0,1.1273904549908276,0.0003328822032312051
20000.0,18000.0,1.127396753277906,0.0003354997239303747
20000.0,36000.0,1.127498081928641,0.00033796955571694916
