col_idx,key,var,se
0,2_off,0.00047112733979075185,0.021705467969863074
1,2_def,0.0003382640771288369,0.018391956859693775
2,3_off,0.0001529982796786573,0.012369247336788819
3,3_def,0.00013396403456282199,0.011574283328259334
4,7_off,0.00043576285829474286,0.02087493373150542
5,7_def,0.0003165564240231366,0.017792032599541194
6,9_off,0.0006898852645576283,0.026265667030510156
7,9_def,0.0004373258693762894,0.020912337731021115
8,12_off,0.0009370921206529103,0.03061196041832196
9,12_def,0.0005271055625993449,0.022958779640898704
10,15_off,0.00011766471320733725,0.010847336687285837
11,15_def,0.0001059061844866564,0.010291073048358777
12,17_off,0.0003214165733858243,0.017928094527467894
13,17_def,0.0002463027535348435,0.015694035603847835
14,21_off,0.0001670082511287361,0.012923167225132393
15,21_def,0.00014368018831664294,0.011986667106274494
16,22_off,0.00022908345651001036,0.015135503179941206
17,22_def,0.00018901930814461184,0.01374842929736382
18,23_off,0.00023444209557238802,0.015311502067804714
19,23_def,0.00019235360887279269,0.01386916035211911
20,26_off,0.00020657543530199057,0.014372732353383284
21,26_def,0.00017333755429477433,0.013165772073629952
22,28_off,0.00029430409243619054,0.017155293423202954
23,28_def,0.00023379629850393664,0.01529039889943806
24,29_off,0.0002720457735121541,0.016493810157515276
25,29_def,0.00021888226046059073,0.014794670001746937
26,31_off,0.0007146221009462234,0.02673241666864826
27,31_def,0.0004487094029826406,0.021182761929990163
28,32_off,0.00062859134157362,0.02507172394498671
29,32_def,0.0004129410937663698,0.020320952088088044
30,35_off,0.0005942096314857735,0.02437641547655794
31,35_def,0.0003978289409607734,0.019945649675073847
32,36_off,0.000805657308983223,0.028384103103378536
33,36_def,0.0004835855729203514,0.02199057918565019
34,37_off,0.000794594953762307,0.028188560689795906
35,37_def,0.00047807044558931136,0.021864822102850765
36,38_off,0.0008670621767725321,0.029445919526693884
37,38_def,0.0005037764169963546,0.022444964178994685
38,42_off,0.0001776756400349095,0.013329502617686435
39,42_def,0.0001525984996874186,0.012353076527222626
40,43_off,0.00016079534486756228,0.012680510434030732
41,43_def,0.00013801412829105603,0.011747941449081879
42,45_off,0.00013561319933937175,0.011645308039694432
43,45_def,0.0001206159873058655,0.01098253100636941
44,47_off,0.0006137139341953343,0.024773250376067615
45,47_def,0.0004064969972456729,0.020161770687260404
46,49_off,0.00039993513344044454,0.01999837827026093
47,49_def,0.0002990376002127897,0.017292703669836876
48,51_off,0.0003461825870357788,0.01860598256034276
49,51_def,0.00026515229651196017,0.016283497674392935
50,52_off,0.0008223324652714832,0.028676339816501743
51,52_def,0.0004892329604968977,0.02211861117920602
52,53_off,0.00015504829947038623,0.012451839200310379
53,53_def,0.00013460177691512648,0.011601800589353641
54,54_off,0.0002921730996844816,0.017093071686636128
55,54_def,0.00023067778811380906,0.015188080461790064
56,55_off,0.0004368626643557237,0.02090125987484304
57,55_def,0.0003177269304364902,0.017824896365378685
58,56_off,6.793749479875105e-05,0.00824242044540019
59,56_def,6.197268491666362e-05,0.007872273173401926
60,57_off,8.374169614189898e-05,0.009151048909381863
61,57_def,7.594906835935914e-05,0.008714876267587459
62,61_off,0.00038137025495341896,0.01952870336078202
63,61_def,0.0002865068307090806,0.0169265126564535
64,63_off,0.00018875803817677017,0.013738924200124628
65,63_def,0.0001595324406207621,0.012630615211491563
66,64_off,0.00017704726573255264,0.013305910932084004
67,64_def,0.00015119076453634197,0.012295965376347721
68,65_off,0.00036348247192043024,0.019065216283075056
69,65_def,0.00027799104969506116,0.016673063596563804
70,67_off,0.00026802701466693835,0.016371530614665765
71,67_def,0.00021584599655664224,0.014691698218948081
72,70_off,0.0001749749707366677,0.013227810504262135
73,70_def,0.00015160616870561405,0.012312845678624177
74,71_off,0.0003854388552131224,0.019632596751655712
75,71_def,0.0002890391958141674,0.01700115277897847
76,72_off,0.00010771615993625918,0.010378639599497575
77,72_def,9.711050136613806e-05,0.009854466061950696
78,73_off,0.0003144716459242027,0.017733348412643415
79,73_def,0.0002435800004567986,0.015607049703797275
80,76_off,0.0002054184421046665,0.01433242624626642
81,76_def,0.00017466286119504983,0.013216007763127632
82,77_off,0.00029050435402398566,0.017044188277063405
83,77_def,0.00023316679963105984,0.01526980024856448
84,78_off,0.0008726913738358533,0.029541350237182004
85,78_def,0.0005063348930170488,0.022501886432409367
86,80_off,0.0008296337937496498,0.028803364278320854
87,80_def,0.0004913144511354861,0.02216561416102622
88,81_off,0.0007724481190315892,0.027792950887438873
89,81_def,0.00046938821778520914,0.021665369089521856
90,82_off,0.0004328135049812296,0.020804170374740485
91,82_def,0.0003169883775523735,0.0178041674209263
92,84_off,8.407290736396661e-05,0.009169127950027015
93,84_def,7.626947787974871e-05,0.008733239827220405
