side,arm,learner,mean_weighted_rmse,mean_weighted_correlation,mean_calibration_slope,folds
defense,audited_all,ridge,0.9517723550086189,0.5514804653046816,0.8707691483866836,4
defense,audited_all,additive_spline_ridge,0.9582134660272595,0.5343886862665688,0.9404132063382675,4
defense,audited_all,elastic_net,0.9609265371934388,0.5379250624949188,0.9289593858445389,4
defense,audited_all,histogram_gbm,0.9701343011745125,0.5185503091066044,0.9414037496415625,4
defense,audited_all,extra_trees,0.9720809872294374,0.51726999015242,1.1411291581657372,4
defense,box15,extra_trees,1.0592241740602275,0.36315764783017024,1.2848399116965377,4
defense,box15,histogram_gbm,1.069907239109701,0.3289660295915572,0.9166253897127822,4
defense,box15,additive_spline_ridge,1.072718736692328,0.32335390134989134,1.1324317451052308,4
defense,box15,ridge,1.0745553019671663,0.3208110797944643,0.8823967758411569,4
defense,box15,elastic_net,1.0745564495980697,0.31943501594105533,0.9128458606889267,4
offense,audited_all,elastic_net,0.9784226710518369,0.6565974710934737,0.9696436835789328,4
offense,audited_all,ridge,0.9811303642377073,0.6554654828531687,0.9603664299051429,4
offense,audited_all,additive_spline_ridge,0.9869444091065182,0.6549928284787276,0.9731295418913449,4
offense,audited_all,histogram_gbm,0.9956217793976236,0.644061303158362,0.9683160557312738,4
offense,audited_all,extra_trees,0.9957924238764595,0.6452716700783382,1.0497094419411723,4
offense,box15,extra_trees,1.0778914833158926,0.5622697047808992,1.0534899145341075,4
offense,box15,histogram_gbm,1.0809830135791092,0.5704949080666412,0.9296415759987713,4
offense,box15,additive_spline_ridge,1.0982899633872352,0.5406159202412355,1.0840550589478053,4
offense,box15,elastic_net,1.1036831908838274,0.557459250201615,0.9384280576061584,4
offense,box15,ridge,1.1041230047092863,0.5609044277662658,0.9224876123412137,4
