side,arm,learner,mean_weighted_rmse,mean_weighted_correlation,mean_calibration_slope,folds
defense,audited_all,ridge,0.9517723550086189,0.5514804653046816,0.8707691483866836,4
defense,box15_plus_matchup_shot_defense,ridge,0.9799996089607484,0.5048638064323109,0.906063410648742,4
defense,box15_plus_shooting,ridge,1.009548816174156,0.45570818415823183,0.8429374857192449,4
defense,box15_plus_rim_interior,ridge,1.0347876456497196,0.4097344295071938,0.9561995389996562,4
defense,box15_plus_creation_passing,ridge,1.0625908439641396,0.3483255083259979,0.9347732367996388,4
defense,box15_plus_turnovers,ridge,1.0710099689611885,0.3312635306978941,0.8613244052048861,4
defense,box15_plus_rebounding,ridge,1.0732369568767899,0.3280334157538052,0.8345377892223806,4
defense,box15_plus_disruption,ridge,1.073332390231035,0.3236298586633316,0.8801746331515599,4
defense,box15,ridge,1.0745553019671663,0.3208110797944643,0.8823967758411569,4
defense,box15_plus_three_spacing,ridge,1.0751775237936898,0.31976929627675776,0.8786329955972033,4
defense,box15_plus_fouls_free_throws,ridge,1.0755937328119625,0.323584102081926,0.8199041195198989,4
defense,box15_plus_general_box_or_rate,ridge,1.07587739692332,0.31674274169971944,0.877962450159354,4
offense,audited_all,elastic_net,0.9784226710518369,0.6565974710934737,0.9696436835789328,4
offense,box15_plus_shooting,elastic_net,1.0234196950229653,0.624387511210156,0.9633136729395924,4
offense,box15_plus_creation_passing,elastic_net,1.0292015896212072,0.6185597432614222,0.948325655963814,4
offense,box15_plus_three_spacing,elastic_net,1.0573674859864264,0.6084823781173417,0.9651293201747954,4
offense,box15_plus_general_box_or_rate,elastic_net,1.073625967128501,0.5812660980358748,0.9250645214318103,4
offense,box15_plus_turnovers,elastic_net,1.097287140467029,0.5767795679963446,0.9822616064437747,4
offense,box15_plus_rebounding,elastic_net,1.1015532276420934,0.5562381045474184,0.9286318003605253,4
offense,box15_plus_rim_interior,elastic_net,1.103161007644132,0.5618430207040914,0.9336546824203686,4
offense,box15,elastic_net,1.1036831908838274,0.557459250201615,0.9384280576061584,4
offense,box15_plus_fouls_free_throws,elastic_net,1.1038167570253072,0.5573795065440692,0.9370424445458503,4
offense,box15_plus_disruption,elastic_net,1.1039464682256694,0.557258672365173,0.9378775709365643,4
