side,arm,learner,mean_weighted_rmse,mean_weighted_correlation,mean_calibration_slope,folds
defense,audited_all,ridge,0.9662811930699107,0.6021384312783764,1.0058841210828784,5
defense,box15,extra_trees,1.1250264755568404,0.3878629123559855,1.514936912083635,5
defense,box15,ridge,1.1333672574940241,0.35126740432659287,1.131368386129692,5
offense,audited_all,elastic_net,1.0313942732578385,0.657707482841066,1.0029138129986974,5
offense,box15,ridge,1.1559422380433642,0.5792046156379986,1.0688410153104564,5
offense,box15,extra_trees,1.1631867413343078,0.5330097825151243,1.0832361137609179,5
