lambda_off,lambda_def,lambda_meta,lambda_season,mean_rmse,stage
3000.0,3000.0,9486.83298050514,17.78279410038923,1.188235164862185,iter_2_season_down
3000.0,3000.0,9486.83298050514,17.78279410038923,1.188235164862185,iter_3_season_down
3000.0,3000.0,9486.83298050514,100.0,1.18823517242891,iter_2_meta_up
3000.0,3000.0,9486.83298050514,562.3413251903492,1.188235218156911,iter_3_season_up
3000.0,3000.0,9486.83298050514,562.3413251903492,1.188235218156911,iter_2_season_up
3000.0,3000.0,1687.0239755710475,17.78279410038923,1.188235516628344,iter_1_season_down
3000.0,3000.0,1687.0239755710477,100.0,1.1882355242058922,iter_3_meta_down
3000.0,3000.0,1687.0239755710475,100.0,1.1882355242058922,iter_1_meta_up
3000.0,3000.0,1687.0239755710475,562.3413251903492,1.1882355699576894,iter_1_season_up
3000.0,3000.0,300.00000000000006,100.0,1.188235605999678,iter_2_meta_down
3000.0,3000.0,300.0,100.0,1.188235605999678,initial
3000.0,3000.0,53.34838230116769,100.0,1.1882356211821137,iter_1_meta_down
3000.0,3000.0,53348.3823011677,100.0,1.1882358420628674,iter_3_meta_up
3000.0,16870.239755710474,1687.0239755710475,100.0,1.1883517208788972,iter_2_defense_up
3000.0,16870.239755710474,9486.83298050514,100.0,1.188351721801129,iter_3_defense_up
3000.0,16870.239755710474,300.0,100.0,1.1883517345396035,iter_1_defense_up
533.4838230116769,3000.0,9486.83298050514,100.0,1.1883793373215141,iter_3_off_down
533.4838230116769,3000.0,1687.0239755710475,100.0,1.188380402287661,iter_2_off_down
533.4838230116769,3000.0,300.0,100.0,1.1883806176002125,iter_1_off_down
3000.0,533.4838230116769,9486.83298050514,100.0,1.188391736419228,iter_3_defense_down
3000.0,533.4838230116769,1687.0239755710475,100.0,1.1883927218794434,iter_2_defense_down
3000.0,533.4838230116769,300.0,100.0,1.1883929226326264,iter_1_defense_down
16870.239755710474,3000.0,9486.83298050514,100.0,1.1884815778694808,iter_3_off_up
16870.239755710474,3000.0,1687.0239755710475,100.0,1.1884815941076425,iter_2_off_up
16870.239755710474,3000.0,300.0,100.0,1.1884816106599596,iter_1_off_up
