lambda_off,lambda_def,lambda_meta,lambda_season,mean_rmse,stage
3000.0,3000.0,9486.83298050514,17782.794100389234,1.187925098309085,iter_3_season_up
3000.0,3000.0,9486.83298050514,3162.27766016838,1.1879489498636462,iter_2_season_up
3000.0,3000.0,1687.0239755710477,3162.27766016838,1.18795757467246,iter_3_meta_down
16870.239755710474,3000.0,9486.83298050514,3162.27766016838,1.1879773598062806,iter_3_off_up
3000.0,3000.0,9486.83298050514,562.3413251903492,1.1879795649401244,iter_2_meta_up
3000.0,3000.0,9486.83298050514,562.3413251903493,1.1879795649401244,iter_3_season_down
3000.0,3000.0,1687.0239755710475,562.3413251903492,1.1879882101234134,iter_1_season_up
3000.0,3000.0,9486.83298050514,100.00000000000001,1.1879917801061468,iter_2_season_down
16870.239755710474,3000.0,1687.0239755710475,562.3413251903492,1.187997794866683,iter_2_off_up
3000.0,3000.0,300.00000000000006,562.3413251903492,1.1879997380689133,iter_2_meta_down
3000.0,3000.0,1687.0239755710475,100.0,1.1880004235710717,iter_1_meta_up
3000.0,3000.0,1687.0239755710475,17.78279410038923,1.188003075839349,iter_1_season_down
3000.0,3000.0,300.0,100.0,1.1880119493597752,initial
3000.0,3000.0,53.34838230116769,100.0,1.1880146088666448,iter_1_meta_down
16870.239755710474,3000.0,300.0,100.0,1.1880158467782829,iter_1_off_up
3000.0,533.4838230116769,9486.83298050514,3162.27766016838,1.1880385999007868,iter_3_defense_down
3000.0,3000.0,53348.3823011677,3162.27766016838,1.1880609873051562,iter_3_meta_up
3000.0,16870.239755710474,9486.83298050514,3162.27766016838,1.1880729986629757,iter_3_defense_up
3000.0,16870.239755710474,1687.0239755710475,562.3413251903492,1.188095685268986,iter_2_defense_up
3000.0,533.4838230116769,1687.0239755710475,562.3413251903492,1.1880972511335521,iter_2_defense_down
3000.0,16870.239755710474,300.0,100.0,1.1881124312912907,iter_1_defense_up
3000.0,533.4838230116769,300.0,100.0,1.1881316041296222,iter_1_defense_down
533.4838230116769,3000.0,9486.83298050514,3162.27766016838,1.1881530057994762,iter_3_off_down
533.4838230116769,3000.0,1687.0239755710475,562.3413251903492,1.1882126549127816,iter_2_off_down
533.4838230116769,3000.0,300.0,100.0,1.1882436964891758,iter_1_off_down
