lambda_off,lambda_def,lambda_meta,lambda_season,mean_rmse,stage
100000.0,16870.239755710474,1687.0239755710475,17782.794100389234,1.1873897671127223,iter_3_season_up
100000.0,16870.239755710474,1687.0239755710475,3162.27766016838,1.187392191095876,iter_3_off_up
94868.3298050514,16870.239755710474,1687.0239755710475,3162.27766016838,1.1873925381704062,iter_2_season_up
100000.0,16870.239755710474,300.00000000000006,3162.27766016838,1.187393968438048,iter_3_meta_down
100000.0,94868.3298050514,1687.0239755710475,3162.27766016838,1.1873961505505823,iter_3_defense_up
100000.0,16870.239755710474,1687.0239755710475,562.3413251903493,1.1874099989433387,iter_3_season_down
94868.3298050514,16870.239755710474,1687.0239755710475,562.3413251903492,1.187410396445372,iter_2_off_up
100000.0,16870.239755710474,9486.83298050514,3162.27766016838,1.1874107121891593,iter_3_meta_up
94868.3298050514,16870.239755710474,300.00000000000006,562.3413251903492,1.1874121701739355,iter_2_meta_down
94868.3298050514,94868.3298050514,1687.0239755710475,562.3413251903492,1.1874150141094901,iter_2_defense_up
94868.3298050514,16870.239755710474,1687.0239755710475,100.00000000000001,1.1874187547374895,iter_2_season_down
94868.3298050514,16870.239755710474,9486.83298050514,562.3413251903492,1.1874289266705818,iter_2_meta_up
16870.239755710478,16870.239755710474,1687.0239755710475,3162.27766016838,1.1874298582326428,iter_3_off_down
16870.239755710474,16870.239755710474,1687.0239755710475,562.3413251903492,1.1874508861659345,iter_1_season_up
16870.239755710474,16870.239755710474,1687.0239755710475,100.0,1.1874601661088278,iter_1_meta_up
16870.239755710474,16870.239755710474,1687.0239755710475,17.78279410038923,1.1874622041315692,iter_1_season_down
16870.239755710474,16870.239755710474,300.0,100.0,1.1874632495195179,iter_1_defense_up
16870.239755710474,16870.239755710474,53.34838230116769,100.0,1.1874641675162516,iter_1_meta_down
100000.0,3000.0000000000005,1687.0239755710475,3162.27766016838,1.1875193930404653,iter_3_defense_down
94868.3298050514,3000.0000000000005,1687.0239755710475,562.3413251903492,1.1875386706063313,iter_2_defense_down
16870.239755710474,3000.0,300.0,100.0,1.1875896204741538,iter_1_off_up
3000.0000000000005,16870.239755710474,1687.0239755710475,562.3413251903492,1.187701238835465,iter_2_off_down
3000.0,3000.0,300.0,100.0,1.1878325001396746,initial
16870.239755710474,533.4838230116769,300.0,100.0,1.1883933226878967,iter_1_defense_down
533.4838230116769,3000.0,300.0,100.0,1.188877612892308,iter_1_off_down
