lambda_off,lambda_def,lambda_meta,lambda_season,mean_rmse,stage
94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,1.1880661141124362,iter_3_season_up
94868.3298050514,16870.239755710474,1687.0239755710475,3162.27766016838,1.1880812593294783,iter_2_season_up
100000.0,16870.239755710474,1687.0239755710475,3162.27766016838,1.1880812616837912,iter_3_off_up
94868.3298050514,16870.239755710474,300.00000000000006,3162.27766016838,1.188083843835239,iter_3_meta_down
16870.239755710478,16870.239755710474,1687.0239755710475,3162.27766016838,1.1880926970369245,iter_3_off_down
94868.3298050514,16870.239755710474,9486.83298050514,3162.27766016838,1.1880986152934645,iter_3_meta_up
94868.3298050514,16870.239755710474,1687.0239755710475,562.3413251903492,1.1881018211830778,iter_2_off_up
94868.3298050514,16870.239755710474,1687.0239755710475,562.3413251903493,1.1881018211830778,iter_3_season_down
94868.3298050514,16870.239755710474,300.00000000000006,562.3413251903492,1.1881043996347895,iter_2_meta_down
94868.3298050514,16870.239755710474,1687.0239755710475,100.00000000000001,1.1881093683514417,iter_2_season_down
94868.3298050514,94868.3298050514,1687.0239755710475,3162.27766016838,1.188114976096724,iter_3_defense_up
16870.239755710474,16870.239755710474,1687.0239755710475,562.3413251903492,1.1881168130471715,iter_1_season_up
94868.3298050514,16870.239755710474,9486.83298050514,562.3413251903492,1.188119187649969,iter_2_meta_up
16870.239755710474,16870.239755710474,1687.0239755710475,100.0,1.1881253250518506,iter_1_meta_up
16870.239755710474,16870.239755710474,1687.0239755710475,17.78279410038923,1.18812710662116,iter_1_season_down
16870.239755710474,16870.239755710474,300.0,100.0,1.1881290921679177,iter_1_defense_up
16870.239755710474,16870.239755710474,53.34838230116769,100.0,1.1881301560431525,iter_1_meta_down
94868.3298050514,94868.3298050514,1687.0239755710475,562.3413251903492,1.1881363648665109,iter_2_defense_up
94868.3298050514,3000.0000000000005,1687.0239755710475,3162.27766016838,1.188144182605902,iter_3_defense_down
94868.3298050514,3000.0000000000005,1687.0239755710475,562.3413251903492,1.1881637540421421,iter_2_defense_down
16870.239755710474,3000.0,300.0,100.0,1.188181573335924,iter_1_off_up
3000.0000000000005,16870.239755710474,1687.0239755710475,562.3413251903492,1.1883025716301232,iter_2_off_down
3000.0,3000.0,300.0,100.0,1.1883383487255446,initial
16870.239755710474,533.4838230116769,300.0,100.0,1.188881282399283,iter_1_defense_down
533.4838230116769,3000.0,300.0,100.0,1.1892725424667911,iter_1_off_down
