Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
LeBron James,2544,37.7,35-40,6738,6703,6.162,-4.247,10.409,-0.775,-2.235,6.937,-2.012,8.949,2009
Lamar Odom,1885,29.69,25-30,5931,5934,5.046,-5.176,10.222,-1.475,-1.844,6.521,-3.333,9.854,2009
Chris Paul,101108,38.49,35-40,5929,5931,5.42,-2.987,8.407,-0.775,-2.235,6.195,-0.752,6.947,2009
Ray Allen,951,36.4,35-40,6351,6314,4.943,-3.176,8.119,-0.775,-2.235,5.718,-0.941,6.659,2009
Dwyane Wade,2548,38.58,35-40,6287,6250,5.521,-2.402,7.923,-0.775,-2.235,6.296,-0.167,6.463,2009
Rashard Lewis,1740,36.19,35-40,7291,7294,4.245,-3.397,7.643,-0.775,-2.235,5.02,-1.162,6.182,2009
Kobe Bryant,977,36.1,35-40,7608,7596,5.578,-1.925,7.503,-0.775,-2.235,6.353,0.31,6.042,2009
Jason Kidd,467,35.63,35-40,6291,6277,4.156,-3.197,7.353,-0.775,-2.235,4.931,-0.962,5.893,2009
Brandon Roy,200750,37.22,35-40,5658,5632,5.147,-1.727,6.874,-0.775,-2.235,5.923,0.509,5.414,2009
Kevin Garnett,708,31.08,30-35,3304,3281,1.043,-5.738,6.781,-1.279,-2.094,2.322,-3.645,5.967,2009
Yao Ming,2397,33.62,30-35,5401,5373,3.168,-3.367,6.535,-1.279,-2.094,4.447,-1.273,5.721,2009
Metta World Peace,1897,35.53,35-40,5466,5440,2.245,-4.262,6.508,-0.775,-2.235,3.02,-2.027,5.047,2009
Hedo Turkoglu,2045,36.56,35-40,7064,7057,3.371,-2.906,6.277,-0.775,-2.235,4.146,-0.67,4.816,2009
Danny Granger,101122,36.18,35-40,4888,4881,5.154,-0.905,6.059,-0.775,-2.235,5.929,1.33,4.599,2009
Carmelo Anthony,2546,34.5,30-35,5706,5677,4.195,-1.833,6.028,-1.279,-2.094,5.474,0.261,5.213,2009
Andre Iguodala,2738,39.87,35-40,6638,6613,3.38,-2.238,5.618,-0.775,-2.235,4.155,-0.003,4.158,2009
LaMarcus Aldridge,200746,37.08,35-40,5845,5824,4.243,-1.372,5.616,-0.775,-2.235,5.018,0.863,4.155,2009
Tony Parker,2225,34.11,30-35,4805,4790,3.369,-2.19,5.56,-1.279,-2.094,4.649,-0.097,4.745,2009
Michael Redd,2072,36.45,35-40,2325,2324,3.686,-1.828,5.514,-0.775,-2.235,4.461,0.407,4.053,2009
Nene,2403,32.6,30-35,5899,5913,2.535,-2.957,5.492,-1.279,-2.094,3.814,-0.863,4.677,2009
Pau Gasol,2200,37.03,35-40,7651,7633,4.372,-1.044,5.416,-0.775,-2.235,5.147,1.192,3.955,2009
Steve Nash,959,33.57,30-35,5034,5015,4.743,-0.623,5.366,-1.279,-2.094,6.022,1.471,4.552,2009
Chris Bosh,2547,38.02,35-40,5594,5609,4.072,-1.176,5.248,-0.775,-2.235,4.847,1.059,3.788,2009
Chauncey Billups,1497,35.3,35-40,6660,6632,5.233,-0.006,5.24,-0.775,-2.235,6.009,2.229,3.78,2009
Delonte West,2753,33.62,30-35,5056,5038,1.397,-3.828,5.225,-1.279,-2.094,2.676,-1.734,4.41,2009
Kirk Hinrich,2550,26.25,25-30,2967,2967,1.248,-3.736,4.984,-1.475,-1.844,2.723,-1.892,4.616,2009
Joe Johnson,2207,39.55,35-40,6601,6581,3.406,-1.55,4.957,-0.775,-2.235,4.182,0.685,3.496,2009
Matt Bonner,2588,23.8,20-25,3724,3704,2.109,-2.633,4.742,-1.568,-1.575,3.677,-1.058,4.735,2009
Jameer Nelson,2749,31.17,30-35,2698,2692,1.309,-3.354,4.663,-1.279,-2.094,2.588,-1.261,3.849,2009
Rajon Rondo,200765,33.03,30-35,5976,5956,2.13,-2.495,4.625,-1.279,-2.094,3.409,-0.401,3.81,2009
David West,2561,39.23,35-40,5810,5814,3.475,-1.089,4.564,-0.775,-2.235,4.25,1.146,3.104,2009
Grant Hill,255,29.81,25-30,4910,4908,2.829,-1.704,4.533,-1.475,-1.844,4.304,0.14,4.165,2009
Al Jefferson,2744,36.72,35-40,3468,3459,2.181,-2.322,4.503,-0.775,-2.235,2.956,-0.087,3.043,2009
Mo Williams,2590,34.99,30-35,6141,6119,3.26,-1.191,4.451,-1.279,-2.094,4.539,0.902,3.637,2009
Ben Gordon,2732,36.57,35-40,6336,6309,3.615,-0.75,4.366,-0.775,-2.235,4.391,1.485,2.906,2009
Paul Millsap,200794,30.14,30-35,4744,4731,1.714,-2.635,4.349,-1.279,-2.094,2.993,-0.542,3.534,2009
Josh Howard,2572,31.98,30-35,3754,3758,1.149,-3.144,4.294,-1.279,-2.094,2.428,-1.051,3.479,2009
Dwight Howard,2730,35.71,35-40,7005,6974,1.643,-2.639,4.282,-0.775,-2.235,2.418,-0.404,2.822,2009
Al Harrington,1733,34.88,30-35,5122,5122,2.066,-2.166,4.231,-1.279,-2.094,3.345,-0.072,3.417,2009
