Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Kevin Durant,201142,38.54,35-40,7832,7812,8.96,-1.889,10.848,-0.031,-2.17,8.99,0.281,8.709,2014
LeBron James,2544,37.69,35-40,6888,6876,8.619,-1.462,10.08,-0.031,-2.17,8.65,0.708,7.941,2014
Manu Ginobili,1938,22.8,20-25,4277,4285,5.692,-4.165,9.858,-2.278,-2.133,7.971,-2.032,10.003,2014
James Harden,201935,38.05,35-40,6058,6021,7.274,-1.939,9.214,-0.031,-2.17,7.305,0.231,7.075,2014
Chris Paul,101108,35.02,35-40,5341,5315,4.366,-4.816,9.182,-0.031,-2.17,4.397,-2.646,7.043,2014
Stephen Curry,201939,36.49,35-40,6328,6295,7.556,-1.346,8.903,-0.031,-2.17,7.587,0.823,6.764,2014
Goran Dragic,201609,35.11,35-40,5313,5310,7.089,-1.745,8.834,-0.031,-2.17,7.12,0.425,6.695,2014
Ty Lawson,201951,35.83,35-40,4584,4582,7.115,-1.54,8.655,-0.031,-2.17,7.146,0.63,6.516,2014
Deron Williams,101114,32.18,30-35,4711,4695,6.003,-2.5,8.503,-1.47,-1.954,7.473,-0.547,8.02,2014
Serge Ibaka,201586,32.91,30-35,6401,6362,4.577,-3.215,7.792,-1.47,-1.954,6.047,-1.261,7.309,2014
Kemba Walker,202689,35.81,35-40,5223,5246,3.827,-3.828,7.655,-0.031,-2.17,3.858,-1.658,5.516,2014
Andre Iguodala,2738,32.38,30-35,4556,4532,3.069,-4.503,7.573,-1.47,-1.954,4.54,-2.55,7.089,2014
Kyle Lowry,200768,36.23,35-40,5993,5964,5.29,-2.281,7.571,-0.031,-2.17,5.321,-0.111,5.432,2014
Carmelo Anthony,2546,38.72,35-40,5591,5547,6.131,-1.094,7.224,-0.031,-2.17,6.162,1.076,5.085,2014
Ricky Rubio,201937,32.17,30-35,5374,5366,4.994,-2.109,7.103,-1.47,-1.954,6.465,-0.155,6.62,2014
Kevin Love,201567,36.32,35-40,5727,5714,5.267,-1.817,7.085,-0.031,-2.17,5.298,0.352,4.946,2014
Joakim Noah,201149,35.25,35-40,5565,5557,4.618,-2.467,7.085,-0.031,-2.17,4.649,-0.297,4.946,2014
LaMarcus Aldridge,200746,36.22,35-40,5740,5722,3.565,-3.509,7.075,-0.031,-2.17,3.596,-1.339,4.936,2014
Klay Thompson,202691,35.4,35-40,6255,6224,4.358,-2.513,6.871,-0.031,-2.17,4.389,-0.343,4.732,2014
Paul George,202331,36.23,35-40,7002,6983,3.121,-3.717,6.838,-0.031,-2.17,3.152,-1.547,4.699,2014
Kawhi Leonard,202695,29.13,25-30,5230,5262,2.33,-4.494,6.823,-2.848,-1.692,5.178,-2.802,7.98,2014
Isaiah Thomas,202738,34.68,30-35,4940,4949,4.501,-2.266,6.768,-1.47,-1.954,5.972,-0.313,6.284,2014
Danny Green,201980,24.28,20-25,4265,4286,1.637,-5.115,6.753,-2.278,-2.133,3.916,-2.982,6.898,2014
Ryan Anderson,201583,36.13,35-40,1526,1516,4.729,-2.007,6.735,-0.031,-2.17,4.759,0.163,4.596,2014
Patty Mills,201988,18.86,15-20,3685,3716,3.376,-3.35,6.725,-2.736,-1.764,6.112,-1.586,7.698,2014
Anthony Davis,203076,35.19,35-40,4534,4550,5.49,-1.208,6.698,-0.031,-2.17,5.521,0.962,4.559,2014
Patrick Beverley,201976,31.26,30-35,3806,3821,3.231,-3.261,6.492,-1.47,-1.954,4.701,-1.307,6.009,2014
Chris Bosh,2547,32.04,30-35,6009,5983,3.046,-3.39,6.436,-1.47,-1.954,4.516,-1.436,5.952,2014
Damian Lillard,203081,35.81,35-40,6691,6664,5.811,-0.475,6.286,-0.031,-2.17,5.842,1.695,4.147,2014
Blake Griffin,201933,35.79,35-40,6674,6666,3.843,-2.421,6.264,-0.031,-2.17,3.874,-0.251,4.125,2014
Russell Westbrook,201566,30.69,30-35,4296,4289,3.418,-2.807,6.225,-1.47,-1.954,4.888,-0.854,5.742,2014
Jimmy Butler,202710,38.66,35-40,5196,5190,2.991,-3.204,6.195,-0.031,-2.17,3.022,-1.034,4.056,2014
Jae Crowder,203109,16.07,15-20,2606,2644,1.901,-4.27,6.171,-2.736,-1.764,4.637,-2.506,7.143,2014
Zach Randolph,2216,34.24,30-35,5415,5397,4.315,-1.834,6.149,-1.47,-1.954,5.786,0.12,5.666,2014
