Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Shaquille O'Neal,406,36.21,35-40,5105,5111,5.591,-2.606,8.197,-0.527,-1.843,6.118,-0.763,6.881,1998
Michael Jordan,893,38.81,35-40,7411,7374,6.128,-1.393,7.521,-0.527,-1.843,6.655,0.45,6.206,1998
Karl Malone,252,37.43,35-40,7137,7105,6.166,-1.232,7.398,-0.527,-1.843,6.693,0.61,6.083,1998
Reggie Miller,397,34.51,30-35,6338,6328,5.432,-1.591,7.023,-1.027,-2.0,6.459,0.409,6.05,1998
Alonzo Mourning,297,33.44,30-35,3741,3729,2.726,-3.886,6.611,-1.027,-2.0,3.753,-1.886,5.638,1998
Gary Payton,56,38.36,35-40,6594,6594,4.555,-1.942,6.497,-0.527,-1.843,5.082,-0.1,5.182,1998
Rasheed Wallace,739,37.58,35-40,5728,5753,3.441,-3.002,6.444,-0.527,-1.843,3.968,-1.16,5.128,1998
Detlef Schrempf,96,35.15,35-40,5732,5722,4.793,-1.643,6.436,-0.527,-1.843,5.32,0.2,5.12,1998
Tim Duncan,1495,39.09,35-40,6550,6551,4.898,-1.188,6.086,-0.527,-1.843,5.425,0.655,4.77,1998
Charles Barkley,787,33.0,30-35,4308,4324,6.504,0.557,5.948,-1.027,-2.0,7.531,2.556,4.975,1998
Toni Kukoc,389,30.21,30-35,5280,5249,1.544,-4.313,5.857,-1.027,-2.0,2.571,-2.313,4.884,1998
Grant Hill,255,40.7,40+,6043,6029,5.708,-0.127,5.835,-0.056,-0.921,5.764,0.794,4.969,1998
Dikembe Mutombo,87,35.55,35-40,5419,5423,1.903,-3.85,5.753,-0.527,-1.843,2.43,-2.007,4.437,1998
Mookie Blaylock,302,38.54,35-40,5165,5154,3.157,-2.567,5.725,-0.527,-1.843,3.684,-0.725,4.409,1998
Robert Horry,109,30.54,30-35,5000,4997,2.536,-3.074,5.61,-1.027,-2.0,3.563,-1.074,4.637,1998
Jeff Hornacek,204,30.82,30-35,5830,5813,3.251,-2.306,5.557,-1.027,-2.0,4.277,-0.306,4.584,1998
Tim Hardaway,896,37.41,35-40,6040,6010,4.8,-0.736,5.535,-0.527,-1.843,5.327,1.107,4.22,1998
