Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
LeBron James,2544,37.86,35-40,7158,7119,5.628,-1.217,6.845,-1.238,-1.32,6.866,0.104,6.762,2013
Mike Conley,201144,34.46,30-35,6109,6068,3.17,-3.644,6.814,-0.876,-1.727,4.046,-1.918,5.963,2013
Chris Paul,101108,33.36,30-35,4838,4817,5.313,-1.258,6.571,-0.876,-1.727,6.189,0.469,5.72,2013
Amir Johnson,101161,28.7,25-30,4325,4323,4.089,-2.321,6.41,-1.483,-1.555,5.572,-0.767,6.339,2013
Ömer Aşik,201600,30.05,30-35,5312,5328,2.866,-3.486,6.351,-0.876,-1.727,3.741,-1.759,5.501,2013
Russell Westbrook,201566,34.89,30-35,5740,5720,3.832,-2.297,6.128,-0.876,-1.727,4.708,-0.57,5.278,2013
Vince Carter,1713,25.84,25-30,4071,4014,3.783,-2.335,6.117,-1.483,-1.555,5.266,-0.78,6.046,2013
Tony Parker,2225,32.94,30-35,5559,5549,3.161,-2.851,6.012,-0.876,-1.727,4.037,-1.124,5.161,2013
Kevin Durant,201142,38.5,35-40,6990,6964,4.632,-1.221,5.853,-1.238,-1.32,5.871,0.1,5.771,2013
Paul Pierce,1718,33.44,30-35,5289,5260,3.724,-2.091,5.814,-0.876,-1.727,4.599,-0.364,4.964,2013
George Hill,201588,34.47,30-35,6081,6082,2.642,-3.114,5.755,-0.876,-1.727,3.517,-1.387,4.905,2013
Tim Duncan,1495,30.12,30-35,5332,5292,2.494,-3.172,5.666,-0.876,-1.727,3.37,-1.446,4.815,2013
Raymond Felton,101109,34.01,30-35,5141,5109,4.514,-1.124,5.638,-0.876,-1.727,5.39,0.603,4.788,2013
Danilo Gallinari,201568,32.52,30-35,4502,4493,3.463,-1.98,5.444,-0.876,-1.727,4.339,-0.254,4.593,2013
Metta World Peace,1897,33.73,30-35,5103,5111,3.305,-2.136,5.442,-0.876,-1.727,4.181,-0.41,4.591,2013
Thaddeus Young,201152,34.59,30-35,4989,5012,3.353,-2.058,5.411,-0.876,-1.727,4.228,-0.332,4.56,2013
Marc Gasol,201188,34.95,30-35,6212,6185,1.25,-4.146,5.396,-0.876,-1.727,2.125,-2.42,4.545,2013
Mario Chalmers,201596,26.85,25-30,5103,5081,2.579,-2.604,5.183,-1.483,-1.555,4.062,-1.049,5.111,2013
Andre Iguodala,2738,34.74,30-35,5995,5986,2.348,-2.795,5.143,-0.876,-1.727,3.223,-1.069,4.292,2013
Brook Lopez,201572,30.45,30-35,4631,4600,2.477,-2.586,5.062,-0.876,-1.727,3.352,-0.859,4.211,2013
Kawhi Leonard,202695,31.21,30-35,4895,4885,1.802,-3.203,5.004,-0.876,-1.727,2.678,-1.476,4.154,2013
Blake Griffin,201933,32.48,30-35,5202,5175,4.005,-0.822,4.827,-0.876,-1.727,4.881,0.904,3.977,2013
Paul Millsap,200794,30.45,30-35,4408,4422,3.673,-1.1,4.774,-0.876,-1.727,4.549,0.626,3.923,2013
Kevin Martin,2755,27.74,25-30,4807,4802,4.007,-0.598,4.605,-1.483,-1.555,5.49,0.956,4.534,2013
Stephen Curry,201939,38.24,35-40,6842,6840,4.206,-0.39,4.595,-1.238,-1.32,5.444,0.931,4.513,2013
Tyson Chandler,2199,32.78,30-35,4687,4661,2.372,-2.176,4.548,-0.876,-1.727,3.248,-0.45,3.697,2013
Dwyane Wade,2548,34.65,30-35,5906,5909,2.712,-1.698,4.411,-0.876,-1.727,3.588,0.028,3.56,2013
Joe Johnson,2207,36.7,35-40,5284,5258,4.063,-0.297,4.36,-1.238,-1.32,5.301,1.024,4.278,2013
Kyle Korver,2594,30.52,30-35,4666,4668,2.294,-2.017,4.311,-0.876,-1.727,3.17,-0.29,3.46,2013
David West,2561,33.36,30-35,5795,5781,1.765,-2.464,4.229,-0.876,-1.727,2.641,-0.738,3.378,2013
John Wall,202322,32.7,30-35,3166,3173,2.267,-1.948,4.214,-0.876,-1.727,3.142,-0.221,3.363,2013
John Salmons,2422,29.98,25-30,4425,4411,2.993,-1.192,4.185,-1.483,-1.555,4.476,0.362,4.114,2013
JR Smith,2747,33.47,30-35,5625,5613,2.59,-1.579,4.169,-0.876,-1.727,3.466,0.147,3.318,2013
Carlos Delfino,2568,25.21,25-30,3591,3592,2.473,-1.674,4.147,-1.483,-1.555,3.956,-0.12,4.075,2013
Matt Barnes,2440,25.72,25-30,4239,4213,2.165,-1.835,4.0,-1.483,-1.555,3.648,-0.281,3.929,2013
Pablo Prigioni,203143,16.19,15-20,2715,2745,1.919,-2.024,3.943,-2.053,-1.119,3.972,-0.905,4.877,2013
Kirk Hinrich,2550,29.41,25-30,3603,3600,1.006,-2.922,3.928,-1.483,-1.555,2.489,-1.368,3.857,2013
Gordon Hayward,202330,29.23,25-30,4024,4011,2.77,-1.12,3.89,-1.483,-1.555,4.253,0.434,3.819,2013
Jamal Crawford,2037,29.35,25-30,4577,4545,2.172,-1.618,3.789,-1.483,-1.555,3.655,-0.063,3.718,2013
Dirk Nowitzki,1717,31.35,30-35,3196,3171,1.654,-2.118,3.772,-0.876,-1.727,2.53,-0.392,2.922,2013
Kobe Bryant,977,38.62,35-40,5955,5936,4.18,0.425,3.755,-1.238,-1.32,5.418,1.745,3.673,2013
Nick Collison,2555,19.54,15-20,3452,3456,1.823,-1.92,3.743,-2.053,-1.119,3.876,-0.801,4.677,2013
Monta Ellis,101145,37.52,35-40,6386,6366,2.982,-0.754,3.736,-1.238,-1.32,4.22,0.566,3.654,2013
Nikola Pekovic,201593,31.6,30-35,3763,3768,2.614,-1.09,3.704,-0.876,-1.727,3.49,0.637,2.853,2013
Klay Thompson,202691,35.8,35-40,6748,6728,2.267,-1.433,3.7,-1.238,-1.32,3.505,-0.113,3.618,2013
Kyle Lowry,200768,29.71,25-30,3814,3806,2.368,-1.124,3.493,-1.483,-1.555,3.851,0.43,3.421,2013
Thabo Sefolosha,200757,27.52,25-30,4952,4950,0.702,-2.723,3.425,-1.483,-1.555,2.185,-1.169,3.353,2013
Tayshaun Prince,2419,32.09,30-35,5657,5642,1.91,-1.424,3.333,-0.876,-1.727,2.785,0.303,2.483,2013
Lance Stephenson,202362,29.21,25-30,5447,5442,1.63,-1.618,3.248,-1.483,-1.555,3.113,-0.064,3.177,2013
Wilson Chandler,201163,25.1,25-30,2561,2567,0.62,-2.595,3.215,-1.483,-1.555,2.103,-1.04,3.143,2013
Roy Hibbert,201579,28.72,25-30,5446,5418,0.481,-2.682,3.163,-1.483,-1.555,1.965,-1.127,3.092,2013
Damian Lillard,203081,38.62,35-40,6033,5998,3.827,0.702,3.124,-1.238,-1.32,5.065,2.023,3.042,2013
Tiago Splitter,201168,24.65,20-25,4621,4636,0.251,-2.817,3.068,-1.848,-0.987,2.099,-1.83,3.929,2013
Paul George,202331,37.62,35-40,6963,6961,0.968,-2.063,3.031,-1.238,-1.32,2.206,-0.743,2.949,2013
Manu Ginobili,1938,23.22,20-25,3770,3780,1.137,-1.876,3.013,-1.848,-0.987,2.985,-0.889,3.874,2013
Goran Dragic,201609,33.52,30-35,5025,5022,2.944,-0.066,3.011,-0.876,-1.727,3.82,1.66,2.16,2013
Pau Gasol,2200,33.77,30-35,3533,3510,0.927,-2.001,2.928,-0.876,-1.727,1.803,-0.275,2.077,2013
Chris Bosh,2547,33.17,30-35,5930,5927,1.808,-1.085,2.893,-0.876,-1.727,2.684,0.642,2.042,2013
James Harden,201935,38.26,35-40,6472,6466,3.474,0.581,2.892,-1.238,-1.32,4.712,1.902,2.81,2013
Zach Randolph,2216,34.3,30-35,5744,5703,1.242,-1.641,2.882,-0.876,-1.727,2.117,0.086,2.032,2013
DeAndre Jordan,201599,24.51,20-25,4014,4029,2.614,-0.246,2.86,-1.848,-0.987,4.461,0.741,3.72,2013
Nene,2403,27.2,25-30,3190,3196,0.626,-2.225,2.851,-1.483,-1.555,2.109,-0.67,2.779,2013
Greivis Vasquez,202349,34.43,30-35,4960,4953,3.579,0.79,2.789,-0.876,-1.727,4.455,2.516,1.939,2013
Wesley Matthews,202083,34.82,30-35,4522,4527,2.694,-0.071,2.766,-0.876,-1.727,3.57,1.655,1.915,2013
