Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Michael Jordan,893,37.91,35-40,7331,7294,6.355,-2.956,9.31,-0.98,-2.581,7.334,-0.375,7.709,1997
Alonzo Mourning,297,35.16,35-40,5372,5356,2.914,-5.153,8.067,-0.98,-2.581,3.893,-2.573,6.466,1997
Scottie Pippen,937,37.73,35-40,7239,7227,5.369,-2.631,8.001,-0.98,-2.581,6.349,-0.05,6.4,1997
Tim Hardaway,896,38.76,35-40,7034,7014,4.676,-3.318,7.994,-0.98,-2.581,5.656,-0.737,6.393,1997
Vlade Divac,124,35.06,35-40,5452,5422,3.799,-4.075,7.874,-0.98,-2.581,4.779,-1.494,6.273,1997
Karl Malone,252,36.56,35-40,7083,7063,5.636,-2.023,7.659,-0.98,-2.581,6.616,0.558,6.058,1997
Patrick Ewing,121,37.01,35-40,6164,6124,2.717,-4.819,7.535,-0.98,-2.581,3.696,-2.238,5.934,1997
Gary Payton,56,39.2,35-40,7132,7118,4.498,-2.87,7.368,-0.98,-2.581,5.478,-0.289,5.767,1997
Mookie Blaylock,302,39.18,35-40,6313,6288,4.521,-2.71,7.231,-0.98,-2.581,5.501,-0.129,5.63,1997
John Stockton,304,35.3,35-40,6593,6599,4.94,-2.13,7.07,-0.98,-2.581,5.92,0.451,5.469,1997
Christian Laettner,363,38.22,35-40,6340,6336,3.871,-3.194,7.065,-0.98,-2.581,4.851,-0.614,5.464,1997
Kevin Garnett,708,38.85,35-40,5848,5837,2.871,-4.072,6.943,-0.98,-2.581,3.851,-1.491,5.342,1997
Bo Outlaw,448,26.8,25-30,4222,4224,2.107,-4.687,6.794,-1.481,-2.096,3.588,-2.592,6.18,1997
Terry Mills,371,25.3,25-30,3818,3790,3.596,-3.023,6.619,-1.481,-2.096,5.077,-0.927,6.004,1997
Hakeem Olajuwon,165,36.55,35-40,6538,6520,4.025,-2.509,6.534,-0.98,-2.581,5.005,0.072,4.933,1997
Detlef Schrempf,96,35.93,35-40,5012,5011,3.109,-3.414,6.523,-0.98,-2.581,4.089,-0.833,4.922,1997
Shaquille O'Neal,406,38.1,35-40,4248,4245,2.425,-3.999,6.424,-0.98,-2.581,3.404,-1.418,4.823,1997
Toni Kukoc,389,28.26,25-30,3872,3869,3.256,-2.901,6.158,-1.481,-2.096,4.738,-0.805,5.543,1997
Anfernee Hardaway,358,37.66,35-40,4555,4548,2.801,-2.913,5.714,-0.98,-2.581,3.78,-0.332,4.113,1997
Chris Webber,185,39.01,35-40,5526,5524,2.435,-3.264,5.699,-0.98,-2.581,3.415,-0.683,4.098,1997
Jeff Hornacek,204,31.57,30-35,6153,6129,3.107,-2.568,5.674,-1.888,-1.88,4.994,-0.688,5.682,1997
Charles Barkley,787,37.92,35-40,4930,4934,2.856,-2.61,5.466,-0.98,-2.581,3.836,-0.029,3.865,1997
Chris Mills,168,39.59,35-40,5447,5449,2.179,-3.271,5.45,-0.98,-2.581,3.159,-0.69,3.849,1997
Horace Grant,270,37.22,35-40,4616,4615,1.923,-3.521,5.444,-0.98,-2.581,2.903,-0.94,3.843,1997
Clyde Drexler,17,36.65,35-40,5532,5514,1.844,-3.577,5.421,-0.98,-2.581,2.823,-0.996,3.82,1997
Kenny Anderson,72,37.58,35-40,6154,6136,3.584,-1.74,5.324,-0.98,-2.581,4.564,0.84,3.723,1997
Grant Hill,255,39.34,35-40,5890,5855,3.002,-2.275,5.277,-0.98,-2.581,3.982,0.306,3.676,1997
Dennis Rodman,23,35.44,35-40,4565,4571,2.258,-2.794,5.052,-0.98,-2.581,3.238,-0.213,3.451,1997
Gheorghe Muresan,49,25.23,25-30,3591,3593,0.704,-3.962,4.666,-1.481,-2.096,2.186,-1.866,4.052,1997
Jerome Kersey,760,25.22,25-30,3716,3730,0.872,-3.759,4.631,-1.481,-2.096,2.354,-1.663,4.017,1997
Mitch Richmond,782,38.58,35-40,5893,5890,3.588,-1.04,4.628,-0.98,-2.581,4.567,1.541,3.027,1997
Arvydas Sabonis,717,25.52,25-30,3545,3505,1.296,-3.322,4.618,-1.481,-2.096,2.777,-1.226,4.003,1997
Doug Christie,57,38.58,35-40,5900,5894,2.821,-1.761,4.582,-0.98,-2.581,3.801,0.819,2.981,1997
