Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Dirk Nowitzki,1717,37.92,35-40,6124,6103,9.043,-1.887,10.931,-0.222,-2.321,9.266,0.434,8.831,2004
Kevin Garnett,708,39.45,35-40,7511,7478,7.454,-3.471,10.925,-0.222,-2.321,7.676,-1.15,8.826,2004
Andrei Kirilenko,1905,37.26,35-40,5281,5262,8.049,-2.568,10.616,-0.222,-2.321,8.271,-0.247,8.517,2004
Shaquille O'Neal,406,36.8,35-40,6393,6347,7.318,-2.918,10.236,-0.222,-2.321,7.54,-0.596,8.137,2004
Tim Duncan,1495,36.59,35-40,5415,5396,3.697,-5.646,9.343,-0.222,-2.321,3.919,-3.325,7.244,2004
Jermaine O'Neal,979,35.76,35-40,6166,6146,5.964,-3.376,9.34,-0.222,-2.321,6.186,-1.054,7.241,2004
Brad Miller,1802,36.48,35-40,5838,5854,5.355,-3.922,9.277,-0.222,-2.321,5.577,-1.601,7.178,2004
Jason Kidd,467,36.78,35-40,5575,5567,4.65,-4.365,9.015,-0.222,-2.321,4.872,-2.044,6.916,2004
Hedo Turkoglu,2045,26.0,25-30,4355,4383,4.069,-4.335,8.405,-2.278,-2.01,6.347,-2.326,8.673,2004
Ray Allen,951,38.51,35-40,4017,4023,7.228,-1.16,8.388,-0.222,-2.321,7.45,1.161,6.289,2004
Sam Cassell,208,35.16,35-40,6273,6219,5.557,-2.756,8.313,-0.222,-2.321,5.779,-0.435,6.214,2004
Metta World Peace,1897,37.2,35-40,6032,6016,4.572,-3.719,8.291,-0.222,-2.321,4.794,-1.398,6.192,2004
Rasheed Wallace,739,35.2,35-40,5769,5743,3.766,-4.522,8.289,-0.222,-2.321,3.989,-2.201,6.19,2004
Vince Carter,1713,38.17,35-40,5047,5035,5.239,-2.922,8.162,-0.222,-2.321,5.462,-0.601,6.063,2004
Baron Davis,1884,40.1,40+,5500,5469,5.867,-1.842,7.709,-0.032,-1.324,5.899,-0.517,6.416,2004
Jason Richardson,2202,37.7,35-40,5509,5490,5.278,-2.388,7.667,-0.222,-2.321,5.5,-0.067,5.567,2004
Kobe Bryant,977,37.65,35-40,6512,6491,5.813,-1.557,7.37,-0.222,-2.321,6.035,0.764,5.271,2004
Manu Ginobili,1938,29.28,25-30,4779,4761,4.351,-2.812,7.164,-2.278,-2.01,6.629,-0.803,7.432,2004
Ben Wallace,1112,37.77,35-40,7308,7281,1.896,-5.215,7.111,-0.222,-2.321,2.118,-2.893,5.012,2004
Richard Jefferson,2210,38.25,35-40,6754,6719,5.41,-1.602,7.011,-0.222,-2.321,5.632,0.719,4.912,2004
Rashard Lewis,1740,36.67,35-40,5517,5521,6.174,-0.783,6.958,-0.222,-2.321,6.396,1.538,4.859,2004
Derek Anderson,1507,35.55,35-40,3235,3232,3.356,-3.403,6.759,-0.222,-2.321,3.578,-1.082,4.66,2004
Chauncey Billups,1497,35.54,35-40,6669,6622,3.811,-2.913,6.724,-0.222,-2.321,4.033,-0.592,4.625,2004
Jim Jackson,754,38.99,35-40,6152,6144,2.345,-4.12,6.465,-0.222,-2.321,2.567,-1.798,4.366,2004
Richard Hamilton,1888,35.7,35-40,6831,6786,4.099,-2.282,6.381,-0.222,-2.321,4.321,0.039,4.282,2004
Latrell Sprewell,84,37.81,35-40,7257,7236,4.586,-1.724,6.309,-0.222,-2.321,4.808,0.597,4.21,2004
Desmond Mason,2046,30.91,30-35,5270,5264,5.019,-1.216,6.235,-1.811,-1.775,6.83,0.559,6.271,2004
Paul Pierce,1718,38.75,35-40,6380,6367,4.594,-1.563,6.157,-0.222,-2.321,4.816,0.758,4.058,2004
Mike Bibby,1710,36.37,35-40,6829,6849,4.6,-1.31,5.91,-0.222,-2.321,4.822,1.011,3.811,2004
Tracy McGrady,1503,40.11,40+,5089,5095,6.919,1.036,5.883,-0.032,-1.324,6.951,2.36,4.591,2004
LeBron James,2544,39.58,35-40,5966,5959,4.754,-1.014,5.767,-0.222,-2.321,4.976,1.308,3.668,2004
Michael Finley,714,38.64,35-40,5812,5809,3.489,-2.189,5.678,-0.222,-2.321,3.712,0.133,3.579,2004
Steve Francis,1883,40.46,40+,6255,6231,3.768,-1.829,5.596,-0.032,-1.324,3.8,-0.504,4.304,2004
Nene,2403,32.61,30-35,5080,5059,1.696,-3.844,5.541,-1.811,-1.775,3.507,-2.07,5.577,2004
Eric Snow,727,36.29,35-40,5438,5438,4.117,-1.408,5.525,-0.222,-2.321,4.339,0.913,3.426,2004
James Posey,1899,29.79,25-30,4814,4800,2.898,-2.627,5.525,-2.278,-2.01,5.176,-0.618,5.794,2004
Eddie Jones,224,37.05,35-40,6428,6399,4.012,-1.491,5.503,-0.222,-2.321,4.234,0.83,3.404,2004
Matt Harpring,1723,36.48,35-40,2049,2050,3.534,-1.851,5.385,-0.222,-2.321,3.756,0.47,3.286,2004
Reggie Miller,397,28.34,25-30,5036,5010,1.346,-3.932,5.278,-2.278,-2.01,3.624,-1.922,5.546,2004
Allan Houston,275,35.88,35-40,3357,3357,2.936,-2.244,5.179,-0.222,-2.321,3.158,0.078,3.08,2004
Tony Parker,2225,34.39,30-35,5516,5519,3.139,-2.024,5.163,-1.811,-1.775,4.95,-0.249,5.199,2004
Dwyane Wade,2548,35.01,35-40,4900,4891,3.418,-1.632,5.05,-0.222,-2.321,3.64,0.689,2.951,2004
Kirk Hinrich,2550,35.65,35-40,5174,5165,3.445,-1.593,5.038,-0.222,-2.321,3.668,0.728,2.939,2004
Gary Payton,56,34.59,30-35,6887,6871,3.32,-1.711,5.031,-1.811,-1.775,5.13,0.064,5.067,2004
Yao Ming,2397,32.94,30-35,5205,5215,2.354,-2.66,5.014,-1.811,-1.775,4.165,-0.885,5.05,2004
Elton Brand,1882,38.77,35-40,5116,5115,5.188,0.351,4.837,-0.222,-2.321,5.41,2.672,2.738,2004
Andre Miller,1889,34.72,30-35,5819,5819,3.554,-1.227,4.781,-1.811,-1.775,5.365,0.548,4.817,2004
Mike James,2229,27.12,25-30,4604,4652,1.827,-2.932,4.759,-2.278,-2.01,4.105,-0.923,5.028,2004
Corey Maggette,1894,36.03,35-40,5038,5029,4.766,0.02,4.746,-0.222,-2.321,4.988,2.341,2.647,2004
Donyell Marshall,923,36.37,35-40,5452,5434,4.958,0.315,4.643,-0.222,-2.321,5.18,2.636,2.544,2004
Brian Cardinal,2073,21.47,20-25,3021,3018,4.015,-0.628,4.643,-2.192,-1.441,6.207,0.813,5.394,2004
Stephon Marbury,950,40.18,40+,6562,6549,5.458,0.829,4.629,-0.032,-1.324,5.489,2.153,3.336,2004
Juwan Howard,436,35.6,35-40,5419,5418,5.233,0.628,4.606,-0.222,-2.321,5.455,2.949,2.507,2004
Carlos Boozer,2430,34.63,30-35,4947,4936,3.301,-1.249,4.551,-1.811,-1.775,5.112,0.525,4.587,2004
Earl Watson,2248,20.65,20-25,3251,3254,1.352,-3.187,4.538,-2.192,-1.441,3.544,-1.745,5.289,2004
Gilbert Arenas,2240,37.57,35-40,4036,4010,4.314,-0.209,4.523,-0.222,-2.321,4.536,2.113,2.424,2004
Zach Randolph,2216,37.93,35-40,5506,5473,4.543,0.074,4.469,-0.222,-2.321,4.765,2.395,2.37,2004
Doug Christie,57,33.94,30-35,6395,6401,3.465,-0.924,4.389,-1.811,-1.775,5.275,0.851,4.425,2004
P.J. Brown,136,34.46,30-35,5577,5582,1.535,-2.81,4.345,-1.811,-1.775,3.346,-1.035,4.381,2004
Jamal Crawford,2037,35.17,35-40,5383,5395,3.555,-0.765,4.321,-0.222,-2.321,3.777,1.556,2.222,2004
Antawn Jamison,1712,29.01,25-30,4859,4846,4.389,0.091,4.298,-2.278,-2.01,6.667,2.101,4.566,2004
Shane Battier,2203,24.66,20-25,3897,3888,2.347,-1.883,4.23,-2.192,-1.441,4.539,-0.442,4.981,2004
Jamal Mashburn,469,38.4,35-40,1363,1352,1.609,-2.62,4.228,-0.222,-2.321,1.831,-0.298,2.129,2004
Pau Gasol,2200,31.43,30-35,4960,4953,4.376,0.155,4.221,-1.811,-1.775,6.186,1.93,4.257,2004
Robert Horry,109,15.91,15-20,2789,2787,-0.222,-4.385,4.163,-3.169,-1.744,2.948,-2.641,5.589,2004
Gordan Giricek,1921,27.97,25-30,3877,3859,3.018,-1.11,4.129,-2.278,-2.01,5.296,0.899,4.397,2004
Keith Van Horn,1496,32.53,30-35,4724,4722,2.663,-1.423,4.086,-1.811,-1.775,4.474,0.351,4.122,2004
Joe Smith,693,29.72,25-30,4636,4627,1.927,-2.113,4.04,-2.278,-2.01,4.205,-0.103,4.308,2004
