Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
LeBron James,2544,37.52,35-40,6252,6236,8.426,-3.553,11.98,-0.449,-2.529,8.875,-1.025,9.9,2012
Blake Griffin,201933,36.24,35-40,5131,5113,7.692,-2.597,10.289,-0.449,-2.529,8.141,-0.068,8.209,2012
Tony Parker,2225,32.05,30-35,4662,4634,5.256,-4.301,9.557,-1.172,-1.791,6.429,-2.51,8.938,2012
James Harden,201935,31.39,30-35,4963,4943,9.173,-0.237,9.41,-1.172,-1.791,10.345,1.554,8.791,2012
Russell Westbrook,201566,35.32,35-40,6029,6013,6.114,-2.556,8.671,-0.449,-2.529,6.563,-0.028,6.591,2012
Chris Paul,101108,36.34,35-40,4816,4788,6.086,-2.546,8.632,-0.449,-2.529,6.535,-0.018,6.553,2012
Kevin Garnett,708,31.07,30-35,4823,4794,4.294,-4.301,8.594,-1.172,-1.791,5.466,-2.509,7.975,2012
Derrick Rose,201565,35.24,35-40,2664,2646,4.476,-3.74,8.216,-0.449,-2.529,4.926,-1.211,6.137,2012
Dirk Nowitzki,1717,33.53,30-35,4211,4184,5.944,-2.247,8.191,-1.172,-1.791,7.116,-0.456,7.572,2012
Danny Granger,101122,33.26,30-35,4657,4629,4.728,-3.445,8.173,-1.172,-1.791,5.9,-1.654,7.554,2012
Kevin Love,201567,39.01,35-40,4167,4156,6.499,-1.499,7.997,-0.449,-2.529,6.948,1.03,5.918,2012
Ryan Anderson,201583,32.19,30-35,3971,3936,6.485,-1.511,7.996,-1.172,-1.791,7.657,0.281,7.377,2012
Luol Deng,2736,39.43,35-40,4369,4360,3.235,-4.29,7.525,-0.449,-2.529,3.685,-1.762,5.446,2012
Josh Smith,2746,35.28,35-40,4687,4677,4.289,-3.183,7.472,-0.449,-2.529,4.738,-0.655,5.393,2012
Marc Gasol,201188,36.47,35-40,4937,4916,3.257,-4.211,7.468,-0.449,-2.529,3.706,-1.683,5.388,2012
Andre Iguodala,2738,35.63,35-40,5046,5064,2.308,-5.158,7.466,-0.449,-2.529,2.757,-2.629,5.387,2012
Mike Conley,201144,35.07,35-40,4562,4540,4.785,-2.558,7.343,-0.449,-2.529,5.234,-0.03,5.264,2012
Chris Bosh,2547,35.21,35-40,4598,4588,3.856,-3.36,7.216,-0.449,-2.529,4.305,-0.832,5.137,2012
Rajon Rondo,200765,36.93,35-40,5197,5176,3.892,-3.275,7.168,-0.449,-2.529,4.342,-0.747,5.088,2012
Tim Duncan,1495,28.17,25-30,4009,3978,2.523,-4.539,7.062,-1.896,-1.495,4.419,-3.044,7.463,2012
Pau Gasol,2200,37.38,35-40,5386,5370,4.832,-1.97,6.801,-0.449,-2.529,5.281,0.559,4.722,2012
Matt Bonner,2588,20.39,20-25,2863,2853,5.004,-1.758,6.762,-2.324,-1.931,7.329,0.173,7.155,2012
Dwyane Wade,2548,33.17,30-35,4768,4738,3.945,-2.781,6.726,-1.172,-1.791,5.117,-0.99,6.107,2012
Manu Ginobili,1938,23.3,20-25,2356,2368,4.624,-2.073,6.697,-2.324,-1.931,6.949,-0.142,7.091,2012
Dwight Howard,2730,38.33,35-40,3829,3808,1.749,-4.737,6.485,-0.449,-2.529,2.198,-2.208,4.406,2012
Taj Gibson,201959,20.39,20-25,2592,2612,1.301,-5.181,6.482,-2.324,-1.931,3.625,-3.25,6.876,2012
Paul Millsap,200794,32.8,30-35,4187,4180,4.108,-2.257,6.365,-1.172,-1.791,5.28,-0.466,5.746,2012
Kevin Durant,201142,38.58,35-40,6587,6566,4.111,-2.144,6.256,-0.449,-2.529,4.561,0.384,4.176,2012
Steve Nash,959,31.63,30-35,3874,3850,4.045,-2.125,6.17,-1.172,-1.791,5.217,-0.334,5.551,2012
Joe Johnson,2207,35.44,35-40,4325,4312,3.51,-2.491,6.001,-0.449,-2.529,3.959,0.037,3.922,2012
John Wall,202322,36.15,35-40,4669,4630,5.616,-0.378,5.995,-0.449,-2.529,6.066,2.15,3.916,2012
DeMar DeRozan,201942,35.01,35-40,4076,4079,4.591,-1.387,5.977,-0.449,-2.529,5.04,1.142,3.898,2012
LaMarcus Aldridge,200746,36.26,35-40,3748,3733,3.165,-2.73,5.895,-0.449,-2.529,3.614,-0.202,3.816,2012
Danilo Gallinari,201568,31.42,30-35,3060,3048,3.001,-2.862,5.863,-1.172,-1.791,4.173,-1.071,5.244,2012
Beno Udrih,2757,18.3,15-20,2100,2098,2.973,-2.681,5.654,-2.841,-1.546,5.814,-1.136,6.949,2012
Al Jefferson,2744,34.02,30-35,4169,4174,5.241,-0.277,5.518,-1.172,-1.791,6.413,1.514,4.899,2012
Vince Carter,1713,25.28,25-30,3123,3115,2.449,-3.019,5.468,-1.896,-1.495,4.345,-1.523,5.869,2012
Ty Lawson,201951,34.82,30-35,4608,4591,3.986,-1.38,5.367,-1.172,-1.791,5.159,0.411,4.748,2012
Danny Green,201980,23.07,20-25,3485,3488,2.103,-3.235,5.338,-2.324,-1.931,4.428,-1.304,5.731,2012
Landry Fields,202361,28.69,25-30,3905,3918,2.521,-2.781,5.302,-1.896,-1.495,4.417,-1.286,5.703,2012
Andre Miller,1889,27.41,25-30,3839,3845,5.233,0.149,5.084,-1.896,-1.495,7.129,1.644,5.485,2012
Ekpe Udoh,202327,21.15,20-25,2467,2475,0.787,-4.241,5.028,-2.324,-1.931,3.111,-2.31,5.421,2012
David Lee,101135,37.21,35-40,4113,4105,4.307,-0.708,5.014,-0.449,-2.529,4.756,1.821,2.935,2012
Jeff Teague,201952,33.07,30-35,4424,4418,4.229,-0.762,4.991,-1.172,-1.791,5.401,1.029,4.372,2012
Joakim Noah,201149,30.39,30-35,3841,3837,4.209,-0.739,4.948,-1.172,-1.791,5.381,1.052,4.329,2012
Deron Williams,101114,36.34,35-40,3760,3750,4.773,-0.142,4.916,-0.449,-2.529,5.223,2.386,2.836,2012
Brandon Jennings,201943,35.32,35-40,4612,4629,4.247,-0.606,4.854,-0.449,-2.529,4.696,1.922,2.774,2012
George Hill,201588,25.48,25-30,2977,2981,2.709,-1.982,4.691,-1.896,-1.495,4.605,-0.487,5.092,2012
Eric Gordon,201569,34.49,30-35,574,574,1.899,-2.708,4.607,-1.172,-1.791,3.071,-0.917,3.988,2012
Avery Bradley,202340,21.38,20-25,3031,3046,0.573,-4.006,4.579,-2.324,-1.931,2.897,-2.075,4.972,2012
Kobe Bryant,977,38.49,35-40,5124,5103,2.602,-1.924,4.526,-0.449,-2.529,3.051,0.604,2.447,2012
Nick Collison,2555,20.74,20-25,3132,3132,2.751,-1.741,4.492,-2.324,-1.931,5.075,0.19,4.885,2012
Andrew Bynum,101115,35.19,35-40,4811,4787,2.342,-2.103,4.444,-0.449,-2.529,2.791,0.426,2.365,2012
Raymond Felton,101109,31.76,30-35,3601,3579,2.758,-1.658,4.416,-1.172,-1.791,3.93,0.133,3.797,2012
Kyrie Irving,202681,30.55,30-35,3010,3017,4.26,-0.119,4.379,-1.172,-1.791,5.432,1.672,3.76,2012
Jrue Holiday,201950,33.79,30-35,5006,5011,2.015,-2.316,4.331,-1.172,-1.791,3.187,-0.525,3.712,2012
Thaddeus Young,201152,27.86,25-30,3782,3793,3.437,-0.89,4.328,-1.896,-1.495,5.333,0.605,4.728,2012
Stephen Curry,201939,28.15,25-30,1449,1440,1.12,-3.194,4.314,-1.896,-1.495,3.016,-1.698,4.715,2012
JR Smith,2747,27.64,25-30,2157,2158,2.977,-1.269,4.246,-1.896,-1.495,4.873,0.226,4.647,2012
Channing Frye,101112,26.08,25-30,3231,3221,3.365,-0.846,4.21,-1.896,-1.495,5.261,0.65,4.611,2012
Jeremy Lin,202391,26.87,25-30,1862,1849,1.136,-3.05,4.187,-1.896,-1.495,3.032,-1.555,4.587,2012
Iman Shumpert,202697,28.91,25-30,3334,3341,2.95,-1.228,4.178,-1.896,-1.495,4.846,0.268,4.579,2012
Courtney Lee,201584,30.29,30-35,3287,3294,2.63,-1.487,4.118,-1.172,-1.791,3.803,0.304,3.499,2012
Tyson Chandler,2199,33.23,30-35,4278,4288,1.06,-3.05,4.11,-1.172,-1.791,2.232,-1.258,3.491,2012
Monta Ellis,101145,36.56,35-40,4181,4190,2.79,-1.3,4.091,-0.449,-2.529,3.239,1.228,2.011,2012
Kyle Lowry,200768,32.13,30-35,2901,2902,2.229,-1.828,4.057,-1.172,-1.791,3.401,-0.037,3.438,2012
Kris Humphries,2743,34.87,30-35,4068,4062,4.244,0.193,4.051,-1.172,-1.791,5.416,1.984,3.432,2012
Paul George,202331,29.66,25-30,4382,4361,1.274,-2.772,4.046,-1.896,-1.495,3.17,-1.277,4.447,2012
Rodney Stuckey,201155,29.88,25-30,3030,3020,3.043,-0.998,4.041,-1.896,-1.495,4.939,0.497,4.441,2012
Wesley Matthews,202083,33.75,30-35,4233,4223,3.341,-0.656,3.998,-1.172,-1.791,4.514,1.135,3.379,2012
Brandon Bass,101138,31.66,30-35,4603,4612,1.742,-2.24,3.983,-1.172,-1.791,2.915,-0.449,3.363,2012
Boris Diaw,2564,25.0,20-25,3432,3420,0.941,-3.018,3.958,-2.324,-1.931,3.265,-1.087,4.352,2012
Luis Scola,2449,31.32,30-35,3922,3904,1.845,-2.022,3.867,-1.172,-1.791,3.017,-0.231,3.248,2012
Anderson Varejao,2760,31.38,30-35,1507,1507,0.76,-3.1,3.86,-1.172,-1.791,1.933,-1.308,3.241,2012
Gerald Wallace,2222,35.78,35-40,3962,3953,-0.48,-4.318,3.838,-0.449,-2.529,-0.031,-1.789,1.758,2012
Zach Randolph,2216,26.25,25-30,1829,1813,1.705,-2.1,3.805,-1.896,-1.495,3.601,-0.604,4.206,2012
Greivis Vasquez,202349,25.84,25-30,3142,3151,3.662,-0.122,3.784,-1.896,-1.495,5.558,1.373,4.185,2012
Kyle Korver,2594,22.61,20-25,2892,2851,2.772,-0.992,3.763,-2.324,-1.931,5.096,0.939,4.157,2012
Shane Battier,2203,23.06,20-25,4139,4149,1.683,-2.045,3.728,-2.324,-1.931,4.007,-0.114,4.121,2012
Goran Dragic,201609,26.54,25-30,3292,3279,3.351,-0.368,3.719,-1.896,-1.495,5.247,1.127,4.12,2012
Tony Allen,2754,26.3,25-30,3189,3214,0.338,-3.38,3.717,-1.896,-1.495,2.234,-1.884,4.118,2012
Carmelo Anthony,2546,34.11,30-35,3987,3976,3.029,-0.673,3.702,-1.172,-1.791,4.201,1.118,3.083,2012
Ricky Rubio,201937,34.24,30-35,2752,2749,0.374,-3.309,3.682,-1.172,-1.791,1.546,-1.517,3.063,2012
Eric Bledsoe,202339,11.59,10-15,1198,1209,0.299,-3.363,3.662,-3.022,-1.22,3.321,-2.144,5.465,2012
Lou Williams,101150,26.28,25-30,3830,3820,2.551,-1.071,3.622,-1.896,-1.495,4.447,0.425,4.023,2012
Marcin Gortat,101162,32.03,30-35,4140,4131,2.674,-0.946,3.619,-1.172,-1.791,3.846,0.846,3.0,2012
Chauncey Billups,1497,30.33,30-35,1139,1135,0.149,-3.454,3.603,-1.172,-1.791,1.321,-1.663,2.984,2012
Al Harrington,1733,27.52,25-30,3704,3700,2.307,-1.204,3.51,-1.896,-1.495,4.203,0.292,3.911,2012
Jodie Meeks,201975,24.9,20-25,3293,3309,1.472,-1.992,3.463,-2.324,-1.931,3.796,-0.061,3.857,2012
David West,2561,29.16,25-30,4366,4343,1.208,-2.146,3.354,-1.896,-1.495,3.104,-0.651,3.755,2012
Ronnie Brewer,200758,24.77,20-25,3196,3240,-0.233,-3.572,3.339,-2.324,-1.931,2.092,-1.641,3.732,2012
Amir Johnson,101161,24.26,20-25,2863,2847,0.548,-2.783,3.331,-2.324,-1.931,2.872,-0.852,3.725,2012
Jared Dudley,201162,31.07,30-35,3952,3950,1.725,-1.575,3.301,-1.172,-1.791,2.897,0.216,2.682,2012
Rudy Gay,200752,37.26,35-40,5097,5087,2.367,-0.922,3.288,-0.449,-2.529,2.816,1.607,1.209,2012
Steve Novak,200779,18.9,15-20,2145,2118,2.137,-1.142,3.279,-2.841,-1.546,4.978,0.403,4.574,2012
Roy Hibbert,201579,29.8,25-30,4250,4211,2.396,-0.877,3.272,-1.896,-1.495,4.292,0.619,3.673,2012
Jason Kidd,467,28.73,25-30,2914,2915,0.537,-2.725,3.262,-1.896,-1.495,2.433,-1.23,3.662,2012
Isaiah Thomas,202738,25.47,25-30,3309,3316,3.487,0.232,3.256,-1.896,-1.495,5.383,1.727,3.657,2012
Nate Robinson,101126,23.38,20-25,2278,2281,2.031,-1.218,3.25,-2.324,-1.931,4.356,0.713,3.643,2012
Jameer Nelson,2749,29.93,25-30,3480,3455,2.801,-0.448,3.249,-1.896,-1.495,4.697,1.047,3.65,2012
Rodrigue Beaubois,201958,21.71,20-25,2234,2238,1.294,-1.903,3.196,-2.324,-1.931,3.618,0.028,3.59,2012
Antawn Jamison,1712,33.09,30-35,4124,4117,4.936,1.771,3.165,-1.172,-1.791,6.108,3.562,2.546,2012
