Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Austin Reaves,1630559,1308,1303,0.049,-0.178,0.226,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.898,0.978,-0.712,0.809,-1.938,1.583,-1.691,2.144
Payton Pritchard,1630202,659,644,0.072,-0.15,0.222,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.91,0.989,-0.691,0.835,-1.933,1.632,-1.717,2.161
Wesley Matthews,202083,722,747,-0.037,-0.259,0.222,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.908,0.988,-0.799,0.726,-2.039,1.52,-1.714,2.158
Dillon Brooks,1628415,1003,1007,-0.058,-0.274,0.216,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.902,0.982,-0.819,0.704,-2.042,1.494,-1.709,2.141
Marcus Smart,203935,2644,2645,0.019,-0.197,0.216,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.386,0.877,0.958,-0.737,0.775,-1.916,1.522,-1.662,2.094
Immanuel Quickley,1630193,349,351,-0.049,-0.252,0.203,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.917,0.996,-0.813,0.715,-2.049,1.545,-1.75,2.156
Evan Mobley,1630596,647,644,-0.046,-0.246,0.2,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.91,0.99,-0.809,0.717,-2.03,1.538,-1.74,2.14
Quentin Grimes,1629656,459,462,-0.021,-0.221,0.2,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.914,0.994,-0.785,0.743,-2.013,1.572,-1.748,2.148
Nikola Jokic,203999,2013,1966,0.145,-0.049,0.193,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.387,0.887,0.967,-0.614,0.903,-1.786,1.689,-1.702,2.089
Larry Nance Jr.,1626204,436,434,0.017,-0.172,0.19,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.915,0.994,-0.746,0.781,-1.966,1.621,-1.759,2.139
