Name,Off,Def,Rapm
Nikola Jokic,8.04445336171348,-2.17860643222943,10.223059793942909
LeBron James,7.1618468242940505,-2.58219085933687,9.744037683630921
Joel Embiid,4.89777248820034,-4.65197280349505,9.54974529169539
Kevin Garnett,2.50465955462745,-6.995930098552559,9.50058965318001
Chris Paul,6.51057446348154,-2.4928332309720798,9.003407694453621
Draymond Green,2.835235175152,-5.47159196758494,8.30682714273694
Tim Duncan,2.77709802164465,-5.49054055993298,8.26763858157763
Stephen Curry,7.60211269563168,-0.48082551350249997,8.08293820913418
John Stockton,5.4462572419163,-2.3597481160775002,7.806005357993801
Paul George,4.22477758946808,-3.56875441914726,7.79353200861534
Manu Ginobili,4.81885427050063,-2.75488348701378,7.57373775751441
Jayson Tatum,5.53942051270331,-1.97134287385985,7.51076338656316
Shaquille O'Neal,4.95017916459966,-2.42970007146425,7.3798792360639105
Giannis Antetokounmpo,4.17989929867504,-3.12127266569751,7.301171964372549
Michael Jordan,5.90499388012784,-1.17070047141421,7.07569435154205
Dirk Nowitzki,5.31629217337015,-1.7315053165029899,7.0477974898731395
Kawhi Leonard,4.97702027735037,-1.96064442879933,6.9376647061497
Damian Lillard,7.72530238536194,0.82886884285709,6.89643354250485
Jrue Holiday,4.58261188689186,-2.1064564764532,6.6890683633450605
Franz Wagner,4.00715717538205,-2.66786252324655,6.675019698628599
Rasheed Wallace,2.34898939921331,-4.28441162411244,6.633401023325749
Kevin Durant,5.527036645008209,-1.0356093225953,6.56264596760351
Rudy Gobert,0.85382748534813,-5.47323080808162,6.327058293429751
Vlade Divac,1.6558883505501503,-4.61161303729248,6.26750138784263
Jeff Hornacek,5.18278591705607,-1.0844529836705301,6.2672389007266
David Robinson,1.2982953392830299,-4.96814882065366,6.2664441599366905
Paul Pierce,3.64795482902749,-2.5755611678921797,6.22351599691967
Steve Nash,6.5404492289815,0.39524130406579994,6.1452079249157
James Harden,7.16271733439326,1.06193913870942,6.100778195683841
Baron Davis,4.3644061360938995,-1.7339901051958901,6.09839624128979
Dikembe Mutombo,0.11703941716138,-5.913519926562031,6.03055934372341
Arvydas Sabonis,1.27027741840117,-4.73891174064455,6.00918915904572
Jimmy Butler,3.6034217189780495,-2.32711965536174,5.93054137433979
Alex Caruso,0.99914471127336,-4.801840131966769,5.80098484324013
Nene,0.83850298597293,-4.90369801761142,5.74220100358435
Detlef Schrempf,4.6103407965556205,-1.0316234428234599,5.641964239379081
Derrick White,3.6401773283285,-1.94312812934722,5.58330545767572
Mike Conley,5.14407030126432,-0.42883693341584994,5.57290723468017
Jason Kidd,3.3437253110953,-2.18472023699371,5.52844554808901
Kyle Lowry,3.6609995939725604,-1.82981048936454,5.4908100833371
Chet Holmgren,4.07757974160907,-1.33121814828769,5.40879788989676
Karl-Anthony Towns,6.402627879188779,1.0230042550053,5.37962362418348
Alonzo Mourning,0.9089293987288799,-4.46198508787126,5.37091448660014
Immanuel Quickley,2.04921183652247,-3.2485849773832802,5.29779681390575
Jose Alvarado,2.65124556678663,-2.62617495736992,5.27742052415655
Yao Ming,1.47202451338859,-3.8043378976554596,5.27636241104405
Clyde Drexler,4.0787615229750305,-1.12274905219109,5.20151057516612
George Hill,2.63097402767833,-2.54920947979162,5.18018350746995
Luol Deng,2.0470394797600497,-3.12452141618844,5.17156089594849
Herbert Jones,2.79527815695562,-2.35568486176152,5.150963018717141
Isaiah Hartenstein,4.0871501385081,-1.05923374760924,5.1463838861173405
Paul Millsap,2.72267502965428,-2.39764886413843,5.12032389379271
Otto Porter Jr.,3.6868451619317697,-1.40563512937888,5.0924802913106495
Jusuf Nurkic,1.7912485136301102,-3.2912206169378697,5.08246913056798
Bo Outlaw,0.0014914355410561837,-5.03725735099237,5.038748786533426
Ben Wallace,-0.52744428806041,-5.51346955814487,4.986025270084459
Vince Carter,3.20343410930449,-1.7799244580915499,4.98335856739604
Jalen Brunson,5.40852162856703,0.50491388557532,4.90360774299171
Lamar Odom,1.87538389706472,-3.01884742431725,4.8942313213819695
Ricky Rubio,1.8747620108296101,-2.9944275451069,4.869189555936511
Amir Johnson,1.34481775462164,-3.51572145788972,4.86053921251136
Jonathan Isaac,1.10074965595282,-3.7569980843438198,4.85774774029664
Fred VanVleet,2.94061096841251,-1.90932921420066,4.84994018261317
Josh Howard,3.4835605546309503,-1.34460948480449,4.828170039435441
Blake Griffin,3.2410348771150503,-1.56116477802933,4.80219965514438
Toni Kukoc,2.98969070270796,-1.79440166905082,4.78409237175878
Khris Middleton,4.1274425685018,-0.65423048152212,4.78167305002392
Shane Battier,1.78820232768757,-2.95513863418423,4.7433409618718
Chuck Hayes,0.53755969761378,-4.2051079930422395,4.7426676906560195
Aaron Gordon,3.72602139459342,-1.0028499066776801,4.7288713012711
Anthony Davis,2.61132425930454,-2.11060386831554,4.72192812762008
Robert Covington,1.35026430542521,-3.36670240275663,4.71696670818184
Rashard Lewis,4.0619691952183805,-0.63930396340763,4.701273158626011
Reggie Miller,4.1533391764393,-0.54313450168405,4.6964736781233505
Eddie Jones,1.8655815870635601,-2.8256655765485204,4.691247163612081
Steven Adams,3.43807268366855,-1.24400961996253,4.68208230363108
Andrei Kirilenko,2.70936070458989,-1.96267705655731,4.672037761147201
LaMarcus Aldridge,2.27442829987781,-2.37943740836,4.65386570823781
Kristaps Porzingis,3.23317350734694,-1.40390511252936,4.637078619876299
Desmond Bane,3.97897254571667,-0.62810298468473,4.6070755304014
Brandon Roy,4.99107978902754,0.38655102417908,4.60452876484846
Gheorghe Muresan,2.0438440477253,-2.5464822929132698,4.59032634063857
Pascal Siakam,4.187004810889601,-0.37811466570325,4.56511947659285
Andrew Bogut,-0.91933251518031,-5.4811366292139,4.56180411403359
Al Horford,2.4013943409626997,-2.14674453996487,4.54813888092757
Nikola Mirotic,2.96121574613541,-1.5735755033938599,4.53479124952927
Kenrich Williams,2.62220979932366,-1.89446106994755,4.516670869271209
Tony Allen,0.013628853937880001,-4.49780964860486,4.51143850254274
Luka Doncic,6.04830875099365,1.56544022896528,4.48286852202837
Kyrie Irving,5.4836014391261605,1.0207746021405,4.46282683698566
Metta World Peace,0.71660518232058,-3.7370479635330502,4.453653145853631
Andre Iguodala,0.97914013962614,-3.4668053033035195,4.445945442929659
Ja Morant,4.80915939876633,0.3722634334072,4.43689596535913
Ray Allen,5.4946738441482,1.14571122131173,4.34896262283647
Andre Roberson,0.23446211538753,-4.11331245696816,4.34777457235569
Jeff Foster,0.92513340974635,-3.4122101964490503,4.3373436061954
Mitch Richmond,2.99920318466422,-1.3320500686518,4.33125325331602
Patrick Beverley,2.49438167905639,-1.7865625204270499,4.28094419948344
Jarrett Allen,2.72119706924277,-1.50455872196615,4.22575579120892
Jared Sullinger,1.76713721313785,-2.44514978890119,4.212287002039041
Chris Bosh,2.42996906577344,-1.75494823755202,4.184917303325459
Kemba Walker,3.78695893485044,-0.3880295388224,4.17498847367284
Mike James,1.85097249954277,-2.29613524798035,4.14710774752312
Kevin Love,3.2319408052742298,-0.82318008144603,4.05512088672026
Eric Bledsoe,2.05221526159671,-1.9978477620543202,4.05006302365103
Terry Porter,2.24412220701689,-1.8002399433068899,4.04436215032378
Anderson Varejao,0.8752654134859501,-3.1618252677632497,4.0370906812492
Mikal Bridges,2.9495019071262,-1.08297934755923,4.03248125468543
Michael Kidd-Gilchrist,0.76464144607098,-3.2671628744571897,4.0318043205281695
Robert Horry,0.33023232215387,-3.6835092179114,4.01374154006527
Dwyane Wade,3.7747111143915304,-0.23733283606217,4.0120439504537
Jock Landale,2.60738698275608,-1.37930491103325,3.98669189378933
Donovan Mitchell,4.77619152286785,0.7984451415777,3.9777463812901503
Derek Fisher,1.78115296567988,-2.19544685376767,3.97659981944755
Sam Cassell,4.09475680256495,0.13246172072964,3.9622950818353098
Tracy McGrady,3.8800695520939197,-0.04931165583209,3.9293812079260095
Gilbert Arenas,4.29464057605789,0.36536402669366996,3.9292765493642197
Bam Adebayo,1.4170671333593199,-2.49750263559168,3.914569768951
Javonte Green,3.2008829471282896,-0.6714277377523,3.8723106848805893
Devin Booker,5.69435927108071,1.82426194863036,3.87009732245035
Brian Cardinal,1.90089709455052,-1.96675891464226,3.8676560091927796
Greg Minor,0.95134726320314,-2.91248239250228,3.8638296557054197
Jakob Poeltl,3.03585739672373,-0.82711462045745,3.86297201718118
Danny Green,1.8136236274147,-2.02622040052957,3.83984402794427
Dillon Brooks,2.43222238253002,-1.40282123358657,3.8350436161165904
Kobe Bryant,4.76438888392419,0.93290013429577,3.83148874962842
Sam Perkins,2.10778084362047,-1.7224676721602001,3.8302485157806703
Clint Capela,1.28872684493212,-2.5365465512667,3.82527339619882
Gerald Wallace,1.4508029890029501,-2.37214719624348,3.82295018524643
Domantas Sabonis,2.76315761875951,-1.02385894127099,3.7870165600304997
Marc Gasol,0.7560816554802601,-3.00245383394677,3.7585354894270298
Joe Dumars,4.5545129508466005,0.79599524222344,3.7585177086231605
DeMarre Carroll,1.7571533344075099,-1.95219183054228,3.7093451649497897
Shai Gilgeous-Alexander,4.40648412751504,0.70688600049518,3.6995981270198603
Jamal Murray,3.98328981990815,0.28648722432414003,3.6968025955840105
Tari Eason,1.74652715450236,-1.91634842755457,3.66287558205693
Chris Boucher,3.06723093503956,-0.55209306929265,3.61932400433221
Peja Stojakovic,4.01035132607639,0.39641736837554997,3.61393395770084
Jared Dudley,1.11646990348614,-2.4590169712030803,3.5754868746892203
Myles Turner,1.08926842486757,-2.48302299688192,3.57229142174949
Cody Zeller,1.39469060281456,-2.16252822567279,3.5572188284873496
Ron Harper,1.02601660465647,-2.52744324354975,3.5534598482062196
Victor Wembanyama,0.6295220696625801,-2.91618109921004,3.54570316887262
Hedo Turkoglu,2.3965077777563697,-1.14365072959654,3.54015850735291
Mitchell Robinson,2.72977641768826,-0.80923255058235,3.53900896827061
Andre Miller,3.53021482749887,-0.008323037869142125,3.5385378653680117
Thaddeus Young,1.93741934784727,-1.60035738646132,3.53777673430859
Ty Lawson,3.70922256455695,0.17439404595519,3.53482851860176
Marcus Smart,1.68052122149945,-1.84754547139135,3.5280666928908
Shawn Bradley,-1.86734318735568,-5.39409493635861,3.52675174900293
Joe Ingles,2.63894884714959,-0.85527191260943,3.4942207597590205
Danilo Gallinari,3.0970196514813,-0.38601944251761,3.48303909399891
Christian Koloko,0.9509382475302299,-2.52224484930642,3.4731830968366495
Chris Andersen,0.47479196086448,-2.98314681460685,3.45793877547133
Darius Garland,3.05979667877033,-0.39219633803624,3.45199301680657
Pero Antic,0.64886598229295,-2.80311289357646,3.4519788758694103
Brad Miller,2.37577770211236,-1.07500188023363,3.45077958234599
Pau Gasol,2.79231089776477,-0.65767996201451,3.44999085977928
Nick Calathes,-0.43406551889864997,-3.87359122946478,3.4395257105661297
Royce O'Neale,2.13672850774385,-1.29224473761293,3.42897324535678
CJ McCollum,4.3575247607890795,0.93560777044267,3.4219169903464097
Charlie Ward,0.22147329646198,-3.17637784827167,3.3978511447336497
Gordon Hayward,2.87936602559882,-0.50600343161305,3.3853694572118704
Tiago Splitter,-0.5337562784863901,-3.91430992044306,3.38055364195667
Charles Barkley,4.57768011451035,1.2159477901074098,3.36173232440294
Horace Grant,0.848766660832,-2.50130768795943,3.3500743487914297
Jon Barry,1.40664727526086,-1.9411105235366,3.34775779879746
Bradley Beal,4.81974626409744,1.47957349578479,3.3401727683126508
Terence Davis,2.92261465512789,-0.41642922614999994,3.33904388127789
Patrick Patterson,1.87893644817978,-1.45686625799969,3.33580270617947
Montrezl Harrell,2.26945032612839,-1.05075250424663,3.32020283037502
OG Anunoby,1.74107964138976,-1.5761607378152303,3.31724037920499
Nate McMillan,1.2828107783184601,-2.0342746315464,3.3170854098648603
Tim Hardaway,3.1284516074812205,-0.18379785728546,3.3122494647666803
Kenyon Martin,-0.0041047098481209335,-3.3139867371549503,3.3098820273068292
Aaron Holiday,2.1151353299812903,-1.1946453213558499,3.30978065133714
Ömer Aşik,-0.41056578670003996,-3.70840424818805,3.2978384614880096
Ryan Bowen,-0.8728517220001,-4.13972695087948,3.2668752288793796
Bogdan Bogdanovic,3.54163492915958,0.29087504086627,3.25075988829331
Malcolm Brogdon,3.0483996426033997,-0.20167497183736002,3.25007461444076
