Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Dirk Nowitzki,1717,34.3,30-35,6323,6271,8.808,-4.424,13.231,-1.387,-2.198,10.195,-2.226,12.421,2011
Manu Ginobili,1938,30.32,30-35,5075,5092,7.384,-3.871,11.256,-1.387,-2.198,8.772,-1.673,10.445,2011
Chris Paul,101108,36.0,35-40,5766,5758,6.68,-2.985,9.665,-0.63,-2.28,7.31,-0.705,8.015,2011
LeBron James,2544,38.77,35-40,7463,7446,5.792,-3.435,9.227,-0.63,-2.28,6.422,-1.156,7.578,2011
Dwyane Wade,2548,37.15,35-40,6862,6832,7.479,-1.732,9.211,-0.63,-2.28,8.109,0.547,7.562,2011
Dwight Howard,2730,37.63,35-40,6017,5970,4.559,-4.347,8.906,-0.63,-2.28,5.189,-2.067,7.256,2011
Pau Gasol,2200,37.04,35-40,6378,6371,5.855,-2.892,8.747,-0.63,-2.28,6.485,-0.612,7.097,2011
Kevin Garnett,708,31.26,30-35,4786,4762,2.227,-6.153,8.38,-1.387,-2.198,3.615,-3.955,7.569,2011
Luol Deng,2736,39.12,35-40,7277,7246,4.293,-4.074,8.367,-0.63,-2.28,4.923,-1.795,6.717,2011
Steve Nash,959,33.29,30-35,4846,4801,6.338,-1.918,8.256,-1.387,-2.198,7.725,0.28,7.445,2011
Chris Bosh,2547,36.3,35-40,6778,6750,3.964,-4.187,8.152,-0.63,-2.28,4.594,-1.908,6.502,2011
Mike Conley,201144,35.45,35-40,6351,6347,5.997,-2.008,8.005,-0.63,-2.28,6.628,0.272,6.356,2011
Derrick Rose,201565,37.36,35-40,6876,6836,5.734,-2.214,7.948,-0.63,-2.28,6.364,0.066,6.299,2011
Paul Pierce,1718,34.68,30-35,5871,5847,4.206,-3.742,7.948,-1.387,-2.198,5.593,-1.544,7.137,2011
Kevin Durant,201142,38.94,35-40,7235,7200,6.171,-1.645,7.816,-0.63,-2.28,6.802,0.635,6.167,2011
LaMarcus Aldridge,200746,39.65,35-40,6300,6290,4.737,-2.625,7.362,-0.63,-2.28,5.367,-0.345,5.712,2011
Jrue Holiday,201950,35.37,35-40,5829,5825,5.967,-1.15,7.117,-0.63,-2.28,6.597,1.13,5.467,2011
Jason Terry,1891,31.27,30-35,6157,6102,5.777,-1.023,6.8,-1.387,-2.198,7.164,1.175,5.989,2011
Gerald Wallace,2222,37.93,35-40,5387,5384,4.427,-2.31,6.737,-0.63,-2.28,5.057,-0.03,5.087,2011
Ray Allen,951,36.13,35-40,6072,6049,4.389,-2.328,6.717,-0.63,-2.28,5.019,-0.048,5.067,2011
Tyson Chandler,2199,27.82,25-30,5160,5155,2.713,-3.95,6.663,-1.782,-1.894,4.495,-2.056,6.551,2011
Paul Millsap,200794,34.28,30-35,4949,4932,3.225,-3.301,6.526,-1.387,-2.198,4.612,-1.103,5.715,2011
