Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi,Season
Bol Bol,1629626,11.61,10-15,22,22,-5.457,-2.019,-3.438,-2.203,-1.182,-3.254,-0.836,-2.417,5.424,5.425,7.671,-16.088,5.174,-12.651,8.614,-18.474,11.598,2024-25
Blake Wesley,1631104,13.1,10-15,103,103,-3.707,-0.233,-3.474,-2.203,-1.182,-1.504,0.95,-2.453,5.183,5.181,7.329,-13.867,6.452,-10.388,9.922,-17.838,10.89,2024-25
Kira Lewis Jr.,1630184,9.44,5-10,56,57,-4.844,-1.308,-3.536,-2.148,-1.409,-2.697,0.101,-2.798,5.331,5.33,7.538,-15.293,5.605,-11.754,9.138,-18.31,11.238,2024-25
Duncan Robinson,1629130,25.99,25-30,51,51,-5.013,-1.471,-3.542,-1.9,-1.756,-3.113,0.285,-3.398,5.318,5.318,7.521,-15.437,5.411,-11.895,8.953,-18.283,11.199,2024-25
Alex Caruso,1627936,24.65,20-25,176,175,-7.712,-4.156,-3.556,-2.154,-2.476,-5.558,-1.68,-3.878,5.037,5.04,7.125,-17.584,2.16,-14.034,5.723,-17.522,10.41,2024-25
Pat Connaughton,1626192,19.48,15-20,63,63,-6.202,-2.635,-3.567,-2.43,-2.099,-3.773,-0.536,-3.237,5.283,5.283,7.471,-16.557,4.153,-12.99,7.72,-18.211,11.077,2024-25
Jamal Cain,1631288,12.08,10-15,7,8,-5.501,-1.904,-3.598,-2.203,-1.182,-3.298,-0.721,-2.577,5.495,5.491,7.768,-16.272,5.27,-12.666,8.859,-18.824,11.628,2024-25
Goga Bitadze,1629048,18.08,15-20,40,38,-5.208,-1.594,-3.614,-2.43,-2.099,-2.778,0.506,-3.284,5.349,5.356,7.57,-15.693,5.277,-12.092,8.905,-18.451,11.223,2024-25
Kris Murray,1631200,18.23,15-20,177,176,-6.091,-2.463,-3.627,-2.43,-2.099,-3.661,-0.364,-3.297,5.094,5.095,7.208,-16.076,3.894,-12.449,7.523,-17.756,10.501,2024-25
Draymond Green,203110,28.24,25-30,150,147,-6.087,-2.456,-3.631,-1.9,-1.756,-4.187,-0.7,-3.488,5.122,5.126,7.255,-16.126,3.952,-12.502,7.591,-17.851,10.589,2024-25
Isaiah Mobley,1630600,8.12,5-10,32,32,-6.187,-2.496,-3.691,-2.148,-1.409,-4.039,-1.087,-2.952,5.399,5.399,7.635,-16.768,4.395,-13.078,8.086,-18.655,11.274,2024-25
Markieff Morris,202693,9.29,5-10,84,83,-6.523,-2.832,-3.692,-2.148,-1.409,-4.376,-1.423,-2.953,5.238,5.238,7.412,-16.789,3.743,-13.098,7.435,-18.22,10.837,2024-25
Herbert Jones,1630529,30.93,30-35,271,268,-4.519,-0.769,-3.75,-1.731,-2.124,-2.788,1.355,-4.142,4.92,4.92,6.957,-14.161,5.124,-10.413,8.875,-17.386,9.886,2024-25
Thaddeus Young,201152,13.32,10-15,23,23,-5.099,-1.345,-3.753,-2.203,-1.182,-2.896,-0.163,-2.733,5.42,5.42,7.665,-15.722,5.524,-11.968,9.277,-18.776,11.269,2024-25
Mouhamed Gueye,1631243,15.53,15-20,110,108,-7.818,-3.935,-3.884,-2.43,-2.099,-5.388,-1.835,-3.553,5.129,5.136,7.259,-17.871,2.235,-14.0,6.131,-18.111,10.344,2024-25
AJ Griffin,1631100,8.54,5-10,80,81,-6.191,-2.283,-3.908,-2.148,-1.409,-4.043,-0.874,-3.169,5.245,5.243,7.416,-16.47,4.089,-12.559,7.993,-18.443,10.628,2024-25
Xavier Tillman,1630214,13.86,10-15,40,42,-6.351,-2.382,-3.969,-2.203,-1.182,-4.148,-1.199,-2.948,5.358,5.35,7.571,-16.852,4.15,-12.867,8.104,-18.809,10.87,2024-25
Orlando Robinson,1631115,13.42,10-15,12,14,-5.609,-1.597,-4.012,-2.203,-1.182,-3.406,-0.414,-2.991,5.47,5.462,7.73,-16.331,5.113,-12.301,9.108,-19.163,11.139,2024-25
Jordan Goodwin,1630692,18.59,15-20,155,159,-6.804,-2.788,-4.015,-2.43,-2.099,-4.374,-0.689,-3.685,5.135,5.131,7.271,-16.868,3.261,-12.846,7.269,-18.266,10.235,2024-25
Zavier Simpson,1630285,23.05,20-25,78,77,-5.859,-1.836,-4.023,-2.154,-2.476,-3.705,0.64,-4.345,5.231,5.232,7.401,-16.112,4.394,-12.092,8.42,-18.529,10.482,2024-25
Paul Reed,1630194,15.96,15-20,131,131,-7.955,-3.905,-4.05,-2.43,-2.099,-5.525,-1.805,-3.72,5.102,5.1,7.215,-17.954,2.044,-13.901,6.092,-18.192,10.092,2024-25
Alex Fudge,1641788,6.7,5-10,52,56,-5.0,-0.947,-4.053,-2.148,-1.409,-2.853,0.462,-3.315,5.314,5.3,7.513,-15.417,5.416,-11.335,9.442,-18.778,10.671,2024-25
CJ McCollum,203468,32.71,30-35,291,284,-6.981,-2.892,-4.089,-1.731,-2.124,-5.25,-0.768,-4.482,4.869,4.87,6.888,-16.524,2.562,-12.437,6.653,-17.59,9.412,2024-25
Bruce Brown,1628971,25.8,25-30,80,82,-5.134,-0.982,-4.152,-1.9,-1.756,-3.234,0.774,-4.008,5.247,5.243,7.419,-15.417,5.149,-11.258,9.294,-18.693,10.389,2024-25
Anthony Gill,1630264,8.56,5-10,72,73,-5.216,-1.02,-4.195,-2.148,-1.409,-3.068,0.388,-3.457,5.258,5.255,7.433,-15.522,5.09,-11.32,9.28,-18.764,10.373,2024-25
Timmy Allen,1641851,25.09,25-30,109,108,-5.652,-1.263,-4.389,-1.9,-1.756,-3.753,0.493,-4.246,5.154,5.155,7.294,-15.753,4.449,-11.367,8.841,-18.686,9.907,2024-25
Mike Conley,201144,26.87,25-30,174,170,-5.93,-1.492,-4.438,-1.9,-1.756,-4.03,0.264,-4.294,5.069,5.067,7.166,-15.864,4.004,-11.423,8.439,-18.484,9.608,2024-25
Jonathan Kuminga,1630228,25.57,25-30,103,104,-4.652,-0.159,-4.493,-1.9,-1.756,-2.753,1.597,-4.35,5.152,5.152,7.282,-14.751,5.446,-10.258,9.939,-18.765,9.779,2024-25
Malachi Flynn,1630201,12.61,10-15,71,72,-4.615,-0.107,-4.508,-2.203,-1.182,-2.412,1.075,-3.487,5.257,5.255,7.433,-14.919,5.688,-10.407,10.193,-19.077,10.062,2024-25
Nikola Jovic,1631107,22.3,20-25,215,210,-9.133,-4.604,-4.529,-2.154,-2.476,-6.979,-2.128,-4.851,4.988,4.999,7.056,-18.909,0.644,-14.402,5.194,-18.359,9.302,2024-25
Chris Paul,101108,27.31,25-30,135,138,-4.864,-0.187,-4.678,-1.9,-1.756,-2.965,1.569,-4.534,5.09,5.083,7.195,-14.84,5.111,-10.15,9.776,-18.78,9.424,2024-25
Taze Moore,1631386,10.03,10-15,62,63,-5.772,-1.091,-4.681,-2.203,-1.182,-3.569,0.091,-3.66,5.292,5.29,7.488,-16.144,4.6,-11.46,9.277,-19.357,9.996,2024-25
Pete Nance,1631250,7.88,5-10,24,24,-6.782,-1.952,-4.829,-2.148,-1.409,-4.634,-0.543,-4.091,5.429,5.429,7.677,-17.421,3.858,-12.592,8.688,-19.876,10.218,2024-25
Damian Jones,1627745,6.92,5-10,24,24,-6.782,-1.952,-4.829,-2.148,-1.409,-4.634,-0.543,-4.091,5.429,5.429,7.677,-17.421,3.858,-12.592,8.688,-19.876,10.218,2024-25
AJ Lawson,1630639,11.73,10-15,102,102,-7.578,-2.722,-4.856,-2.203,-1.182,-5.375,-1.539,-3.835,5.184,5.182,7.337,-17.738,2.582,-12.878,7.435,-19.237,9.524,2024-25
Amir Coffey,1629599,22.59,20-25,186,188,-6.278,-1.403,-4.875,-2.154,-2.476,-4.124,1.073,-5.197,4.975,4.971,7.029,-16.028,3.472,-11.146,8.341,-18.652,8.901,2024-25
Bruno Fernando,1628981,13.37,10-15,116,120,-5.442,-0.506,-4.936,-2.203,-1.182,-3.239,0.676,-3.915,5.11,5.101,7.221,-15.458,4.574,-10.504,9.492,-19.09,9.217,2024-25
Andre Jackson Jr.,1641748,12.52,10-15,38,38,-5.353,-0.327,-5.025,-2.203,-1.182,-3.149,0.855,-4.004,5.367,5.366,7.589,-15.871,5.166,-10.844,10.19,-19.9,9.85,2024-25
Bones Hyland,1630538,12.77,10-15,61,60,-6.636,-1.448,-5.188,-2.203,-1.182,-4.433,-0.266,-4.167,5.305,5.307,7.504,-17.034,3.762,-11.85,8.953,-19.895,9.519,2024-25
Tristan Thompson,202684,9.85,5-10,21,23,-6.374,-1.169,-5.205,-2.148,-1.409,-4.226,0.24,-4.466,5.434,5.427,7.68,-17.025,4.278,-11.806,9.468,-20.258,9.849,2024-25
Rayan Rupert,1641712,12.01,10-15,135,133,-5.397,-0.182,-5.215,-2.203,-1.182,-3.194,1.001,-4.194,5.109,5.111,7.23,-15.41,4.617,-10.199,9.836,-19.386,8.956,2024-25
Josh Green,1630182,27.14,25-30,131,134,-7.991,-2.663,-5.328,-1.9,-1.756,-6.092,-0.907,-5.185,5.088,5.079,7.192,-17.964,1.982,-12.618,7.293,-19.425,8.768,2024-25
Oshae Brissett,1629052,12.66,10-15,67,66,-7.738,-2.277,-5.461,-2.203,-1.182,-5.535,-1.094,-4.44,5.268,5.271,7.452,-18.064,2.588,-12.608,8.054,-20.068,9.146,2024-25
Patty Mills,201988,12.07,10-15,24,25,-5.417,0.055,-5.472,-2.203,-1.182,-3.213,1.237,-4.451,5.422,5.418,7.665,-16.044,5.21,-10.564,10.674,-20.496,9.553,2024-25
Dalano Banton,1630625,17.91,15-20,159,159,-9.29,-3.809,-5.481,-2.43,-2.099,-6.86,-1.71,-5.15,5.107,5.107,7.223,-19.299,0.719,-13.819,6.2,-19.637,8.676,2024-25
Jonas Valanciunas,202685,21.16,20-25,146,145,-7.457,-1.78,-5.676,-2.154,-2.476,-5.303,0.696,-5.998,5.056,5.059,7.155,-17.366,2.452,-11.696,8.135,-19.7,8.347,2024-25
