Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi,Season
Luke Kornet,1628436,17.24,15-20,108,107,-1.356,-5.208,3.852,-2.43,-2.099,1.073,-3.109,4.182,5.199,5.202,7.355,-11.546,8.833,-15.404,4.987,-10.564,18.267,2024-25
Michael Porter Jr.,1629008,32.64,30-35,185,182,-0.827,-4.635,3.807,-1.731,-2.124,0.904,-2.511,3.415,5.124,5.128,7.255,-10.87,9.216,-14.686,5.417,-10.412,18.027,2024-25
Shai Gilgeous-Alexander,1628983,34.11,30-35,92,93,-0.571,-4.321,3.75,-1.731,-2.124,1.16,-2.197,3.357,5.207,5.205,7.362,-10.778,9.635,-14.524,5.882,-10.679,18.179,2024-25
Jaylen Brown,1627759,33.84,30-35,65,65,-2.451,-6.128,3.677,-1.731,-2.124,-0.72,-4.004,3.285,5.32,5.319,7.528,-12.879,7.976,-16.553,4.297,-11.078,18.432,2024-25
Julian Champagnie,1630577,21.79,20-25,134,132,-1.967,-5.614,3.647,-2.154,-2.476,0.187,-3.138,3.325,5.139,5.142,7.27,-12.04,8.106,-15.692,4.464,-10.602,17.897,2024-25
Naji Marshall,1630230,23.53,20-25,49,51,-4.202,-7.831,3.628,-2.154,-2.476,-2.048,-5.355,3.306,5.329,5.323,7.535,-14.647,6.243,-18.264,2.602,-11.141,18.398,2024-25
Trey Murphy III,1630530,32.22,30-35,304,301,-1.946,-5.568,3.622,-1.731,-2.124,-0.215,-3.444,3.23,4.86,4.86,6.879,-11.471,7.579,-15.094,3.958,-9.862,17.106,2024-25
Isaiah Joe,1630198,20.06,20-25,51,54,-2.807,-6.32,3.512,-2.154,-2.476,-0.653,-3.844,3.19,5.322,5.313,7.52,-13.238,7.624,-16.733,4.093,-11.226,18.251,2024-25
Gordon Hayward,202330,24.42,20-25,105,101,-3.273,-6.718,3.445,-2.154,-2.476,-1.119,-4.242,3.123,5.171,5.179,7.322,-13.408,6.862,-16.868,3.432,-10.907,17.796,2024-25
Johnny Juzang,1630548,19.54,15-20,84,84,-0.724,-4.097,3.373,-2.43,-2.099,1.705,-1.998,3.703,5.246,5.249,7.421,-11.005,9.557,-14.386,6.191,-11.171,17.918,2024-25
Obi Toppin,1630167,20.34,20-25,63,64,-1.821,-5.184,3.364,-2.154,-2.476,0.333,-2.708,3.041,5.312,5.307,7.507,-12.232,8.591,-15.586,5.217,-11.35,18.077,2024-25
Sidy Cissoko,1631321,7.51,5-10,96,98,-0.234,-3.575,3.342,-2.148,-1.409,1.914,-2.167,4.08,5.179,5.175,7.322,-10.385,9.918,-13.719,6.568,-11.009,17.692,2024-25
Kentavious Caldwell-Pope,203484,30.59,30-35,186,182,-1.349,-4.576,3.226,-1.731,-2.124,0.382,-2.452,2.834,5.126,5.135,7.263,-11.397,8.698,-14.64,5.489,-11.009,17.462,2024-25
Harrison Barnes,203084,28.12,25-30,289,287,-1.738,-4.96,3.222,-1.9,-1.756,0.161,-3.204,3.365,4.983,4.984,7.045,-11.505,8.029,-14.729,4.808,-10.586,17.03,2024-25
Anthony Davis,203076,34.69,30-35,327,329,-0.796,-3.986,3.189,-1.731,-2.124,0.935,-1.862,2.797,4.96,4.959,7.034,-10.517,8.924,-13.705,5.734,-10.598,16.977,2024-25
Grayson Allen,1628960,29.19,25-30,186,188,-1.192,-4.342,3.15,-1.9,-1.756,0.707,-2.586,3.293,5.08,5.082,7.188,-11.149,8.764,-14.304,5.619,-10.939,17.238,2024-25
Kelly Oubre Jr.,1626162,32.29,30-35,254,259,-1.805,-4.92,3.115,-1.731,-2.124,-0.074,-2.797,2.723,4.963,4.959,7.018,-11.532,7.922,-14.64,4.799,-10.641,16.871,2024-25
Delon Wright,1626153,15.82,15-20,232,232,-1.473,-4.587,3.114,-2.43,-2.099,0.957,-2.488,3.444,4.926,4.927,6.962,-11.128,8.183,-14.245,5.071,-10.531,16.759,2024-25
Kyle Lowry,200768,24.73,20-25,231,238,-3.017,-6.058,3.041,-2.154,-2.476,-0.863,-3.583,2.719,4.977,4.971,7.036,-12.772,6.738,-15.802,3.685,-10.75,16.832,2024-25
Wendell Carter Jr.,1628976,25.73,25-30,67,67,-3.229,-6.253,3.024,-1.9,-1.756,-1.33,-4.497,3.167,5.253,5.252,7.427,-13.525,7.066,-16.547,4.041,-11.533,17.581,2024-25
Nikola Jokic,203999,35.62,35-40,222,217,-0.676,-3.526,2.851,-1.326,-1.425,0.65,-2.102,2.752,5.072,5.075,7.183,-10.616,9.265,-13.474,6.421,-11.228,16.929,2024-25
Domantas Sabonis,1627734,35.24,35-40,297,293,-0.926,-3.751,2.825,-1.326,-1.425,0.4,-2.326,2.726,5.004,5.003,7.074,-10.734,8.882,-13.558,6.055,-11.041,16.691,2024-25
Kevin Love,201567,15.07,15-20,131,128,-2.973,-5.704,2.731,-2.43,-2.099,-0.543,-3.604,3.061,5.089,5.101,7.203,-12.947,7.001,-15.701,4.293,-11.386,16.848,2024-25
Tobias Harris,202699,32.68,30-35,266,267,-3.858,-6.508,2.65,-1.731,-2.124,-2.126,-4.384,2.258,4.891,4.889,6.919,-13.444,5.729,-16.09,3.075,-10.912,16.212,2024-25
Kristaps Porzingis,204001,29.29,25-30,63,63,-2.717,-5.325,2.608,-1.9,-1.756,-0.818,-3.569,2.751,5.325,5.324,7.535,-13.154,7.72,-15.76,5.11,-12.16,17.376,2024-25
Ivica Zubac,1627826,29.86,25-30,83,83,-1.828,-4.347,2.519,-1.9,-1.756,0.072,-2.591,2.662,5.261,5.262,7.441,-12.139,8.483,-14.66,5.967,-12.065,17.102,2024-25
Payton Pritchard,1630202,25.29,25-30,201,201,-0.67,-3.167,2.497,-1.9,-1.756,1.23,-1.411,2.64,5.02,5.019,7.108,-10.509,9.169,-13.003,6.669,-11.434,16.428,2024-25
Tyrese Haliburton,1630169,32.91,30-35,133,132,-0.629,-3.11,2.48,-1.731,-2.124,1.102,-0.986,2.088,5.196,5.195,7.343,-10.813,9.554,-13.293,7.073,-11.913,16.873,2024-25
Darius Garland,1629636,31.83,30-35,124,125,-3.938,-6.342,2.404,-1.731,-2.124,-2.207,-4.219,2.012,5.127,5.124,7.25,-13.986,6.11,-16.386,3.701,-11.806,16.615,2024-25
RJ Barrett,1629628,31.96,30-35,68,69,-1.609,-3.983,2.374,-1.731,-2.124,0.122,-1.859,1.981,5.273,5.271,7.457,-11.944,8.726,-14.314,6.349,-12.243,16.99,2024-25
Devin Booker,1626164,36.65,35-40,223,225,-1.345,-3.704,2.359,-1.326,-1.425,-0.019,-2.279,2.26,5.076,5.075,7.178,-11.294,8.603,-13.651,6.243,-11.71,16.427,2024-25
James Harden,201935,34.83,30-35,93,94,-1.316,-3.647,2.331,-1.731,-2.124,0.415,-1.524,1.939,5.242,5.241,7.413,-11.591,8.959,-13.92,6.625,-12.199,16.861,2024-25
Paul George,202331,33.35,30-35,87,86,-1.499,-3.804,2.304,-1.731,-2.124,0.232,-1.68,1.912,5.261,5.261,7.44,-11.811,8.812,-14.114,6.507,-12.278,16.887,2024-25
Clint Capela,203991,23.9,20-25,130,129,-3.088,-5.387,2.298,-2.154,-2.476,-0.934,-2.911,1.976,5.179,5.18,7.327,-13.238,7.062,-15.54,4.767,-12.062,16.659,2024-25
Scotty Pippen Jr.,1630590,22.1,20-25,120,121,-2.42,-4.717,2.297,-2.154,-2.476,-0.266,-2.241,1.975,5.145,5.144,7.278,-12.505,7.665,-14.799,5.365,-11.968,16.561,2024-25
Jrue Holiday,201950,31.75,30-35,61,60,-1.834,-4.09,2.256,-1.731,-2.124,-0.103,-1.966,1.863,5.314,5.317,7.521,-12.25,8.582,-14.511,6.332,-12.486,16.997,2024-25
Jaxson Hayes,1629637,15.63,15-20,62,62,-3.349,-5.43,2.081,-2.43,-2.099,-0.919,-3.33,2.411,5.284,5.284,7.475,-13.706,7.008,-15.786,4.927,-12.571,16.733,2024-25
DeMar DeRozan,201942,36.9,35-40,253,249,-1.987,-4.029,2.042,-1.326,-1.425,-0.661,-2.604,1.943,5.007,5.005,7.074,-11.8,7.827,-13.839,5.782,-11.823,15.907,2024-25
Jalen Wilson,1630592,22.1,20-25,123,127,-4.183,-6.19,2.007,-2.154,-2.476,-2.029,-3.714,1.684,5.16,5.154,7.294,-14.297,5.93,-16.292,3.912,-12.29,16.303,2024-25
Terance Mann,1629611,23.15,20-25,146,147,-4.481,-6.466,1.985,-2.154,-2.476,-2.327,-3.99,1.663,5.086,5.086,7.19,-14.449,5.487,-16.435,3.503,-12.108,16.078,2024-25
Jaden McDaniels,1630183,30.65,30-35,195,195,-2.993,-4.911,1.918,-1.731,-2.124,-1.262,-2.788,1.526,5.082,5.079,7.182,-12.953,6.967,-14.866,5.044,-12.157,15.994,2024-25
Donovan Mitchell,1628378,33.13,30-35,154,154,-3.139,-5.018,1.879,-1.731,-2.124,-1.407,-2.894,1.487,5.145,5.144,7.278,-13.223,6.945,-15.1,5.064,-12.385,16.143,2024-25
Tre Mann,1630544,24.19,20-25,113,111,-0.512,-2.346,1.835,-2.154,-2.476,1.642,0.13,1.513,5.143,5.147,7.274,-10.592,9.569,-12.435,7.742,-12.422,16.092,2024-25
Rudy Gobert,203497,33.66,30-35,217,214,-2.358,-4.145,1.787,-1.731,-2.124,-0.626,-2.021,1.395,5.03,5.029,7.11,-12.216,7.501,-14.002,5.712,-12.149,15.723,2024-25
Cole Anthony,1630175,20.62,20-25,80,79,-3.479,-5.25,1.772,-2.154,-2.476,-1.325,-2.774,1.45,5.227,5.229,7.391,-13.724,6.767,-15.499,4.998,-12.715,16.258,2024-25
Aaron Nesmith,1630174,26.63,25-30,117,114,-2.928,-4.698,1.77,-1.9,-1.756,-1.029,-2.942,1.913,5.194,5.2,7.347,-13.109,7.253,-14.889,5.493,-12.63,16.169,2024-25
Kevin Durant,201142,36.9,35-40,232,232,-1.091,-2.851,1.76,-1.326,-1.425,0.235,-1.426,1.661,5.083,5.084,7.189,-11.055,8.872,-12.815,7.113,-12.332,15.851,2024-25
Andrew Nembhard,1629614,26.9,25-30,125,125,-1.243,-2.952,1.709,-1.9,-1.756,0.657,-1.196,1.852,5.206,5.204,7.358,-11.447,8.962,-13.151,7.248,-12.712,16.13,2024-25
James Johnson,201949,3.99,0-5,14,14,-1.78,-3.477,1.697,-0.862,-1.075,-0.918,-2.402,1.485,5.469,5.469,7.735,-12.499,8.939,-14.196,7.241,-13.463,16.858,2024-25
Taylor Hendricks,1641707,21.65,20-25,128,128,-2.925,-4.597,1.671,-2.154,-2.476,-0.771,-2.121,1.349,5.166,5.168,7.306,-13.051,7.201,-14.726,5.533,-12.649,15.992,2024-25
Luguentz Dort,1629652,28.8,25-30,83,81,-2.127,-3.781,1.654,-1.9,-1.756,-0.228,-2.025,1.797,5.239,5.242,7.41,-12.396,8.141,-14.055,6.494,-12.87,16.178,2024-25
Javon Freeman-Liberty,1631241,18.32,15-20,100,99,-3.188,-4.812,1.624,-2.43,-2.099,-0.759,-2.712,1.954,5.19,5.193,7.344,-13.361,6.984,-14.99,5.366,-12.77,16.017,2024-25
Kendall Brown,1631112,4.17,0-5,20,21,-1.796,-3.387,1.591,-0.862,-1.075,-0.934,-2.312,1.378,5.443,5.44,7.697,-12.465,8.873,-14.048,7.275,-13.496,16.677,2024-25
Kevon Looney,1626172,15.58,15-20,61,62,-2.959,-4.537,1.578,-2.43,-2.099,-0.53,-2.438,1.908,5.275,5.274,7.459,-13.299,7.381,-14.875,5.8,-13.042,16.199,2024-25
Caleb Martin,1628997,27.29,25-30,259,258,-3.251,-4.81,1.559,-1.9,-1.756,-1.351,-3.054,1.702,4.994,4.997,7.056,-13.039,6.537,-14.603,4.984,-12.271,15.389,2024-25
Cameron Payne,1626166,15.96,15-20,78,76,-3.711,-5.251,1.54,-2.43,-2.099,-1.281,-3.152,1.87,5.244,5.252,7.422,-13.99,6.567,-15.544,5.042,-13.007,16.088,2024-25
Christian Braun,1631128,26.9,25-30,132,132,-3.249,-4.749,1.5,-1.9,-1.756,-1.349,-2.993,1.643,5.124,5.129,7.255,-13.292,6.795,-14.802,5.304,-12.72,15.72,2024-25
Kenrich Williams,1629026,15.66,15-20,72,73,-3.471,-4.966,1.494,-2.43,-2.099,-1.042,-2.866,1.825,5.258,5.254,7.444,-13.778,6.835,-15.264,5.332,-13.095,16.084,2024-25
Keyonte George,1641718,29.09,25-30,97,97,-2.921,-4.404,1.484,-1.9,-1.756,-1.021,-2.648,1.627,5.228,5.232,7.396,-13.167,7.326,-14.658,5.85,-13.012,15.979,2024-25
Haywood Highsmith,1629312,22.74,20-25,266,265,-2.751,-4.185,1.434,-2.154,-2.476,-0.597,-1.709,1.112,4.884,4.885,6.9,-12.323,6.821,-13.759,5.389,-12.091,14.958,2024-25
Adama Sanogo,1641766,6.71,5-10,77,76,-2.72,-4.131,1.411,-2.148,-1.409,-0.573,-2.723,2.15,5.277,5.278,7.466,-13.063,7.622,-14.477,6.214,-13.222,16.044,2024-25
Usman Garuba,1630586,2.96,0-5,16,15,-2.403,-3.802,1.399,-0.862,-1.075,-1.54,-2.727,1.187,5.455,5.459,7.717,-13.095,8.29,-14.502,6.898,-13.727,16.526,2024-25
Marcus Sasser,1631204,16.89,15-20,138,135,-5.519,-6.912,1.393,-2.43,-2.099,-3.09,-4.813,1.723,5.135,5.141,7.267,-15.583,4.545,-16.988,3.164,-12.85,15.636,2024-25
Jalen Slawson,1641771,3.08,0-5,8,8,-0.733,-2.119,1.386,-0.862,-1.075,0.13,-1.044,1.174,5.491,5.491,7.766,-11.495,10.03,-12.881,8.643,-13.834,16.607,2024-25
Royce O'Neale,1626220,24.62,20-25,146,143,-2.067,-3.446,1.379,-2.154,-2.476,0.087,-0.97,1.057,5.08,5.083,7.186,-12.024,7.89,-13.409,6.518,-12.706,15.463,2024-25
JT Thor,1630550,12.41,10-15,118,118,-1.017,-2.326,1.309,-2.203,-1.182,1.187,-1.144,2.33,5.162,5.161,7.297,-11.134,9.1,-12.442,7.79,-12.993,15.611,2024-25
Garrison Mathews,1629726,16.12,15-20,123,123,-3.219,-4.517,1.298,-2.43,-2.099,-0.79,-2.418,1.628,5.093,5.094,7.205,-13.201,6.763,-14.501,5.466,-12.824,15.42,2024-25
Jaylin Williams,1631119,14.49,10-15,64,62,-2.063,-3.318,1.255,-2.203,-1.182,0.14,-2.135,2.276,5.277,5.283,7.467,-12.405,8.279,-13.672,7.037,-13.38,15.889,2024-25
Georges Niang,1627777,21.92,20-25,150,153,-3.482,-4.683,1.201,-2.154,-2.476,-1.328,-2.207,0.879,5.061,5.057,7.154,-13.402,6.438,-14.594,5.228,-12.822,15.224,2024-25
Joe Ingles,204060,14.75,10-15,86,86,-1.879,-3.076,1.198,-2.203,-1.182,0.325,-1.894,2.219,5.215,5.213,7.371,-12.1,8.343,-13.294,7.141,-13.249,15.645,2024-25
Pascal Siakam,1627783,32.95,30-35,126,122,-1.194,-2.371,1.177,-1.731,-2.124,0.537,-0.247,0.784,5.216,5.22,7.376,-11.418,9.029,-12.602,7.86,-13.28,15.633,2024-25
Jalen Smith,1630188,16.07,15-20,85,85,-2.056,-3.205,1.149,-2.43,-2.099,0.373,-1.106,1.479,5.255,5.255,7.429,-12.356,8.243,-13.504,7.094,-13.412,15.709,2024-25
Isaac Okoro,1630171,23.71,20-25,149,154,-4.096,-5.232,1.136,-2.154,-2.476,-1.942,-2.756,0.814,5.057,5.051,7.147,-14.009,5.816,-15.132,4.668,-12.873,15.145,2024-25
Dalen Terry,1631207,12.64,10-15,164,166,-3.296,-4.423,1.127,-2.203,-1.182,-1.093,-3.24,2.148,4.978,4.974,7.034,-13.052,6.46,-14.172,5.327,-12.66,14.913,2024-25
Jerome Robinson,1629010,3.67,0-5,12,11,-2.297,-3.378,1.081,-0.862,-1.075,-1.435,-2.304,0.869,5.474,5.478,7.744,-13.026,8.432,-14.116,7.359,-14.098,16.26,2024-25
Javonte Green,1629750,19.33,15-20,202,198,-1.36,-2.436,1.077,-2.43,-2.099,1.07,-0.337,1.407,4.917,4.923,6.954,-10.998,8.278,-12.086,7.213,-12.553,14.707,2024-25
Larry Nance Jr.,1626204,19.76,15-20,159,161,-4.161,-5.149,0.988,-2.43,-2.099,-1.732,-3.05,1.318,5.048,5.047,7.148,-14.055,5.732,-15.041,4.743,-13.022,14.998,2024-25
Malik Beasley,1627736,28.7,25-30,101,100,-2.388,-3.374,0.986,-1.9,-1.756,-0.488,-1.617,1.129,5.2,5.203,7.355,-12.579,7.804,-13.572,6.825,-13.431,15.403,2024-25
Jarrett Allen,1628386,29.8,25-30,199,199,-2.424,-3.358,0.934,-1.9,-1.756,-0.525,-1.602,1.077,5.068,5.069,7.169,-12.358,7.51,-13.293,6.577,-13.118,14.986,2024-25
Jimmy Butler,202710,32.94,30-35,185,183,-3.111,-4.026,0.916,-1.731,-2.124,-1.379,-1.903,0.523,4.987,4.991,7.052,-12.886,6.664,-13.809,5.757,-12.907,14.738,2024-25
Jalen Green,1630224,32.31,30-35,119,118,-4.225,-5.138,0.913,-1.731,-2.124,-2.493,-3.014,0.521,5.188,5.19,7.34,-14.393,5.944,-15.31,5.034,-13.473,15.299,2024-25
Myles Turner,1626167,28.52,25-30,110,108,-1.863,-2.772,0.909,-1.9,-1.756,0.036,-1.016,1.052,5.248,5.252,7.422,-12.15,8.423,-13.066,7.522,-13.639,15.456,2024-25
Luka Doncic,1629029,36.6,35-40,81,82,-2.843,-3.748,0.904,-1.326,-1.425,-1.517,-2.323,0.806,5.291,5.29,7.483,-13.214,7.528,-14.117,6.621,-13.763,15.572,2024-25
Andrew Funk,1641847,2.68,0-5,15,15,-1.296,-2.196,0.901,-0.862,-1.075,-0.433,-1.121,0.688,5.457,5.457,7.718,-11.992,9.4,-12.893,8.5,-14.226,16.027,2024-25
Evan Mobley,1630596,30.57,30-35,186,188,-4.429,-5.325,0.896,-1.731,-2.124,-2.698,-3.202,0.504,5.012,5.01,7.087,-14.252,5.394,-15.145,4.494,-12.994,14.787,2024-25
Austin Reaves,1630559,33.41,30-35,257,260,-2.234,-3.076,0.842,-1.731,-2.124,-0.502,-0.952,0.45,5.01,5.004,7.094,-12.053,7.585,-12.884,6.732,-13.063,14.747,2024-25
Damian Lillard,203081,35.66,35-40,61,59,-2.582,-3.405,0.824,-1.326,-1.425,-1.256,-1.981,0.725,5.311,5.316,7.518,-12.992,7.828,-13.825,7.014,-13.911,15.558,2024-25
Keon Ellis,1631165,21.36,20-25,246,248,-5.413,-6.23,0.817,-2.154,-2.476,-3.259,-3.754,0.495,4.974,4.97,7.033,-15.162,4.336,-15.972,3.512,-12.968,14.603,2024-25
Leaky Black,1641778,10.93,10-15,96,95,-3.38,-4.188,0.808,-2.203,-1.182,-1.177,-3.006,1.829,5.213,5.213,7.371,-13.597,6.837,-14.407,6.03,-13.64,15.256,2024-25
Nate Williams,1631466,6.57,5-10,51,51,-3.682,-4.481,0.799,-2.148,-1.409,-1.534,-3.072,1.537,5.339,5.339,7.551,-14.147,6.783,-14.945,5.984,-14.001,15.598,2024-25
Aaron Holiday,1628988,14.73,10-15,90,89,-2.296,-3.031,0.735,-2.203,-1.182,-0.093,-1.849,1.756,5.197,5.198,7.351,-12.482,7.89,-13.218,7.156,-13.674,15.144,2024-25
Jordan Walsh,1641775,7.98,5-10,79,77,-4.796,-5.521,0.725,-2.148,-1.409,-2.648,-4.112,1.464,5.232,5.238,7.403,-15.051,5.459,-15.787,4.744,-13.786,15.236,2024-25
JD Davison,1631120,5.5,5-10,61,61,-4.454,-5.179,0.725,-2.148,-1.409,-2.306,-3.77,1.464,5.293,5.293,7.486,-14.828,5.92,-15.553,5.195,-13.947,15.397,2024-25
Jules Bernard,1631262,7.86,5-10,53,53,-3.144,-3.859,0.714,-2.148,-1.409,-0.997,-2.45,1.453,5.324,5.325,7.53,-13.579,7.29,-14.295,6.578,-14.045,15.474,2024-25
Nate Hinton,1630207,4.97,0-5,31,34,-1.381,-2.074,0.693,-0.862,-1.075,-0.519,-0.999,0.48,5.392,5.382,7.618,-11.949,9.188,-12.622,8.475,-14.239,15.625,2024-25
Thanasis Antetokounmpo,203648,4.57,0-5,29,29,-1.331,-2.016,0.685,-0.862,-1.075,-0.469,-0.941,0.473,5.41,5.41,7.652,-11.935,9.272,-12.621,8.588,-14.313,15.683,2024-25
Chimezie Metu,1629002,16.84,15-20,144,142,-5.118,-5.779,0.661,-2.43,-2.099,-2.689,-3.68,0.991,5.14,5.144,7.273,-15.192,4.956,-15.862,4.303,-13.594,14.916,2024-25
Chris Livingston,1641753,4.67,0-5,30,29,-1.886,-2.545,0.659,-0.862,-1.075,-1.024,-1.47,0.447,5.401,5.404,7.64,-12.472,8.699,-13.138,8.047,-14.316,15.634,2024-25
Jermaine Samuels Jr.,1631257,4.3,0-5,11,13,-1.104,-1.756,0.652,-0.862,-1.075,-0.242,-0.681,0.44,5.476,5.467,7.738,-11.836,9.629,-12.472,8.959,-14.514,15.818,2024-25
Kelly Olynyk,203482,21.72,20-25,98,97,-4.219,-4.869,0.649,-2.154,-2.476,-2.065,-2.393,0.327,5.255,5.257,7.435,-14.519,6.08,-15.172,5.435,-13.924,15.223,2024-25
Bobby Portis,1626171,24.82,20-25,106,108,-3.923,-4.57,0.648,-2.154,-2.476,-1.769,-2.094,0.326,5.184,5.181,7.331,-14.084,6.238,-14.726,5.585,-13.721,15.017,2024-25
Neemias Queta,1629674,13.29,10-15,82,81,-3.007,-3.65,0.643,-2.203,-1.182,-0.803,-2.467,1.664,5.226,5.228,7.393,-13.249,7.235,-13.897,6.598,-13.848,15.134,2024-25
Gui Santos,1630611,12.07,10-15,51,51,-2.986,-3.613,0.627,-2.203,-1.182,-0.783,-2.431,1.648,5.34,5.34,7.551,-13.453,7.48,-14.08,6.853,-14.173,15.427,2024-25
Dillon Brooks,1628415,31.39,30-35,62,61,-2.88,-3.506,0.626,-1.731,-2.124,-1.149,-1.383,0.234,5.312,5.315,7.517,-13.293,7.532,-13.924,6.911,-14.107,15.358,2024-25
Bojan Bogdanovic,202711,25.93,25-30,120,116,-3.534,-4.146,0.613,-1.9,-1.756,-1.634,-2.39,0.756,5.12,5.129,7.257,-13.57,6.502,-14.199,5.907,-13.612,14.837,2024-25
Ben Sheppard,1641767,17.03,15-20,87,87,-1.183,-1.794,0.611,-2.43,-2.099,1.246,0.305,0.941,5.232,5.231,7.396,-11.437,9.071,-12.046,8.458,-13.885,15.107,2024-25
RaiQuan Gray,1630564,13.01,10-15,46,45,-1.908,-2.472,0.564,-2.203,-1.182,0.295,-1.29,1.585,5.344,5.346,7.561,-12.382,8.565,-12.951,8.007,-14.256,15.383,2024-25
Jayson Tatum,1628369,36.09,35-40,75,74,-1.298,-1.847,0.55,-1.326,-1.425,0.028,-0.423,0.451,5.285,5.287,7.482,-11.656,9.06,-12.21,8.516,-14.115,15.214,2024-25
Justin Champagnie,1630551,20.46,20-25,81,82,-4.116,-4.661,0.545,-2.154,-2.476,-1.962,-2.185,0.223,5.232,5.228,7.395,-14.371,6.139,-14.909,5.587,-13.948,15.038,2024-25
Boban Marjanovic,1626246,5.06,5-10,26,27,-3.63,-4.15,0.52,-2.148,-1.409,-1.482,-2.741,1.259,5.416,5.412,7.657,-14.245,6.985,-14.758,6.458,-14.487,15.527,2024-25
T.J. McConnell,204456,18.04,15-20,77,75,-2.502,-3.017,0.516,-2.43,-2.099,-0.072,-0.918,0.846,5.275,5.281,7.462,-12.84,7.837,-13.369,7.334,-14.11,15.142,2024-25
Zion Williamson,1629627,30.64,30-35,228,228,-3.735,-4.223,0.489,-1.731,-2.124,-2.003,-2.1,0.096,4.98,4.978,7.033,-13.495,6.025,-13.98,5.534,-13.297,14.274,2024-25
Cam Thomas,1630560,31.38,30-35,124,124,-1.71,-2.174,0.464,-1.731,-2.124,0.021,-0.051,0.072,5.156,5.154,7.294,-11.815,8.395,-12.276,7.927,-13.832,14.76,2024-25
Zach Collins,1628380,18.82,15-20,81,80,-5.232,-5.678,0.446,-2.43,-2.099,-2.803,-3.578,0.776,5.211,5.213,7.371,-15.446,4.981,-15.895,4.539,-14.001,14.892,2024-25
Buddy Hield,1627741,24.23,20-25,130,126,-4.558,-5.003,0.445,-2.154,-2.476,-2.404,-2.527,0.123,5.092,5.098,7.208,-14.539,5.423,-14.995,4.99,-13.683,14.572,2024-25
Josh Minott,1631169,4.71,0-5,10,9,-1.124,-1.564,0.44,-0.862,-1.075,-0.262,-0.489,0.228,5.484,5.488,7.759,-11.872,9.624,-12.32,9.192,-14.766,15.647,2024-25
Leonard Miller,1631159,2.8,0-5,10,9,-1.124,-1.564,0.44,-0.862,-1.075,-0.262,-0.489,0.228,5.484,5.488,7.759,-11.872,9.624,-12.32,9.192,-14.766,15.647,2024-25
Jalen Williams,1631114,31.86,30-35,88,85,-2.745,-3.176,0.431,-1.731,-2.124,-1.013,-1.052,0.039,5.224,5.231,7.391,-12.983,7.494,-13.429,7.077,-14.056,14.918,2024-25
Anthony Black,1641710,20.76,20-25,11,11,-5.267,-5.692,0.425,-2.154,-2.476,-3.113,-3.216,0.103,5.479,5.479,7.749,-16.006,5.473,-16.431,5.048,-14.763,15.613,2024-25
GG Jackson II,1641713,21.97,20-25,177,179,-2.486,-2.875,0.389,-2.154,-2.476,-0.333,-0.399,0.067,5.111,5.112,7.241,-12.503,7.53,-12.894,7.143,-13.804,14.582,2024-25
Klay Thompson,202691,28.52,25-30,186,183,-2.093,-2.478,0.385,-1.9,-1.756,-0.194,-0.722,0.529,5.007,5.012,7.089,-11.908,7.721,-12.301,7.345,-13.509,14.28,2024-25
Jaden Ivey,1631093,29.12,25-30,118,116,-3.905,-4.286,0.381,-1.9,-1.756,-2.005,-2.53,0.525,5.173,5.178,7.32,-14.044,6.235,-14.434,5.862,-13.965,14.728,2024-25
Jevon Carter,1628975,12.26,10-15,120,124,-2.421,-2.789,0.368,-2.203,-1.182,-0.218,-1.607,1.389,5.137,5.128,7.26,-12.49,7.648,-12.841,7.262,-13.861,14.598,2024-25
Trendon Watford,1630570,16.53,15-20,147,149,-5.68,-6.035,0.355,-2.43,-2.099,-3.25,-3.935,0.685,5.135,5.132,7.264,-15.745,4.385,-16.093,4.023,-13.883,14.592,2024-25
Caris LeVert,1627747,26.93,25-30,100,98,-5.108,-5.455,0.347,-1.9,-1.756,-3.209,-3.699,0.491,5.189,5.195,7.344,-15.279,5.062,-15.638,4.728,-14.048,14.742,2024-25
Deni Avdija,1630166,30.05,30-35,152,150,-3.129,-3.472,0.343,-1.731,-2.124,-1.398,-1.348,-0.05,5.105,5.108,7.215,-13.136,6.878,-13.482,6.539,-13.799,14.485,2024-25
Mikal Bridges,1628969,35.92,35-40,93,93,-3.971,-4.312,0.341,-1.326,-1.425,-2.645,-2.887,0.243,5.224,5.224,7.391,-14.211,6.269,-14.551,5.926,-14.145,14.827,2024-25
Reggie Bullock Jr.,203493,9.49,5-10,29,28,-3.836,-4.157,0.321,-2.148,-1.409,-1.689,-2.749,1.06,5.397,5.4,7.634,-14.414,6.741,-14.742,6.427,-14.642,15.285,2024-25
Bismack Biyombo,202687,19.4,15-20,40,40,-4.683,-4.916,0.232,-2.43,-2.099,-2.254,-2.816,0.563,5.383,5.383,7.622,-15.234,5.868,-15.467,5.636,-14.707,15.171,2024-25
Chet Holmgren,1631096,28.85,25-30,75,74,-3.274,-3.475,0.2,-1.9,-1.756,-1.375,-1.719,0.344,5.264,5.267,7.446,-13.592,7.043,-13.798,6.848,-14.393,14.794,2024-25
