Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Tim Duncan,1495,40.63,40+,6917,6896,8.471,-4.572,13.043,1.171,-2.071,7.3,-2.5,9.8,2002
Baron Davis,1884,40.48,40+,6991,6981,9.377,-2.368,11.745,1.171,-2.071,8.206,-0.297,8.503,2002
Shaquille O'Neal,406,36.13,35-40,6126,6081,6.958,-3.333,10.291,-0.551,-1.549,7.509,-1.784,9.293,2002
Paul Pierce,1718,40.23,40+,7615,7577,7.585,-2.284,9.869,1.171,-2.071,6.414,-0.212,6.626,2002
Dirk Nowitzki,1717,38.04,35-40,6326,6295,8.678,-0.574,9.251,-0.551,-1.549,9.229,0.975,8.254,2002
Allen Iverson,947,43.74,40+,5385,5390,5.241,-3.927,9.168,1.171,-2.071,4.07,-1.855,5.925,2002
Jason Kidd,467,37.27,35-40,7491,7473,6.726,-2.328,9.054,-0.551,-1.549,7.277,-0.78,8.057,2002
Latrell Sprewell,84,41.08,40+,6232,6222,7.585,-1.026,8.611,1.171,-2.071,6.414,1.045,5.369,2002
Steve Francis,1883,41.06,40+,4257,4264,6.045,-2.357,8.403,1.171,-2.071,4.874,-0.286,5.16,2002
Tracy McGrady,1503,38.27,35-40,5914,5917,6.52,-1.826,8.346,-0.551,-1.549,7.071,-0.277,7.348,2002
Kevin Garnett,708,39.15,35-40,6243,6220,6.075,-2.259,8.335,-0.551,-1.549,6.626,-0.711,7.337,2002
Kobe Bryant,977,38.31,35-40,7475,7471,6.982,-1.321,8.303,-0.551,-1.549,7.533,0.228,7.305,2002
Gary Payton,56,40.21,40+,6527,6515,6.49,-1.443,7.933,1.171,-2.071,5.319,0.629,4.69,2002
Cuttino Mobley,1749,42.11,40+,5673,5684,7.825,0.012,7.813,1.171,-2.071,6.654,2.083,4.571,2002
Rasheed Wallace,739,37.54,35-40,5752,5727,4.672,-2.879,7.551,-0.551,-1.549,5.223,-1.33,6.554,2002
Antoine Walker,952,42.05,40+,7899,7861,5.477,-1.766,7.242,1.171,-2.071,4.305,0.306,4.0,2002
Andrei Kirilenko,1905,26.26,25-30,4343,4332,3.348,-3.891,7.239,-2.308,-1.412,5.657,-2.48,8.136,2002
Elton Brand,1882,37.7,35-40,5632,5616,7.139,-0.026,7.165,-0.551,-1.549,7.69,1.523,6.168,2002
Andre Miller,1889,37.28,35-40,5659,5648,6.965,0.024,6.942,-0.551,-1.549,7.516,1.572,5.944,2002
Eddie Jones,224,38.95,35-40,5708,5689,3.784,-3.155,6.939,-0.551,-1.549,4.335,-1.606,5.941,2002
Devean George,1904,21.49,20-25,4019,4027,3.069,-3.368,6.437,-2.917,-1.601,5.987,-1.767,7.753,2002
Hedo Turkoglu,2045,24.62,20-25,4766,4780,3.12,-3.209,6.328,-2.917,-1.601,6.037,-1.608,7.644,2002
Wally Szczerbiak,1887,38.06,35-40,6150,6156,5.679,-0.611,6.29,-0.551,-1.549,6.23,0.937,5.293,2002
Shane Battier,2203,39.72,35-40,5903,5907,4.206,-1.938,6.144,-0.551,-1.549,4.757,-0.389,5.146,2002
Jason Terry,1891,38.05,35-40,5748,5750,5.827,-0.315,6.142,-0.551,-1.549,6.378,1.233,5.145,2002
Rashard Lewis,1740,36.39,35-40,4965,4950,4.458,-1.638,6.097,-0.551,-1.549,5.009,-0.09,5.099,2002
John Stockton,304,31.34,30-35,5107,5122,3.703,-2.369,6.072,-1.844,-1.462,5.547,-0.908,6.454,2002
Eduardo Najera,2059,21.8,20-25,2878,2888,2.552,-3.512,6.064,-2.917,-1.601,5.469,-1.911,7.38,2002
Shawn Marion,1890,38.36,35-40,5927,5933,4.453,-1.588,6.041,-0.551,-1.549,5.004,-0.039,5.043,2002
Wesley Person,445,35.81,35-40,5261,5252,5.653,-0.335,5.987,-0.551,-1.549,6.204,1.214,4.99,2002
Vince Carter,1713,39.76,35-40,4463,4468,4.346,-1.588,5.935,-0.551,-1.549,4.897,-0.04,4.937,2002
Karl Malone,252,37.97,35-40,6053,6053,5.634,-0.266,5.9,-0.551,-1.549,6.185,1.283,4.902,2002
Doug Christie,57,34.52,30-35,6867,6876,3.148,-2.674,5.822,-1.844,-1.462,4.992,-1.212,6.204,2002
Clifford Robinson,361,35.68,35-40,6135,6154,4.098,-1.508,5.606,-0.551,-1.549,4.649,0.041,4.608,2002
Chris Webber,185,38.38,35-40,5475,5482,3.301,-2.198,5.499,-0.551,-1.549,3.852,-0.65,4.501,2002
Ryan Bowen,1763,22.51,20-25,3181,3196,2.041,-3.434,5.476,-2.917,-1.601,4.959,-1.833,6.792,2002
Jalen Rose,147,38.02,35-40,6034,6027,5.133,-0.3,5.433,-0.551,-1.549,5.684,1.248,4.435,2002
Brent Barry,699,37.51,35-40,5933,5929,5.194,-0.19,5.384,-0.551,-1.549,5.745,1.359,4.387,2002
Dikembe Mutombo,87,36.32,35-40,5694,5667,1.141,-4.056,5.197,-0.551,-1.549,1.692,-2.507,4.199,2002
Sam Cassell,208,35.22,35-40,4940,4933,4.182,-0.972,5.153,-0.551,-1.549,4.733,0.577,4.156,2002
David Robinson,764,29.55,25-30,4412,4421,2.185,-2.772,4.957,-2.308,-1.412,4.494,-1.36,5.854,2002
Damon Stoudamire,757,37.24,35-40,5369,5351,3.647,-1.295,4.941,-0.551,-1.549,4.198,0.254,3.944,2002
Ben Wallace,1112,36.49,35-40,6202,6206,2.92,-1.996,4.916,-0.551,-1.549,3.471,-0.448,3.919,2002
Reggie Miller,397,36.59,35-40,5861,5824,4.758,-0.095,4.853,-0.551,-1.549,5.309,1.453,3.855,2002
Ray Allen,951,36.6,35-40,4707,4683,3.76,-1.073,4.833,-0.551,-1.549,4.311,0.476,3.835,2002
Pau Gasol,2200,36.61,35-40,5733,5738,3.812,-0.998,4.81,-0.551,-1.549,4.363,0.551,3.812,2002
Richard Hamilton,1888,34.92,30-35,4093,4092,3.758,-1.004,4.762,-1.844,-1.462,5.602,0.458,5.144,2002
Steve Nash,959,34.61,30-35,6164,6135,3.389,-1.356,4.745,-1.844,-1.462,5.233,0.105,5.127,2002
Popeye Jones,461,24.28,20-25,3516,3529,3.612,-1.115,4.728,-2.917,-1.601,6.529,0.486,6.044,2002
Terry Porter,345,17.91,15-20,2670,2655,1.863,-2.838,4.701,-2.747,-1.18,4.61,-1.659,6.268,2002
Peja Stojakovic,978,37.3,35-40,5963,5985,4.009,-0.567,4.576,-0.551,-1.549,4.56,0.981,3.579,2002
Rod Strickland,393,30.15,30-35,4157,4140,2.136,-2.296,4.432,-1.844,-1.462,3.98,-0.834,4.814,2002
Derek Fisher,965,28.21,25-30,5060,5037,2.177,-2.231,4.408,-2.308,-1.412,4.486,-0.819,5.305,2002
Anthony Mason,193,38.29,35-40,5893,5868,5.085,0.691,4.395,-0.551,-1.549,5.636,2.239,3.397,2002
Stephon Marbury,950,38.86,35-40,6104,6081,4.395,0.058,4.337,-0.551,-1.549,4.946,1.606,3.34,2002
Jerry Stackhouse,711,35.34,35-40,5785,5771,2.073,-2.251,4.323,-0.551,-1.549,2.624,-0.702,3.326,2002
Mike Bibby,1710,33.22,30-35,6677,6692,1.972,-2.316,4.288,-1.844,-1.462,3.815,-0.855,4.67,2002
Derek Anderson,1507,26.51,25-30,3606,3594,2.118,-2.144,4.262,-2.308,-1.412,4.426,-0.733,5.159,2002
Vlade Divac,124,30.23,30-35,5851,5849,0.343,-3.848,4.19,-1.844,-1.462,2.186,-2.386,4.572,2002
Metta World Peace,1897,29.84,25-30,3434,3440,1.018,-3.17,4.188,-2.308,-1.412,3.326,-1.759,5.085,2002
Malik Rose,990,21.07,20-25,3787,3796,1.214,-2.951,4.164,-2.917,-1.601,4.131,-1.35,5.481,2002
Michael Finley,714,39.93,35-40,6039,6014,3.872,-0.291,4.163,-0.551,-1.549,4.423,1.257,3.165,2002
Michael Jordan,893,34.82,30-35,3837,3821,4.274,0.141,4.133,-1.844,-1.462,6.117,1.602,4.515,2002
Jermaine O'Neal,979,37.61,35-40,5505,5482,1.581,-2.527,4.108,-0.551,-1.549,2.132,-0.978,3.11,2002
Pat Garrity,1727,30.02,30-35,4884,4856,3.693,-0.392,4.086,-1.844,-1.462,5.537,1.07,4.467,2002
Antawn Jamison,1712,36.99,35-40,6070,6050,4.604,0.521,4.083,-0.551,-1.549,5.155,2.07,3.085,2002
Joe Smith,693,26.74,25-30,3709,3715,1.045,-3.034,4.079,-2.308,-1.412,3.353,-1.623,4.976,2002
Antonio Davis,213,38.66,35-40,5872,5879,2.524,-1.485,4.008,-0.551,-1.549,3.075,0.064,3.011,2002
Rick Fox,296,27.93,25-30,5699,5699,2.016,-1.948,3.964,-2.308,-1.412,4.325,-0.536,4.861,2002
