Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Stephen Curry,201939,32.66,30-35,7069,7038,7.669,-3.696,11.365,-1.287,-2.223,8.956,-1.473,10.429,2015
James Harden,201935,36.8,35-40,7337,7334,10.345,-0.911,11.257,-0.402,-1.89,10.747,0.979,9.768,2015
LeBron James,2544,36.14,35-40,6343,6341,6.814,-3.221,10.034,-0.402,-1.89,7.216,-1.331,8.546,2015
Kawhi Leonard,202695,31.76,30-35,4441,4439,4.693,-4.718,9.411,-1.287,-2.223,5.98,-2.495,8.475,2015
Anthony Davis,203076,36.1,35-40,5039,5029,6.01,-3.143,9.153,-0.402,-1.89,6.412,-1.253,7.665,2015
Draymond Green,203110,31.52,30-35,6672,6660,3.609,-5.361,8.97,-1.287,-2.223,4.896,-3.138,8.034,2015
Kyle Korver,2594,32.24,30-35,5815,5741,5.876,-2.922,8.798,-1.287,-2.223,7.163,-0.699,7.862,2015
Khris Middleton,203114,30.1,30-35,5035,5020,4.045,-4.73,8.776,-1.287,-2.223,5.332,-2.507,7.84,2015
Danny Green,201980,28.54,25-30,4812,4825,5.975,-2.628,8.603,-2.065,-2.014,8.04,-0.614,8.653,2015
Russell Westbrook,201566,34.36,30-35,4659,4642,7.833,-0.751,8.585,-1.287,-2.223,9.121,1.472,7.649,2015
Serge Ibaka,201586,33.06,30-35,4134,4146,3.993,-3.836,7.829,-1.287,-2.223,5.28,-1.613,6.893,2015
Chris Paul,101108,34.84,30-35,6537,6529,5.738,-2.078,7.816,-1.287,-2.223,7.025,0.145,6.88,2015
Klay Thompson,202691,31.88,30-35,6519,6521,5.708,-1.989,7.697,-1.287,-2.223,6.995,0.234,6.761,2015
DeAndre Jordan,201599,34.39,30-35,6472,6513,5.686,-1.996,7.682,-1.287,-2.223,6.973,0.226,6.746,2015
Luol Deng,2736,33.62,30-35,4595,4576,6.818,-0.764,7.582,-1.287,-2.223,8.105,1.459,6.646,2015
John Wall,202322,35.91,35-40,6057,6029,4.72,-2.841,7.56,-0.402,-1.89,5.122,-0.95,6.072,2015
Kyrie Irving,202681,36.4,35-40,6146,6134,7.186,-0.297,7.483,-0.402,-1.89,7.588,1.593,5.995,2015
Paul Millsap,200794,32.73,30-35,5812,5766,5.339,-1.983,7.322,-1.287,-2.223,6.627,0.24,6.387,2015
Carmelo Anthony,2546,35.69,35-40,2684,2668,7.196,-0.049,7.244,-0.402,-1.89,7.598,1.842,5.756,2015
Zach Randolph,2216,32.44,30-35,5089,5061,2.964,-4.168,7.132,-1.287,-2.223,4.251,-1.945,6.196,2015
Tony Allen,2754,26.15,25-30,3658,3718,1.674,-5.348,7.022,-2.065,-2.014,3.738,-3.334,7.072,2015
Gordon Hayward,202330,34.44,30-35,4976,4963,4.216,-2.614,6.83,-1.287,-2.223,5.504,-0.391,5.894,2015
