Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Draymond Green,203110,34.67,30-35,7634,7622,6.494,-4.843,11.337,-0.84,-1.909,7.333,-2.934,10.267,2016
LeBron James,2544,35.64,35-40,6795,6764,7.454,-3.678,11.132,-0.015,-1.829,7.469,-1.849,9.318,2016
Kevin Durant,201142,35.8,35-40,6683,6655,6.117,-2.131,8.247,-0.015,-1.829,6.132,-0.302,6.434,2016
Stephen Curry,201939,34.18,30-35,6928,6905,5.844,-2.291,8.135,-0.84,-1.909,6.683,-0.382,7.065,2016
Kyle Lowry,200768,37.03,35-40,6892,6862,6.653,-1.244,7.897,-0.015,-1.829,6.669,0.585,6.084,2016
Chris Paul,101108,32.71,30-35,5077,5064,5.305,-2.47,7.776,-0.84,-1.909,6.145,-0.561,6.706,2016
Kawhi Leonard,202695,33.05,30-35,5320,5299,3.599,-4.16,7.759,-0.84,-1.909,4.438,-2.251,6.689,2016
Russell Westbrook,201566,34.37,30-35,6921,6922,5.659,-1.114,6.772,-0.84,-1.909,6.498,0.795,5.703,2016
Paul George,202331,34.8,30-35,6214,6210,3.361,-2.814,6.174,-0.84,-1.909,4.2,-0.905,5.105,2016
Kyle Korver,2594,30.01,30-35,5488,5407,2.402,-3.325,5.727,-0.84,-1.909,3.242,-1.416,4.658,2016
Khris Middleton,203114,36.1,35-40,5619,5600,3.884,-1.818,5.702,-0.015,-1.829,3.899,0.01,3.889,2016
Kemba Walker,202689,35.62,35-40,6173,6164,4.66,-0.862,5.522,-0.015,-1.829,4.676,0.967,3.709,2016
Kevin Love,201567,31.49,30-35,5800,5790,3.986,-1.384,5.37,-0.84,-1.909,4.825,0.525,4.301,2016
Kentavious Caldwell-Pope,203484,36.69,35-40,5801,5771,3.209,-2.095,5.304,-0.015,-1.829,3.225,-0.266,3.491,2016
