Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Shaquille O'Neal,406,40.07,40+,8021,7991,9.934,-2.365,12.299,1.596,-1.824,8.338,-0.541,8.879,2000
Vince Carter,1713,38.15,35-40,6314,6304,10.194,-1.203,11.397,-0.214,-2.07,10.408,0.867,9.541,2000
Gary Payton,56,41.76,40+,7090,7064,8.444,-2.193,10.637,1.596,-1.824,6.847,-0.369,7.216,2000
Tim Duncan,1495,38.9,35-40,5473,5471,5.177,-4.036,9.214,-0.214,-2.07,5.392,-1.966,7.358,2000
Eddie Jones,224,38.91,35-40,5812,5787,4.165,-4.856,9.021,-0.214,-2.07,4.38,-2.786,7.165,2000
Rodney Rogers,915,27.86,25-30,4955,4947,4.979,-3.761,8.74,-1.475,-1.9,6.454,-1.861,8.315,2000
Rasheed Wallace,739,35.14,35-40,6422,6425,4.719,-3.871,8.59,-0.214,-2.07,4.933,-1.801,6.734,2000
Kevin Garnett,708,40.04,40+,6456,6453,6.775,-1.694,8.468,1.596,-1.824,5.178,0.13,5.048,2000
Reggie Miller,397,36.93,35-40,7535,7523,6.965,-1.205,8.17,-0.214,-2.07,7.179,0.865,6.314,2000
Bryon Russell,935,35.35,35-40,6131,6129,5.965,-2.132,8.098,-0.214,-2.07,6.179,-0.062,6.242,2000
Grant Hill,255,37.5,35-40,5701,5675,6.959,-1.12,8.078,-0.214,-2.07,7.173,0.95,6.223,2000
Jamal Mashburn,469,37.18,35-40,6079,6051,5.292,-2.675,7.967,-0.214,-2.07,5.507,-0.605,6.111,2000
Bo Outlaw,448,28.37,25-30,4623,4656,3.341,-4.606,7.947,-1.475,-1.9,4.816,-2.706,7.522,2000
Allen Iverson,947,40.8,40+,6402,6386,7.718,-0.142,7.861,1.596,-1.824,6.122,1.682,4.44,2000
Paul Pierce,1718,35.41,35-40,5144,5137,4.78,-2.937,7.717,-0.214,-2.07,4.994,-0.867,5.861,2000
Dikembe Mutombo,87,36.41,35-40,5664,5650,5.39,-2.304,7.694,-0.214,-2.07,5.605,-0.233,5.838,2000
Terry Porter,345,23.7,20-25,3219,3209,2.198,-5.33,7.528,-2.475,-2.049,4.673,-3.281,7.955,2000
John Stockton,304,29.67,25-30,5252,5241,3.402,-3.91,7.312,-1.475,-1.9,4.877,-2.011,6.887,2000
P.J. Brown,136,28.82,25-30,4850,4835,4.635,-2.657,7.292,-1.475,-1.9,6.11,-0.757,6.867,2000
Karl Malone,252,35.92,35-40,6295,6277,6.277,-0.971,7.248,-0.214,-2.07,6.492,1.099,5.392,2000
Lamar Odom,1885,36.4,35-40,5485,5480,4.203,-2.965,7.168,-0.214,-2.07,4.417,-0.895,5.312,2000
Kobe Bryant,977,38.23,35-40,6555,6545,4.98,-1.987,6.967,-0.214,-2.07,5.194,0.083,5.111,2000
Malik Sealy,907,29.11,25-30,4794,4793,4.357,-2.501,6.858,-1.475,-1.9,5.832,-0.602,6.434,2000
Stephon Marbury,950,38.93,35-40,5687,5660,5.875,-0.97,6.844,-0.214,-2.07,6.089,1.1,4.989,2000
Anfernee Hardaway,358,37.55,35-40,5157,5152,2.732,-3.982,6.714,-0.214,-2.07,2.946,-1.912,4.859,2000
Michael Finley,714,42.26,40+,6803,6793,6.904,0.359,6.545,1.596,-1.824,5.307,2.183,3.125,2000
Latrell Sprewell,84,39.96,35-40,7353,7342,3.476,-2.981,6.457,-0.214,-2.07,3.691,-0.91,4.601,2000
Terrell Brandon,210,36.5,35-40,5274,5242,3.306,-3.013,6.319,-0.214,-2.07,3.52,-0.943,4.463,2000
Jason Kidd,467,39.03,35-40,5515,5500,4.718,-1.588,6.306,-0.214,-2.07,4.933,0.482,4.451,2000
Ray Allen,951,37.45,35-40,6340,6329,6.092,-0.062,6.155,-0.214,-2.07,6.307,2.008,4.299,2000
Vlade Divac,124,28.99,25-30,5354,5361,2.496,-3.639,6.134,-1.475,-1.9,3.971,-1.739,5.71,2000
Dirk Nowitzki,1717,35.87,35-40,5777,5762,4.445,-1.436,5.881,-0.214,-2.07,4.66,0.634,4.025,2000
Anthony Mason,193,38.25,35-40,6485,6474,4.365,-1.469,5.834,-0.214,-2.07,4.58,0.601,3.978,2000
Nick Van Exel,89,37.32,35-40,5833,5815,5.243,-0.522,5.765,-0.214,-2.07,5.458,1.548,3.91,2000
Lindsey Hunter,283,35.64,35-40,6072,6074,5.208,-0.523,5.731,-0.214,-2.07,5.422,1.547,3.875,2000
David Robinson,764,31.96,30-35,5057,5042,3.233,-2.468,5.701,-1.944,-1.45,5.177,-1.018,6.195,2000
Chris Webber,185,38.4,35-40,6397,6395,4.949,-0.741,5.69,-0.214,-2.07,5.163,1.329,3.834,2000
Steven Smith,120,32.78,30-35,6181,6170,3.673,-1.986,5.659,-1.944,-1.45,5.617,-0.536,6.153,2000
Brad Miller,1802,17.48,15-20,2065,2073,1.603,-3.929,5.532,-2.696,-1.552,4.299,-2.377,6.676,2000
Juwan Howard,436,35.53,35-40,5650,5646,5.422,0.071,5.351,-0.214,-2.07,5.636,2.141,3.495,2000
Derek Fisher,965,23.13,20-25,4158,4163,-0.51,-5.846,5.336,-2.475,-2.049,1.966,-3.797,5.763,2000
