Name,Season,Offensive Prior RAPM,Defensive Prior RAPM,Offensive Raw RAPM,Defensive Raw RAPM,Offensive Final RAPM,Defensive Final RAPM,RAPM
Luka Garza,2023,4.454582759174909,-3.482860872628834,-0.2707838831599236,0.44808648399346,4.183798876014985,-3.034774388635374,7.2185732646503595
Luka Garza,2024,2.9818016238067733,-3.8999907223238153,-0.10840521872997501,0.29258990095254983,2.8733964050767984,-3.6074008213712654,6.480797226448064
Stephen Curry,2021,5.056435119657918,-0.4330181514612006,-0.812395556840608,-0.8866812320990813,4.24403956281731,-1.319699383560282,5.563738946377592
Thon Maker,2021,1.7216647535775984,-3.737723983774997,0.09588336381688754,0.20789974509963519,1.8175481173944859,-3.5298242386753618,5.347372356069847
Damian Lillard,2023,6.098057749210317,-1.4527332548942526,-1.9728191924957343,0.44769667601511715,4.125238556714582,-1.0050365788791356,5.130275135593718
James Harden,2019,8.074891509011422,-0.0464316308732737,-3.2042866469780202,-0.07334437524985907,4.870604862033402,-0.11977600612313277,4.990380868156535
Josh Minott,2024,3.1034038778277333,-2.1732460817200643,-0.0539982294301997,0.2418920971678888,3.0494056483975336,-1.9313539845521754,4.9807596329497095
Kyrie Irving,2020,4.368335525308655,-1.7212548720795748,-0.7986997306328603,0.3148637292227196,3.5696357946757953,-1.4063911428568552,4.976026937532651
Trae Young,2022,5.343166473425089,-1.8276638411969728,-1.7852563783542672,0.5237401392782475,3.557910095070822,-1.3039237019187253,4.861833796989547
Donovan Mitchell,2023,5.016219789502266,-1.183559521630762,-1.8321357386842718,-0.3783093397800381,3.1840840508179937,-1.5618688614108,4.745952912228794
James Harden,2020,6.790611785113401,0.0623100981542377,-2.4924696890875255,-0.4003337563454336,4.298142096025876,-0.3380236581911959,4.636165754217071
Luka Doncic,2024,6.122765463875908,-0.6109565455458803,-2.3291883982538035,-0.1833255465393718,3.793577065622104,-0.7942820920852521,4.587859157707356
Damian Lillard,2020,4.905767283614209,-1.0675125402322845,-1.4039341739486038,0.004985096685421061,3.501833109665606,-1.0625274435468635,4.564360553212469
Trae Young,2020,4.036626631103562,-2.4652472410399544,-0.31801496081241065,1.6455049538290958,3.7186116702911516,-0.8197422872108586,4.53835395750201
Sandro Mamukelashvili,2022,0.4440579517788003,-4.531895956536629,0.34601202198535896,0.9034224233302887,0.7900699737641592,-3.6284735332063405,4.4185435069705
Shawn Long,2017,3.8545163219715306,-1.1358205168102726,-0.21341741738051578,0.38304117635238566,3.641098904591015,-0.752779340457887,4.393878245048902
James Harden,2018,7.4173461028829,0.6346409759135776,-3.3879800792693566,-0.901002943741828,4.029366023613543,-0.2663619678282504,4.295727991441793
Bradley Beal,2021,3.397644171907608,-1.439062295944707,-0.35342212200920015,0.24759860001526773,3.0442220498984076,-1.1914636959294393,4.235685745827847
Stephen Curry,2024,3.831985225935985,-1.5305856474652528,-1.233019684457622,-0.09575046647562306,2.5989655414783632,-1.6263361139408758,4.225301655419239
Trae Young,2023,4.582563277990282,-1.153661483197845,-1.1365971984289764,0.42034575692848336,3.4459660795613054,-0.7333157262693615,4.179281805830667
Donovan Mitchell,2021,4.607272784021431,-0.6456757056582099,-1.8780255900842522,-0.7419997275677304,2.7292471939371787,-1.3876754332259402,4.1169226271631185
Harry Giles III,2024,-0.8153579765592267,-5.212182264683107,0.07424746908670005,0.35491979256814377,-0.7411105074725266,-4.857262472114963,4.116151964642436
Luka Doncic,2023,5.128924052176636,-0.7920396968302024,-1.6543568119261656,0.2633437869197018,3.4745672402504706,-0.5286959099105006,4.003263150160971
Damian Lillard,2021,4.909950779283245,-0.2908855657359339,-1.3203417120029532,-0.064332856701692,3.589609067280292,-0.3552184224376259,3.944827489717918
Jalen Brunson,2024,4.672572671103969,-0.5142673193899823,-1.9731498946517687,-0.7283657206262669,2.6994227764521996,-1.242633040016249,3.9420558164684487
Luka Garza,2022,1.862003165843316,-2.644399493140157,0.03010584591948449,0.6142956621979733,1.8921090117628006,-2.030103830942184,3.9222128427049845
Trae Young,2021,4.761483668676941,-0.5818619478432252,-1.422669275488603,0.031440018158011514,3.3388143931883376,-0.5504219296852136,3.8892363228735514
Russell Westbrook,2017,5.338987203063084,0.3666847857615387,-1.5081391101113606,-0.39811287754449076,3.8308480929517232,-0.03142809178295208,3.862276184734675
Anfernee Simons,2024,1.1733242244266584,-3.956177543825184,0.362418597378449,1.6403335658803002,1.5357428218051075,-2.3158439779448834,3.851586799749991
Shai Gilgeous-Alexander,2021,2.149504462784612,-2.2945634253932337,0.6484914882140339,1.2594960441715992,2.797995950998646,-1.0350673812216344,3.8330633322202803
Chris McCullough,2017,5.368442918453335,1.3842539266144185,-0.07129364001722123,0.09120621478401635,5.297149278436113,1.4754601413984347,3.8216891370376787
Tyrese Haliburton,2024,4.754647023734836,-0.7380982262923146,-1.7222509618260742,-0.035778498731118984,3.0323960619087615,-0.7738767250234335,3.806272786932195
Luka Doncic,2021,4.398388650257668,-0.4471502804763529,-1.3295889901593008,-0.24852908025557638,3.0687996600983674,-0.6956793607319293,3.7644790208302967
Shai Gilgeous-Alexander,2024,5.4333686664365946,0.8922536704596187,-2.219139277304838,-1.4394055758133881,3.2142293891317566,-0.5471519053537695,3.761381294485526
Zach LaVine,2021,2.828980748492933,-1.3479541300442466,-0.0615286561488509,0.4005139740008114,2.767452092344082,-0.9474401560434351,3.7148922483875175
Nikola Jokic,2021,5.611751441502133,0.4645371979328736,-1.9834278887005543,-0.5441797226718557,3.6283235528015783,-0.07964252473898203,3.7079660775405605
Bradley Beal,2020,3.5610292415977005,-1.9752184980570568,-0.5790924679442608,1.2671493437671573,2.9819367736534397,-0.7080691542898996,3.6900059279433393
D'Angelo Russell,2020,2.006266297071208,-2.225456927761976,0.16473863973947164,0.7133023685718494,2.1710049368106796,-1.5121545591901266,3.6831594960008065
Stephen Curry,2023,4.440471213584052,-0.196788102714664,-1.5217377229171436,-0.5444607779104287,2.9187334906669085,-0.7412488806250926,3.659982371292001
Stephen Curry,2018,6.148589762770408,0.8308024350826493,-2.6474147998944155,-0.9851762184119967,3.5011749628759925,-0.15437378332934737,3.6555487462053398
J.J. Barea,2020,2.73146879081206,-1.7280634378025388,-0.42953328717058614,0.3839751371820172,2.3019355036414737,-1.3440883006205215,3.6460238042619952
Boban Marjanovic,2023,5.116684257908552,1.2540997061589767,-0.09828321155225199,0.12346154270848557,5.0184010463563,1.3775612488674622,3.640839797488838
Johnathan Motley,2019,0.4135371912976164,-3.2634174145586803,0.22296932171002737,0.26662633888400644,0.6365065130076437,-2.9967910756746736,3.6332975886823173
Desmond Bane,2024,1.1542069621544446,-1.8008847100702674,0.9345615116028315,0.28469405662707814,2.088768473757276,-1.5161906534431893,3.6049591272004653
Kyrie Irving,2023,4.082654661348079,-0.5420267216665069,-1.288641492392399,-0.2560934472431857,2.79401316895568,-0.7981201689096926,3.5921333378653726
Tony Bradley,2019,-2.444647973956965,-6.104379316537861,0.07991093854830193,0.15850687341775782,-2.364737035408663,-5.945872443120103,3.58113540771144
Kyrie Irving,2018,4.089207224896455,-0.6924382853425555,-1.5774326245816788,-0.35311639729919897,2.5117746003147765,-1.0455546826417543,3.557329282956531
Donovan Mitchell,2022,4.556233985193518,-0.5131609349168382,-2.011805760544431,-0.4924038000140331,2.544428224649087,-1.0055647349308714,3.549992959579958
Mark Williams,2024,2.126199447350883,-1.550223272218493,0.10475602596544431,0.2519284342669819,2.2309554733163273,-1.2982948379515111,3.5292503112678384
Isaiah Thomas,2017,4.8334040999458106,-0.4894848306919215,-2.1112269178000354,-0.29598537057368474,2.722177182145775,-0.7854702012656063,3.5076473834113813
Tyrese Haliburton,2023,3.761159354060826,-0.516345830299084,-0.7053000795656972,0.0811607234842395,3.0558592744951287,-0.43518510681484446,3.4910443813099734
