Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Tim Duncan,1495,38.71,35-40,6918,6911,6.392,-4.815,11.208,-0.262,-2.365,6.654,-2.451,9.105,2001
Shaquille O'Neal,406,39.48,35-40,6847,6819,9.302,-1.136,10.438,-0.262,-2.365,9.563,1.229,8.335,2001
Ray Allen,951,38.18,35-40,7502,7489,8.828,-1.55,10.378,-0.262,-2.365,9.089,0.815,8.275,2001
Shawn Marion,1890,36.19,35-40,5815,5801,4.681,-4.932,9.613,-0.262,-2.365,4.943,-2.567,7.51,2001
Dirk Nowitzki,1717,38.08,35-40,6785,6758,5.648,-3.861,9.509,-0.262,-2.365,5.909,-1.496,7.406,2001
Steve Francis,1883,39.92,35-40,6031,6057,7.569,-1.132,8.701,-0.262,-2.365,7.831,1.233,6.598,2001
John Stockton,304,29.21,25-30,4859,4843,5.651,-3.017,8.668,-2.132,-1.663,7.782,-1.354,9.136,2001
Vince Carter,1713,39.73,35-40,6615,6605,6.942,-1.719,8.661,-0.262,-2.365,7.203,0.646,6.558,2001
Kobe Bryant,977,41.04,40+,6686,6646,5.982,-2.454,8.436,-1.106,-1.813,7.088,-0.641,7.729,2001
Derek Fisher,965,35.53,35-40,2475,2466,2.499,-5.656,8.155,-0.262,-2.365,2.761,-3.291,6.052,2001
Rasheed Wallace,739,38.23,35-40,5726,5703,4.188,-3.84,8.028,-0.262,-2.365,4.45,-1.475,5.925,2001
Andre Miller,1889,34.71,30-35,5389,5371,6.119,-1.73,7.849,-1.702,-1.902,7.821,0.172,7.649,2001
Cuttino Mobley,1749,38.05,35-40,5662,5650,6.567,-1.225,7.792,-0.262,-2.365,6.829,1.14,5.689,2001
Karl Malone,252,35.69,35-40,5828,5806,6.569,-1.053,7.623,-0.262,-2.365,6.831,1.311,5.52,2001
Baron Davis,1884,38.89,35-40,6682,6674,4.396,-3.077,7.473,-0.262,-2.365,4.657,-0.712,5.369,2001
Kevin Garnett,708,39.54,35-40,6408,6382,4.99,-2.469,7.459,-0.262,-2.365,5.252,-0.104,5.356,2001
Peja Stojakovic,978,38.74,35-40,6291,6288,5.68,-1.749,7.43,-0.262,-2.365,5.942,0.615,5.326,2001
Derek Anderson,1507,34.87,30-35,5770,5740,4.394,-2.8,7.195,-1.702,-1.902,6.096,-0.898,6.994,2001
