Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Montrezl Harrell,1626149,34,33,0.004,-0.52,0.524,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.892,2.675,-3.703,3.711,-4.227,3.187,-4.719,5.767
Jalen Williams,1631114,213,212,0.49,-0.034,0.524,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.856,1.857,2.625,-3.149,4.128,-3.673,3.605,-4.622,5.67
Danny Green,201980,614,609,-0.067,-0.586,0.519,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.798,1.798,2.543,-3.59,3.457,-4.11,2.938,-4.465,5.504
Jordan Walsh,1641775,58,57,0.115,-0.403,0.518,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.886,1.886,2.668,-3.582,3.812,-4.101,3.294,-4.711,5.747
Luka Doncic,1629029,937,942,0.463,-0.053,0.516,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.766,1.766,2.498,-2.999,3.925,-3.513,3.408,-4.381,5.413
Ja Morant,1629630,962,980,0.445,-0.069,0.514,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.765,1.764,2.497,-3.015,3.905,-3.526,3.389,-4.38,5.407
Ricky Rubio,201937,34,35,-0.604,-1.114,0.51,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.675,-4.31,3.103,-4.82,2.593,-4.732,5.752
Malcolm Brogdon,1627763,859,847,0.949,0.445,0.505,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.758,1.759,2.484,-2.496,4.394,-3.003,3.892,-4.364,5.373
George Hill,201588,153,152,-0.584,-1.083,0.499,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.867,1.867,2.64,-4.242,3.075,-4.742,2.576,-4.675,5.674
Dean Wade,1629731,17,18,-0.701,-1.199,0.498,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.895,1.895,2.68,-4.416,3.013,-4.914,2.515,-4.755,5.751
Jakob Poeltl,1627751,136,134,0.175,-0.317,0.492,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.87,1.871,2.645,-3.491,3.84,-3.984,3.349,-4.693,5.676
Quentin Grimes,1629656,459,462,-0.527,-1.014,0.487,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.818,1.817,2.57,-4.09,3.037,-4.576,2.548,-4.55,5.525
Tristan Vukcevic,1641774,52,51,-0.018,-0.502,0.484,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.888,1.888,2.67,-3.718,3.682,-4.203,3.198,-4.748,5.717
Boban Marjanovic,1626246,25,25,-0.049,-0.532,0.484,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.893,1.893,2.678,-3.76,3.663,-4.243,3.179,-4.765,5.732
Gui Santos,1630611,47,47,0.37,-0.107,0.477,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.889,1.889,2.671,-3.332,4.072,-3.809,3.595,-4.758,5.712
Victor Wembanyama,1641705,77,79,-0.243,-0.709,0.465,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.882,1.882,2.662,-3.933,3.446,-4.398,2.98,-4.752,5.683
Leaky Black,1641778,65,64,0.153,-0.296,0.449,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.885,1.885,2.666,-3.541,3.847,-3.991,3.399,-4.776,5.674
Robert Covington,203496,128,130,-0.32,-0.766,0.446,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.872,1.871,2.646,-3.988,3.348,-4.433,2.901,-4.741,5.633
Nate Williams,1631466,50,49,0.12,-0.322,0.443,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.888,1.888,2.67,-3.58,3.821,-4.023,3.379,-4.791,5.677
Pascal Siakam,1627783,609,605,1.275,0.832,0.442,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.801,1.801,2.547,-2.255,4.804,-2.698,4.363,-4.55,5.435
Taj Gibson,201959,36,35,-0.179,-0.62,0.441,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.674,-3.886,3.527,-4.327,3.086,-4.801,5.682
Ben Sheppard,1641767,69,68,0.681,0.266,0.415,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.884,1.884,2.664,-3.011,4.373,-3.427,3.959,-4.807,5.637
Jalen McDaniels,1629667,204,203,0.062,-0.352,0.414,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.856,1.856,2.625,-3.576,3.699,-3.991,3.286,-4.731,5.559
Wendell Carter Jr.,1628976,55,56,-0.398,-0.803,0.404,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.887,1.886,2.668,-4.096,3.3,-4.5,2.895,-4.825,5.634
Isaiah Thomas,202738,11,12,0.033,-0.363,0.397,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.897,1.896,2.682,-3.684,3.751,-4.08,3.353,-4.86,5.653
Frank Ntilikina,1628373,143,142,-0.525,-0.917,0.393,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.868,1.868,2.642,-4.186,3.137,-4.579,2.744,-4.786,5.571
Jaylin Williams,1631119,150,152,0.368,-0.025,0.393,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.868,1.868,2.641,-3.293,4.029,-3.685,3.636,-4.784,5.57
Bismack Biyombo,202687,248,251,0.083,-0.305,0.388,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.848,1.847,2.612,-3.538,3.704,-3.925,3.316,-4.733,5.508
Cason Wallace,1641717,49,49,0.127,-0.237,0.364,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.888,1.888,2.67,-3.574,3.827,-3.938,3.464,-4.87,5.597
Alec Burks,202692,22,23,0.304,-0.054,0.357,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.894,1.894,2.678,-3.408,4.016,-3.765,3.658,-4.892,5.607
Kelly Oubre Jr.,1626162,263,266,0.176,-0.161,0.337,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.847,1.846,2.611,-3.444,3.796,-3.781,3.458,-4.781,5.456
Dalen Terry,1631207,150,150,0.369,0.048,0.32,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.867,1.867,2.64,-3.29,4.028,-3.611,3.708,-4.855,5.495
Devonte' Graham,1628984,208,208,0.383,0.071,0.312,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.855,1.855,2.624,-3.253,4.019,-3.566,3.707,-4.83,5.455
Lester Quinones,1631311,36,36,-0.014,-0.312,0.298,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.674,-3.72,3.693,-4.018,3.394,-4.944,5.54
Jaden Springer,1630531,50,48,0.206,-0.082,0.288,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.888,1.888,2.67,-3.494,3.907,-3.783,3.619,-4.945,5.522
Adama Sanogo,1641766,77,76,0.265,-0.011,0.276,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.883,1.883,2.663,-3.425,3.955,-3.701,3.68,-4.943,5.495
RaiQuan Gray,1630564,18,17,0.155,-0.116,0.271,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.895,1.895,2.68,-3.559,3.869,-3.831,3.598,-4.981,5.524
Gordon Hayward,202330,64,61,0.015,-0.241,0.256,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.885,1.886,2.666,-3.68,3.709,-3.937,3.455,-4.97,5.482
Brandon Clarke,1629634,583,589,-0.635,-0.891,0.256,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.801,1.8,2.547,-4.165,2.895,-4.42,2.637,-4.735,5.248
Julian Champagnie,1630577,107,105,0.33,0.076,0.254,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.876,1.877,2.654,-3.348,4.008,-3.603,3.754,-4.947,5.456
Paul Reed,1630194,561,567,0.231,-0.02,0.251,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.795,1.794,2.538,-3.288,3.749,-3.537,3.497,-4.724,5.226
Dyson Daniels,1630700,96,101,0.044,-0.204,0.248,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.878,1.877,2.655,-3.637,3.725,-3.883,3.475,-4.956,5.452
Terence Davis,1629056,108,110,0.598,0.351,0.247,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.876,1.875,2.652,-3.078,4.275,-3.325,4.027,-4.951,5.446
Neemias Queta,1629674,37,33,0.235,-0.012,0.247,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.892,2.674,-3.471,3.941,-3.72,3.695,-4.994,5.489
Brandin Podziemski,1641764,131,131,0.311,0.084,0.227,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.87,1.87,2.645,-3.355,3.977,-3.582,3.75,-4.957,5.411
Klay Thompson,202691,2584,2568,0.314,0.094,0.22,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.653,1.653,2.339,-2.926,3.554,-3.146,3.334,-4.365,4.804
Danuel House Jr.,1627863,226,225,-0.055,-0.274,0.219,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.853,1.853,2.621,-3.687,3.577,-3.907,3.358,-4.917,5.356
Craig Porter Jr.,1641854,21,20,0.297,0.078,0.219,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.894,1.895,2.679,-3.416,4.01,-3.635,3.792,-5.032,5.47
Alex Caruso,1627936,500,504,-1.05,-1.267,0.218,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.814,1.814,2.566,-4.606,2.507,-4.822,2.287,-4.811,5.247
Moritz Wagner,1629021,74,76,-0.103,-0.314,0.211,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.883,1.882,2.662,-3.793,3.587,-4.003,3.375,-5.006,5.429
AJ Griffin,1631100,51,52,0.145,-0.063,0.209,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.888,1.887,2.669,-3.554,3.845,-3.763,3.636,-5.023,5.441
Dewayne Dedmon,203473,226,224,-0.582,-0.788,0.206,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.853,1.853,2.621,-4.214,3.049,-4.42,2.844,-4.93,5.343
Nathan Knight,1630233,1,1,-0.013,-0.217,0.205,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.899,1.899,2.685,-3.734,3.709,-3.939,3.504,-5.059,5.468
Josh Hart,1628404,865,860,0.077,-0.123,0.2,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.768,1.768,2.499,-3.387,3.541,-3.588,3.342,-4.699,5.099
Jalen Smith,1630188,67,66,0.582,0.387,0.195,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.884,1.885,2.665,-3.111,4.276,-3.307,4.081,-5.028,5.419
Goran Dragic,201609,180,176,0.422,0.242,0.18,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.862,1.863,2.634,-3.227,4.072,-3.409,3.893,-4.982,5.342
Nate Hinton,1630207,30,32,0.021,-0.158,0.179,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.892,1.892,2.676,-3.688,3.73,-3.866,3.55,-5.066,5.423
Henri Drell,1630929,52,52,0.26,0.081,0.179,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,2.175,2.175,3.076,-4.004,4.524,-4.182,4.345,-5.851,6.208
Nik Stauskas,203917,3,2,0.051,-0.119,0.17,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.898,1.899,2.685,-3.669,3.772,-3.84,3.603,-5.092,5.432
Grayson Allen,1628960,993,980,0.065,-0.105,0.17,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.741,1.742,2.464,-3.348,3.477,-3.52,3.31,-4.661,5.0
Clint Capela,203991,535,538,0.493,0.325,0.168,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.811,1.81,2.56,-3.056,4.042,-3.223,3.873,-4.851,5.186
Sasha Vezenkov,1628426,19,18,0.094,-0.07,0.164,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.895,1.895,2.68,-3.62,3.807,-3.784,3.644,-5.088,5.416
Omer Yurtseven,1630209,88,90,0.322,0.159,0.163,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.88,1.88,2.659,-3.363,4.007,-3.526,3.843,-5.048,5.374
Sam Merrill,1630241,10,10,-0.104,-0.266,0.162,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.897,1.897,2.682,-3.821,3.614,-3.983,3.452,-5.096,5.42
Davion Mitchell,1630558,411,413,-0.729,-0.881,0.151,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.823,1.822,2.577,-4.302,2.843,-4.453,2.691,-4.9,5.203
Evan Mobley,1630596,647,644,-1.349,-1.494,0.144,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.796,1.796,2.54,-4.869,2.17,-5.014,2.026,-4.833,5.122
Day'Ron Sharpe,1630549,26,23,0.302,0.163,0.139,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.893,1.894,2.678,-3.409,4.012,-3.549,3.875,-5.109,5.387
Nikola Jovic,1631107,201,199,-0.224,-0.364,0.139,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.859,1.859,2.629,-3.868,3.419,-4.007,3.28,-5.013,5.291
Kenneth Lofton Jr.,1631254,102,102,0.276,0.144,0.131,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.877,1.877,2.655,-3.403,3.955,-3.535,3.823,-5.071,5.334
Jordan Poole,1629673,1642,1622,-0.277,-0.407,0.13,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.673,1.674,2.367,-3.556,3.001,-3.689,2.874,-4.509,4.77
Deni Avdija,1630166,139,139,0.071,-0.058,0.129,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.871,1.871,2.645,-3.596,3.737,-3.724,3.609,-5.056,5.314
Cole Anthony,1630175,68,67,0.071,-0.058,0.128,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.884,1.884,2.664,-3.622,3.763,-3.751,3.635,-5.094,5.35
Kevin Huerter,1628989,746,752,-0.222,-0.346,0.124,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.77,1.769,2.502,-3.691,3.248,-3.814,3.122,-4.779,5.028
Andrew Nembhard,1629614,116,116,0.4,0.278,0.122,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.875,1.875,2.652,-3.275,4.075,-3.397,3.953,-5.076,5.319
Bones Hyland,1630538,365,368,0.441,0.322,0.118,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.827,1.826,2.583,-3.139,4.021,-3.257,3.902,-4.944,5.181
LaMelo Ball,1630163,54,53,0.484,0.367,0.116,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.887,1.887,2.669,-3.215,4.182,-3.332,4.066,-5.115,5.348
DeMar DeRozan,201942,716,721,-0.034,-0.149,0.115,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.791,1.79,2.533,-3.543,3.476,-3.657,3.359,-4.849,5.079
Rui Hachimura,1629060,896,896,0.328,0.216,0.112,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.762,1.762,2.491,-3.126,3.782,-3.237,3.669,-4.771,4.995
Jalen Wilson,1630592,98,104,0.082,-0.029,0.111,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.878,1.877,2.655,-3.599,3.763,-3.708,3.65,-5.093,5.316
Jared Rhoden,1631197,73,72,-0.185,-0.284,0.099,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.883,1.883,2.663,-3.876,3.506,-3.975,3.407,-5.12,5.319
Jason Preston,1630554,38,37,0.197,0.099,0.098,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.674,-3.508,3.903,-3.607,3.805,-5.142,5.339
Dāvis Bertāns,202722,325,324,-0.114,-0.208,0.094,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.834,1.834,2.594,-3.708,3.481,-3.802,3.387,-4.99,5.178
Lindy Waters III,1630322,31,30,-0.004,-0.091,0.087,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.892,1.892,2.676,-3.712,3.705,-3.8,3.618,-5.157,5.332
OG Anunoby,1628384,609,606,-0.064,-0.149,0.084,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.797,1.797,2.542,-3.586,3.457,-3.671,3.374,-4.897,5.065
Aaron Nesmith,1630174,128,125,0.326,0.251,0.075,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.872,1.873,2.648,-3.343,3.995,-3.419,3.921,-5.115,5.264
Monte Morris,1628420,319,315,0.645,0.572,0.073,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.841,1.842,2.604,-2.964,4.254,-3.038,4.182,-5.031,5.178
Chimezie Metu,1629002,102,102,-0.474,-0.545,0.07,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.877,1.877,2.655,-4.154,3.205,-4.225,3.135,-5.134,5.274
JT Thor,1630550,102,104,-0.097,-0.166,0.069,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.877,1.877,2.655,-3.777,3.582,-3.845,3.513,-5.134,5.272
Nemanja Bjelica,202357,174,177,-0.18,-0.246,0.066,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.862,1.861,2.632,-3.829,3.469,-3.893,3.402,-5.093,5.225
Andrew Funk,1641847,15,15,0.093,0.03,0.063,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,2.188,2.188,3.094,-4.195,4.381,-4.258,4.317,-6.0,6.127
Jerome Robinson,1629010,12,11,-0.091,-0.151,0.06,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.896,1.897,2.682,-3.808,3.626,-3.868,3.567,-5.197,5.316
Caris LeVert,1627747,536,538,-0.526,-0.585,0.059,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.808,1.808,2.557,-4.07,3.018,-4.128,2.958,-4.952,5.07
Wenyen Gabriel,1629117,40,39,-0.213,-0.266,0.052,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.89,1.89,2.673,-3.918,3.491,-3.97,3.439,-5.187,5.291
Jermaine Samuels Jr.,1631257,10,11,0.03,-0.016,0.046,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.897,1.897,2.682,-3.687,3.748,-3.733,3.702,-5.212,5.303
Anthony Lamb,1630237,11,9,-0.109,-0.154,0.045,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.897,1.897,2.682,-3.826,3.608,-3.872,3.564,-5.213,5.302
1630492,1630492,1,2,0.03,-0.007,0.037,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,2.193,2.192,3.1,-4.268,4.327,-4.303,4.29,-6.04,6.113
Furkan Korkmaz,1627788,75,80,-0.344,-0.374,0.03,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.882,1.881,2.661,-4.033,3.346,-4.061,3.313,-5.185,5.246
Johnny Juzang,1630548,84,84,0.157,0.128,0.029,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.881,1.881,2.66,-3.53,3.843,-3.559,3.815,-5.185,5.243
Fred VanVleet,1627832,300,302,0.378,0.353,0.025,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.843,1.842,2.606,-3.234,3.989,-3.258,3.964,-5.082,5.132
Pat Spencer,1630311,33,32,-0.076,-0.094,0.018,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.892,1.892,2.675,-3.784,3.632,-3.802,3.614,-5.226,5.262
Dereck Lively II,1641726,26,28,0.304,0.289,0.015,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.893,1.893,2.677,-3.407,4.015,-3.421,3.999,-5.232,5.262
Jordan Clarkson,203903,292,291,0.563,0.55,0.014,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.845,1.845,2.609,-3.053,4.179,-3.066,4.166,-5.1,5.127
Georges Niang,1627777,737,749,-0.231,-0.242,0.011,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.765,1.763,2.495,-3.69,3.228,-3.698,3.214,-4.879,4.901
T.J. McConnell,204456,65,63,0.098,0.088,0.01,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.885,1.885,2.666,-3.596,3.792,-3.607,3.783,-5.215,5.235
Mike Conley,201144,877,869,-0.409,-0.415,0.006,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.765,1.766,2.497,-3.87,3.051,-3.876,3.046,-4.889,4.9
Greg Monroe,202328,14,15,-0.004,-0.007,0.003,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.896,1.896,2.681,-3.72,3.712,-3.722,3.709,-5.252,5.258
Shaquille Harrison,1627885,1,2,-0.083,-0.085,0.002,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.899,1.899,2.685,-3.805,3.638,-3.807,3.636,-5.261,5.265
Malik Fitts,1630238,1,1,0.014,0.012,0.002,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.899,1.899,2.685,-3.708,3.735,-3.71,3.734,-5.261,5.265
Ish Wainright,1630688,25,27,-0.333,-0.335,0.002,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.893,1.893,2.677,-4.044,3.378,-4.045,3.375,-5.245,5.249
Zach LaVine,203897,437,442,-0.61,-0.61,0.0,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.825,1.824,2.58,-4.186,2.966,-4.185,2.964,-5.057,5.057
Kevin Love,201567,893,889,-0.123,-0.122,-0.001,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.75,1.751,2.475,-3.554,3.308,-3.554,3.31,-4.852,4.85
JD Davison,1631120,28,26,-0.128,-0.114,-0.015,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.893,1.893,2.677,-3.838,3.581,-3.824,3.597,-5.262,5.232
Naz Reid,1629675,267,264,-0.869,-0.846,-0.023,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.844,1.844,2.608,-4.483,2.745,-4.461,2.769,-5.134,5.088
Trey Burke,203504,15,18,-0.002,0.025,-0.027,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.896,1.895,2.68,-3.717,3.714,-3.689,3.739,-5.28,5.226
Kyle Anderson,203937,727,735,-0.544,-0.515,-0.029,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.768,1.767,2.495,-4.009,2.92,-3.978,2.947,-4.919,4.861
Rayjon Tucker,1629730,1,2,0.064,0.095,-0.031,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.899,1.899,2.685,-3.658,3.786,-3.626,3.816,-5.294,5.232
Goga Bitadze,1629048,31,30,0.169,0.203,-0.034,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.892,1.892,2.676,-3.539,3.877,-3.506,3.912,-5.279,5.211
Dwight Powell,203939,480,484,-0.061,-0.024,-0.037,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.812,1.812,2.563,-3.613,3.491,-3.575,3.527,-5.06,4.986
Jericho Sims,1630579,42,44,-0.102,-0.062,-0.039,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.89,1.889,2.672,-3.806,3.603,-3.766,3.641,-5.277,5.199
Moses Moody,1630541,423,441,0.159,0.2,-0.042,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.814,1.811,2.563,-3.397,3.714,-3.349,3.75,-5.065,4.982
Christian Braun,1631128,517,513,-1.161,-1.118,-0.043,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.803,1.804,2.55,-4.694,2.373,-4.653,2.417,-5.041,4.955
David Duke Jr.,1630561,37,34,-0.232,-0.188,-0.044,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.891,1.891,2.674,-3.937,3.474,-3.895,3.519,-5.285,5.198
Juwan Morgan,1629752,1,0,0.025,0.07,-0.045,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.899,1.899,2.686,-3.697,3.747,-3.652,3.792,-5.309,5.219
Eric Paschall,1629672,33,33,0.089,0.143,-0.054,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.892,1.892,2.675,-3.619,3.796,-3.564,3.851,-5.298,5.189
Andre Iguodala,2738,109,108,-0.079,-0.023,-0.056,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.875,1.876,2.652,-3.755,3.597,-3.699,3.653,-5.254,5.143
Patty Mills,201988,190,186,0.124,0.18,-0.056,2022-23-24,playoff,dummy,3000.0,3000.0,9486.83298050514,17782.794100389234,1.86,1.861,2.631,-3.521,3.77,-3.467,3.827,-5.213,5.101
