Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
LeBron James,2544,39.02,35-40,6531,6522,7.415,-2.058,9.473,-0.654,-1.384,8.069,-0.674,8.742,2010
Dwyane Wade,2548,36.27,35-40,5695,5690,7.407,-1.33,8.737,-0.654,-1.384,8.061,0.054,8.006,2010
Kevin Durant,201142,39.5,35-40,6763,6774,5.541,-2.591,8.132,-0.654,-1.384,6.195,-1.207,7.402,2010
Ray Allen,951,35.24,35-40,7092,7060,4.826,-1.994,6.82,-0.654,-1.384,5.479,-0.61,6.089,2010
Deron Williams,101114,36.86,35-40,6282,6278,5.392,-1.183,6.574,-0.654,-1.384,6.045,0.202,5.843,2010
Anderson Varejao,2760,28.5,25-30,4534,4524,3.814,-2.714,6.528,-1.708,-1.419,5.522,-1.295,6.817,2010
Dwight Howard,2730,34.67,30-35,6300,6258,4.11,-2.402,6.511,-1.208,-1.65,5.317,-0.752,6.069,2010
Kobe Bryant,977,38.84,35-40,7182,7159,4.081,-2.179,6.26,-0.654,-1.384,4.734,-0.795,5.529,2010
Vince Carter,1713,30.81,30-35,5271,5245,2.203,-3.694,5.897,-1.208,-1.65,3.411,-2.044,5.455,2010
Andre Miller,1889,30.48,30-35,4892,4890,3.285,-2.177,5.462,-1.208,-1.65,4.493,-0.527,5.02,2010
Steve Nash,959,32.84,30-35,6379,6352,4.655,-0.647,5.303,-1.208,-1.65,5.863,1.002,4.861,2010
Chris Andersen,2365,22.3,20-25,3587,3610,2.633,-2.413,5.046,-1.917,-1.236,4.55,-1.177,5.727,2010
Al Horford,201143,35.12,35-40,5928,5892,3.596,-1.444,5.041,-0.654,-1.384,4.25,-0.06,4.31,2010
Matt Barnes,2440,25.89,25-30,4605,4595,3.425,-1.488,4.914,-1.708,-1.419,5.133,-0.069,5.203,2010
Manu Ginobili,1938,28.66,25-30,4831,4822,3.492,-1.268,4.759,-1.708,-1.419,5.2,0.151,5.048,2010
Chris Bosh,2547,36.08,35-40,4887,4861,4.012,-0.742,4.754,-0.654,-1.384,4.666,0.643,4.023,2010
