Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Kevin Garnett,708,40.51,40+,6888,6859,10.087,-3.344,13.431,0.583,-1.802,9.504,-1.542,11.046,2003
Tim Duncan,1495,39.29,35-40,7918,7884,7.057,-4.536,11.593,-1.006,-2.095,8.062,-2.442,10.504,2003
Dirk Nowitzki,1717,39.01,35-40,7423,7412,7.901,-2.822,10.722,-1.006,-2.095,8.906,-0.727,9.633,2003
Kobe Bryant,977,41.51,40+,7557,7532,8.598,-0.847,9.445,0.583,-1.802,8.015,0.955,7.06,2003
Shaquille O'Neal,406,37.81,35-40,5837,5817,7.398,-1.806,9.205,-1.006,-2.095,8.404,0.288,8.116,2003
Ray Allen,951,37.89,35-40,5325,5326,6.941,-1.782,8.723,-1.006,-2.095,7.947,0.313,7.634,2003
Tracy McGrady,1503,39.33,35-40,6349,6347,8.183,-0.229,8.413,-1.006,-2.095,9.189,1.866,7.323,2003
Steve Francis,1883,41.01,40+,6156,6141,6.698,-1.693,8.391,0.583,-1.802,6.116,0.109,6.006,2003
Michael Finley,714,38.29,35-40,6691,6674,4.461,-2.852,7.313,-1.006,-2.095,5.467,-0.757,6.224,2003
Rasheed Wallace,739,36.3,35-40,5467,5450,4.287,-2.995,7.282,-1.006,-2.095,5.292,-0.9,6.193,2003
Antoine Walker,952,41.48,40+,6968,6922,6.599,-0.521,7.12,0.583,-1.802,6.016,1.281,4.735,2003
Stephon Marbury,950,40.1,40+,6764,6748,5.928,-1.107,7.036,0.583,-1.802,5.346,0.695,4.651,2003
Jason Kidd,467,37.36,35-40,7410,7383,3.483,-3.502,6.984,-1.006,-2.095,4.488,-1.407,5.895,2003
Doug Christie,57,33.87,30-35,6181,6182,3.741,-3.165,6.906,-0.893,-1.622,4.634,-1.543,6.177,2003
Peja Stojakovic,978,34.05,30-35,5889,5892,4.118,-2.347,6.464,-0.893,-1.622,5.011,-0.725,5.736,2003
Baron Davis,1884,37.86,35-40,3815,3815,2.516,-3.879,6.395,-1.006,-2.095,3.522,-1.785,5.306,2003
Shawn Marion,1890,41.66,40+,6992,6993,4.689,-1.703,6.391,0.583,-1.802,4.106,0.1,4.006,2003
Metta World Peace,1897,33.59,30-35,4901,4893,3.114,-3.195,6.309,-0.893,-1.622,4.007,-1.573,5.581,2003
Allen Iverson,947,42.49,40+,7725,7708,6.256,0.012,6.245,0.583,-1.802,5.674,1.814,3.86,2003
Jalen Rose,147,40.88,40+,6534,6511,7.009,1.03,5.979,0.583,-1.802,6.426,2.832,3.594,2003
Jamal Mashburn,469,40.56,40+,6500,6492,5.056,-0.917,5.974,0.583,-1.802,4.473,0.885,3.589,2003
Ben Wallace,1112,39.33,35-40,6511,6511,1.534,-4.382,5.916,-1.006,-2.095,2.54,-2.287,4.827,2003
Richard Jefferson,2210,35.93,35-40,6890,6867,2.962,-2.922,5.884,-1.006,-2.095,3.968,-0.827,4.795,2003
Kenyon Martin,2030,34.1,30-35,6503,6487,3.225,-2.583,5.807,-0.893,-1.622,4.118,-0.961,5.079,2003
Arvydas Sabonis,717,15.43,15-20,2430,2403,2.971,-2.748,5.719,-2.857,-1.522,5.828,-1.226,7.054,2003
Paul Pierce,1718,39.2,35-40,6709,6700,3.883,-1.745,5.628,-1.006,-2.095,4.889,0.35,4.539,2003
Manu Ginobili,1938,20.79,20-25,4045,4027,0.951,-4.659,5.61,-3.132,-1.928,4.083,-2.731,6.814,2003
Elton Brand,1882,39.52,35-40,4717,4731,3.4,-2.171,5.571,-1.006,-2.095,4.406,-0.076,4.482,2003
Scottie Pippen,937,29.88,25-30,3671,3677,2.647,-2.872,5.519,-1.937,-1.855,4.584,-1.018,5.602,2003
