col,player_side,coef,se,poss
0,2207_off,-0.00014975019019712943,0.02374630410187219,4.0
1,2207_def,0.0010893287752098398,0.018778692024804134,4.0
2,2544_off,0.039978430674176925,0.011321855328945337,15101.0
3,2544_def,-0.013086752640181592,0.010501484172601855,15083.0
4,2546_off,-0.009152792035761971,0.01644373986252736,3710.0
5,2546_def,0.006061713170202095,0.01442311691773309,3685.0
6,2617_off,-0.017805681443138047,0.02238009214450196,331.0
7,2617_def,0.0027462474168575054,0.018079228164601616,331.0
8,2730_off,-0.0014848080249527688,0.0183895380478899,1988.0
9,2730_def,0.00826151269985758,0.015728827924682515,2000.0
10,2738_off,-0.006840453668312468,0.019150300950378188,1561.0
11,2738_def,-0.018412855964667324,0.01620385206999084,1564.0
12,2772_off,-0.011714812287748186,0.02053867893552037,921.0
13,2772_def,0.0025956468363065037,0.017051933991645795,925.0
14,101108_off,0.010171444817413196,0.012063338274436822,12699.0
15,101108_def,-0.02438015344096712,0.011060194731343011,12665.0
16,101139_off,-0.00014975019019712943,0.023746304101872187,4.0
17,101139_def,0.00108932877520984,0.018778692024804134,4.0
18,101150_off,-0.002469967448068215,0.019308647713880665,1612.0
19,101150_def,0.0030131702856437716,0.01628671049949453,1611.0
20,200746_off,-7.111222092576303e-05,0.018371351725428278,2175.0
21,200746_def,-0.0022247169982019116,0.01569647842075565,2167.0
22,200752_off,0.006892521443883983,0.015864556951213703,3821.0
23,200752_def,-0.02256278209860782,0.014027091682966277,3823.0
24,200765_off,-0.03403694622572887,0.019080601741539388,1522.0
25,200765_def,-0.003867307171634669,0.01616399541104354,1535.0
26,200768_off,-0.0008616801760760054,0.011379019775857594,13033.0
27,200768_def,-0.02050935490101114,0.0105792501898721,13026.0
28,200782_off,0.010391711330954281,0.012074454028240264,10124.0
29,200782_def,-0.00906665885184168,0.011147424101523366,10111.0
30,200794_off,-0.010295334878642292,0.02088837016842164,784.0
31,200794_def,0.0003472563394959434,0.01727836910260321,772.0
32,201142_off,0.037292872988837024,0.011259836984273353,14877.0
33,201142_def,-0.021926720476252125,0.010403426975323878,14845.0
34,201143_off,0.01336908918106048,0.01250039724830623,14216.0
