col,player_side,coef,se,poss
0,2207_off,-0.00015174352906068697,0.023746142852670724,4.0
1,2207_def,0.0010884112210601993,0.018778564509448373,4.0
2,2544_off,0.041063784163805954,0.011324012971124552,15101.0
3,2544_def,-0.012232208672901198,0.01050322519635283,15083.0
4,2546_off,-0.00982868545529229,0.016442872964915995,3710.0
5,2546_def,0.005500506589099879,0.014422455171429269,3685.0
6,2617_off,-0.0179610335965772,0.022379988575007417,331.0
7,2617_def,0.0026424925877137524,0.018079133151237714,331.0
8,2730_off,-0.002016563922890711,0.018389227917895826,1988.0
9,2730_def,0.007821056596429123,0.015728584633276206,2000.0
10,2738_off,-0.00715298100228552,0.01915029585567553,1561.0
11,2738_def,-0.018627517925548516,0.01620377322843239,1564.0
12,2772_off,-0.012056107982571982,0.02053849120703932,921.0
13,2772_def,0.0023368459794923723,0.01705178432333541,925.0
14,101108_off,0.010650133298283812,0.012063869615302526,12699.0
15,101108_def,-0.02395746641427008,0.011060756135697703,12665.0
16,101139_off,-0.00015174352906068697,0.02374614285267073,4.0
17,101139_def,0.0010884112210601993,0.01877856450944837,4.0
18,101150_off,-0.003047095393072736,0.019308596651515634,1612.0
19,101150_def,0.00259667001168092,0.016286613313913904,1611.0
20,200746_off,-0.0008506061414874648,0.018371811869516582,2175.0
21,200746_def,-0.0028108649357967124,0.015696643681622477,2167.0
22,200752_off,0.006424593731257659,0.01586460761180072,3821.0
23,200752_def,-0.022934071496699487,0.014027120548746875,3823.0
24,200765_off,-0.03404740861859782,0.019080164180893464,1522.0
25,200765_def,-0.003882162127784016,0.016163665795999357,1535.0
26,200768_off,-0.00032393957921975785,0.011379568410542128,13033.0
27,200768_def,-0.020039013980680562,0.01057979875011154,13026.0
28,200782_off,0.010723658186115296,0.012074657164142875,10124.0
29,200782_def,-0.008814183667392146,0.011147519540481888,10111.0
30,200794_off,-0.010649109566486811,0.020888270672896368,784.0
31,200794_def,0.00011219656150033728,0.0172782514136231,772.0
32,201142_off,0.03896318053586405,0.011267497205098018,14877.0
33,201142_def,-0.02055100575780879,0.010409576516860955,14845.0
34,201143_off,0.014190070181294572,0.012502410054755511,14216.0
35,201143_def,-0.014559958774357024,0.011427547459296812,14195.0
36,201144_off,0.016067566137589574,0.011862297736127467,13532.0
37,201144_def,-0.009491124158655164,0.010893754679092494,13445.0
38,201145_off,-0.015761565161364177,0.012330470374036853,9513.0
39,201145_def,0.00827369002364489,0.011321132036255264,9548.0
40,201152_off,-0.009707894944704518,0.014948871369169675,4367.0
41,201152_def,0.002629029558966511,0.013416420643817758,4352.0
42,201565_off,-0.02673357766334309,0.016895485550524624,2822.0
43,201565_def,-0.012069865802701678,0.014781583770785221,2803.0
44,201566_off,-0.0019688969945624306,0.011234643622177347,13585.0
45,201566_def,0.001885446231594354,0.01038221520264214,13599.0
46,201567_off,0.0014731170083073341,0.012345621597263745,8726.0
47,201567_def,-0.013075391530893779,0.011377488268951243,8681.0
48,201568_off,0.00619586643492257,0.014965390740228244,5070.0
49,201568_def,0.010045194869526276,0.013359386248373697,5056.0
50,201569_off,0.0026857228831259797,0.011187590879730125,11796.0
51,201569_def,0.0002599062980721863,0.010442853171084954,11792.0
52,201571_off,-0.011059905533151415,0.018505823412624956,1825.0
53,201571_def,0.016518358454632412,0.015825902774337017,1815.0
54,201572_off,-0.008967585893016362,0.01230906220794292,11671.0
55,201572_def,-0.02937664685252714,0.01129676144081842,11645.0
