col,player_side,coef,se,poss
0,2207_off,-8.733641420776362e-05,0.017953939633139054,4
1,2207_def,0.0007563117398932595,0.017953941292798217,4
2,2544_off,0.03606825196224116,0.010556837480475287,13503
3,2544_def,-0.0109367964896673,0.010554100962235602,13489
4,2546_off,-0.009337472660292655,0.014639972870696252,3710
5,2546_def,-0.0004123374701785485,0.01465103670128779,3685
6,2617_off,-0.007382193372452021,0.017426591546286625,324
7,2617_def,0.0016965054531074874,0.01742211616060008,325
8,2730_off,-0.0033466198971142964,0.01575598333455126,1988
9,2730_def,0.0037800790135166327,0.01574644806311895,2000
10,2738_off,-0.0032736331937956047,0.016151494747918254,1444
11,2738_def,-0.018447078545563565,0.016148632477408685,1446
12,2772_off,-0.006467602429094255,0.016760403675454272,921
13,2772_def,-4.25405358398575e-05,0.01675605335549159,925
14,101108_off,0.007125877810312642,0.011094868847274654,11192
15,101108_def,-0.02194569625791725,0.011103215046553112,11151
16,101139_off,-8.733641420776362e-05,0.01795393963313905,4
17,101139_def,0.0007563117398932595,0.017953941292798214,4
18,101150_off,-0.0038500779563099908,0.01615694907704712,1612
19,101150_def,-0.00023043111849691512,0.016159089504713106,1611
20,200746_off,-0.0016263339186511094,0.01569368240296876,2175
21,200746_def,-0.004105771388260117,0.015699793562077402,2167
22,200752_off,0.0009129562162679046,0.014005410112458722,3821
23,200752_def,-0.019683470231081437,0.014002404344842654,3823
24,200765_off,-0.019359817389620334,0.016189148186712885,1439
25,200765_def,-0.006102192596278073,0.016178789841028905,1449
26,200768_off,-0.00675702445392276,0.010926156683732046,11018
27,200768_def,-0.013764108990674793,0.010926124684641499,11000
28,200782_off,0.007451903113675927,0.011708913452013943,8542
29,200782_def,-0.004971307679462053,0.011707897755824993,8535
30,200794_off,-0.006771833976320064,0.01692064291907733,774
31,200794_def,-0.0013384662699222668,0.01693593562565915,761
32,201142_off,0.025771522208917822,0.010610650055642698,13252
33,201142_def,-0.0182075336355288,0.010609681996548036,13221
34,201143_off,0.014490590185770978,0.011608936157976275,11331
35,201143_def,-0.007993550387717955,0.01161290844516127,11321
36,201144_off,0.015326293954075252,0.010841484121439803,12602
37,201144_def,-0.0041033235949385,0.010845956952368422,12527
38,201145_off,-0.016769966528274203,0.011454843862370856,8556
39,201145_def,0.011190003512236316,0.01144252116122715,8586
40,201152_off,-0.005829481404338396,0.013354208797289916,4174
41,201152_def,0.006296986695958911,0.013366318415929716,4157
42,201565_off,-0.01843217736215059,0.01441570349231016,2816
43,201565_def,-0.014687141614794706,0.014430637535764353,2797
44,201566_off,-0.003400084820914893,0.010385210447154014,13119
45,201566_def,0.0022171834266516218,0.010379276337255659,13135
46,201567_off,0.002445549381564985,0.011675244607821253,7765
47,201567_def,-0.013717425178468282,0.011688419913631194,7724
48,201568_off,0.004038582217224351,0.013454358508431291,4677
49,201568_def,0.009212311384211969,0.013469073611080564,4665
50,201569_off,0.001246108070251821,0.010370187882151771,11407
