target_season,model,train_seasons,actual_source,n_teams,mean_minute_coverage,net_rmse,net_mae,net_r2,net_corr,wins_corr
2000,simple,1997-1998-1999,player_sheet,29,0.916246854577962,4.268354588956846,3.1407018976268186,0.241425853812545,0.8383281288739647,0.8670629607144681
2000,complex,1997-1998-1999,player_sheet,29,0.916246854577962,4.1869101832593305,3.043237448411792,0.2700983514608063,0.8408296413192764,0.8636273047800379
2001,simple,1998-1999-2000,player_sheet,29,0.9261041632310781,3.8777588258536952,3.1166931362142702,0.23625990732647306,0.7955250242322528,0.8065404519852885
2001,complex,1998-1999-2000,player_sheet,29,0.9261041632310781,3.747213843708678,2.9874732233776458,0.28681704454088686,0.8202736370289514,0.8177292527358344
2002,simple,1999-2000-2001,player_sheet,29,0.904169718902218,3.7955502319207075,3.0986704065397,0.19037371293488425,0.6304227727008272,0.6318590361110783
2002,complex,1999-2000-2001,player_sheet,29,0.904169718902218,3.728961868796226,3.0418881554148793,0.21853236085933148,0.6289534871828092,0.6354585144506849
2003,simple,2000-2001-2002,player_sheet,29,0.910099934513543,3.8641147038859667,3.0743007506214988,0.2066807878892255,0.7401843064694636,0.7187381827171544
2003,complex,2000-2001-2002,player_sheet,29,0.910099934513543,3.7728889182124705,2.9919248433137,0.2436967090446962,0.746756184574251,0.7293062687660189
2004,simple,2001-2002-2003,player_sheet,29,0.9076095594101153,3.492458845308469,2.9423311201384377,0.21714991883218382,0.7376290073340757,0.6527902256455737
2004,complex,2001-2002-2003,player_sheet,29,0.9076095594101153,3.399609713522999,2.8626189782473923,0.2582216910427203,0.7537717696405002,0.6867260610570208
2005,simple,2002-2003-2004,player_sheet,30,0.9097781615384213,3.577782828830112,2.8651200810248496,0.19315980044152048,0.6842346852964404,0.6555792496924249
2005,complex,2002-2003-2004,player_sheet,30,0.9097781615384213,3.5350628421992423,2.802333965186966,0.21231267971938717,0.6826283294426947,0.6380428667158256
2006,simple,2003-2004-2005,player_sheet,30,0.907620956617451,3.49024471149629,2.775813320069862,0.238777843639441,0.7550028822294796,0.5975643994279597
2006,complex,2003-2004-2005,player_sheet,30,0.907620956617451,3.3554232044234094,2.6515042325973823,0.29645112614533187,0.7919375953141726,0.6511545574776805
2007,simple,2004-2005-2006,player_sheet,30,0.9133764413566308,3.530637306579914,3.1067688772243227,0.21526246959521067,0.7566494014731795,0.7218884056847807
2007,complex,2004-2005-2006,player_sheet,30,0.9133764413566308,3.4263722228266213,3.0548531968637858,0.2609270746975142,0.7573884974559393,0.7113890870419315
2008,simple,2005-2006-2007,player_sheet,30,0.9209995743430853,4.832938851141179,4.07769118010837,0.18851582361494656,0.7312505368595685,0.8115718729860215
2008,complex,2005-2006-2007,player_sheet,30,0.9209995743430853,4.790532430779114,3.982973385983701,0.20269401465631376,0.6991049663023946,0.79464320950878
2009,simple,2006-2007-2008,player_sheet,30,0.8947967345434314,4.104402105087571,3.2956367634447097,0.23550694900507263,0.7619464543321048,0.7866578340651416
2009,complex,2006-2007-2008,player_sheet,30,0.8947967345434314,4.0323164313595035,3.204127953790669,0.2621247389725092,0.7485914352630597,0.7844107286656942
2010,simple,2007-2008-2009,player_sheet,30,0.9057155440159278,4.176718138245071,3.568239279759695,0.2105392719898208,0.6343311342800954,0.6424679875296424
2010,complex,2007-2008-2009,player_sheet,30,0.9057155440159278,4.103915206408691,3.49057286348308,0.23782104670288184,0.6437960322904819,0.6524402639497991
2011,simple,2008-2009-2010,player_sheet,30,0.9161917685081343,3.9194432524984513,3.344218390525734,0.26302953172084076,0.8054799634139642,0.7917042607423724
2011,complex,2008-2009-2010,player_sheet,30,0.9161917685081343,3.8324683666745565,3.2629770679519794,0.2953742969593043,0.8148440600321631,0.8113609538582243
2012,simple,2009-2010-2011,player_sheet,30,0.8960718988290014,4.337125667861087,3.311645479152111,0.20137323224909043,0.7483390586745928,0.7815462314737995
2012,complex,2009-2010-2011,player_sheet,30,0.8960718988290014,4.246633490052563,3.245443761273866,0.2343515436396234,0.753586260892301,0.7846591471354517
2013,simple,2010-2011-2012,player_sheet,30,0.8986701081909382,4.030809700575352,3.315545414634335,0.24113232547909635,0.7972931581918057,0.7676823478041434
2013,complex,2010-2011-2012,player_sheet,30,0.8986701081909382,3.937406355979219,3.277165851491728,0.27589434447845185,0.7906456664828916,0.758519993298492
2014,simple,2011-2012-2013,team_ratings,30,0.9215841398341676,4.379945266506349,3.625768817458375,0.19327349066009636,0.6896525400271721,0.6887989516029136
2014,complex,2011-2012-2013,team_ratings,30,0.9215841398341676,4.299702783609391,3.534903391531546,0.22256187635896352,0.6911959119543631,0.6885239087147838
2015,simple,2012-2013-2014,team_ratings,30,0.9102419184442971,4.480467719660722,3.527405819505447,0.20459603008708627,0.7637489319621593,0.778758526629705
2015,complex,2012-2013-2014,team_ratings,30,0.9102419184442971,4.4251418318143045,3.4839171957335546,0.22411842488950506,0.7484734517355905,0.7639297852585973
2016,simple,2013-2014-2015,team_ratings,30,0.9151686288648005,4.621941897473094,3.7184950548588627,0.22219714014668934,0.7455162875315746,0.778649649858635
2016,complex,2013-2014-2015,team_ratings,30,0.9151686288648005,4.49690972493963,3.6307456654634134,0.2637099852446104,0.7560255122941751,0.7932486147638347
2017,simple,2014-2015-2016,team_ratings,30,0.9031651732541826,3.6606556417249068,2.808684342514792,0.28284244265359704,0.8575914355822332,0.8361496180064606
2017,complex,2014-2015-2016,team_ratings,30,0.9031651732541826,3.544007382764844,2.7101746861503404,0.32781926407424034,0.8697837217106311,0.8524158967116827
2018,simple,2015-2016-2017,team_ratings,30,0.8786845108947486,3.860568537821585,2.9989945504186872,0.2520701688387941,0.7689760433066833,0.7796713089016883
2018,complex,2015-2016-2017,team_ratings,30,0.8786845108947486,3.7682675126726495,2.9180622102054774,0.2874066359829296,0.7766642154490169,0.7892883322134225
2019,simple,2016-2017-2018,team_ratings,30,0.9010422623141509,4.118217021617239,3.1749567978254922,0.25811581865405,0.7940442576185222,0.7967374263026599
2019,complex,2016-2017-2018,team_ratings,30,0.9010422623141509,4.011851021035753,3.080986803517604,0.2959439303379582,0.7816375095142113,0.7842517962372471
2020,simple,2017-2018-2019,team_ratings,30,0.8899218872661052,4.2167481454603095,3.3947461137451023,0.19278700710731256,0.7753826836906165,0.7770585785821603
2020,complex,2017-2018-2019,team_ratings,30,0.8899218872661052,4.134228009403231,3.3120432041824133,0.22407156323275323,0.8007430331293822,0.8090649036517443
2021,simple,2018-2019-2020,team_ratings,30,0.8981958548819312,4.479985907133413,3.460359460505505,0.1557814439290247,0.6418683289422253,0.6400026156772438
2021,complex,2018-2019-2020,team_ratings,30,0.8981958548819312,4.434291535304646,3.411426382787724,0.17291511622431177,0.6334968723012759,0.6219404370477778
2022,simple,2019-2020-2021,team_ratings,30,0.8943918294136601,4.366441549804747,3.511818299418144,0.18049810244924813,0.6909652053074644,0.6884705011057584
2022,complex,2019-2020-2021,team_ratings,30,0.8943918294136601,4.289875074529944,3.4435144118853436,0.20898639692100074,0.6891221842605961,0.6998470680546306
2023,simple,2020-2021-2022,team_ratings,30,0.9136512153901396,3.371306247121453,2.4940783509957067,0.2613622821941396,0.7818208751143788,0.8101284250502052
2023,complex,2020-2021-2022,team_ratings,30,0.9136512153901396,3.2990665138776607,2.4481579576663752,0.29267792335787124,0.7719963714522037,0.8095512309175055
2024,simple,2021-2022-2023,team_ratings,30,0.9127285888131487,4.973650062995142,3.9317493430722674,0.18951014686221124,0.8146625976995874,0.8486719248615358
2024,complex,2021-2022-2023,team_ratings,30,0.9127285888131487,4.9091878366207675,3.8321804473457126,0.21038310986929476,0.7968617196811919,0.8329507263026392
2025,simple,2022-2023-2024,team_ratings,30,0.9012322217900393,5.345332954052473,4.187380637584794,0.18499852307341147,0.7500459180042905,0.7544693030360999
2025,complex,2022-2023-2024,team_ratings,30,0.9012322217900393,5.238886822252926,4.088089540181692,0.21713495122768955,0.7516457694002973,0.7524602958807097
