col,player_side,coef,se,poss
0,2207_off,-8.333266517699626e-05,0.01731980364114825,4
1,2207_def,0.0007023934007250498,0.017319805041084244,4
2,2544_off,0.03427214589463038,0.010174896981838046,15101
3,2544_def,-0.012019220899856997,0.010170182101630145,15083
4,2546_off,-0.009765441472672361,0.014264210970306015,3710
5,2546_def,-0.0004963337874701262,0.014274809799619181,3685
6,2617_off,-0.008273763315745662,0.016831045126478004,331
7,2617_def,0.001987695578926688,0.01682858732186853,331
8,2730_off,-0.0036706614591407926,0.015309630430851234,1988
9,2730_def,0.003741315495361971,0.015300771283502523,2000
10,2738_off,-0.0035480243967621694,0.01556973766019193,1561
11,2738_def,-0.014674336142874932,0.01556648862928368,1564
12,2772_off,-0.0062619203848384855,0.016235789390658426,921
13,2772_def,8.675929028166642e-05,0.016231800065417995,925
14,101108_off,0.008969298576414242,0.010628265566657033,12699
15,101108_def,-0.019934377192114914,0.010633351981929441,12665
16,101139_off,-8.333266517699626e-05,0.017319803641148247,4
17,101139_def,0.0007023934007250498,0.01731980504108425,4
18,101150_off,-0.0035245427165656092,0.015670137491470625,1612
19,101150_def,0.0006645135256254635,0.015672051924739878,1611
20,200746_off,-0.0017313125977773541,0.01524409121190254,2175
21,200746_def,-0.004090986883480792,0.01524987694227656,2167
22,200752_off,0.0012614250212392307,0.013671907709477321,3821
23,200752_def,-0.018839614793361426,0.013669262714505897,3823
24,200765_off,-0.019680703085153906,0.015633428734264612,1522
25,200765_def,-0.005180170468717767,0.015621168099471588,1535
26,200768_off,-0.003417299782964623,0.010239651905191556,13033
27,200768_def,-0.015191481107379223,0.010236053216046702,13026
28,200782_off,0.006158709549707329,0.010994491989054504,10124
29,200782_def,-0.005138836776664853,0.010995450717456463,10111
30,200794_off,-0.006105239083429698,0.016370345915981094,784
31,200794_def,-0.0009022730449633062,0.016383230410754776,772
32,201142_off,0.027434456727730695,0.010100760207698766,14877
33,201142_def,-0.01427139164071044,0.010099695709799236,14845
34,201143_off,0.012906283717212565,0.011025336165676402,14216
35,201143_def,-0.01110502972726389,0.011030172616096972,14195
36,201144_off,0.011952107133227198,0.010501836600433273,13532
37,201144_def,-0.004993900172276862,0.010504319735398037,13445
38,201145_off,-0.017108276136369296,0.010947510007011689,9513
39,201145_def,0.011101202856922185,0.010935568907322361,9548
40,201152_off,-0.006147787973651386,0.012969058414016067,4367
41,201152_def,0.005861038773191289,0.01297951155035708,4352
42,201565_off,-0.0176343742265246,0.014058023331119256,2822
43,201565_def,-0.013505605210801169,0.0140719406697978,2803
44,201566_off,-5.357689960623763e-05,0.010081010970113777,13585
45,201566_def,0.003967066656039428,0.010076522904926324,13599
46,201567_off,0.002312522004051043,0.0110709394342898,8726
47,201567_def,-0.012382151303634452,0.01108324472002724,8681
48,201568_off,0.00023387898986347865,0.012966506609215984,5070
49,201568_def,0.008004479770747731,0.01298033410242348,5056
50,201569_off,0.0007083364147985549,0.010086676454659466,11796
51,201569_def,0.004233575465574726,0.010084987701849001,11792
52,201571_off,-0.007053436763239128,0.015372552825879085,1825
53,201571_def,0.010883117646341044,0.015380814234666963,1815
54,201572_off,-0.0037188346689223085,0.01079394314804086,11671
55,201572_def,-0.02279719764791483,0.010797829406992513,11645
56,201577_off,-0.019796434587811534,0.014951011280452599,2011
57,201577_def,-0.0017309988337238348,0.014954679737318309,2003
58,201580_off,-0.01527291207813589,0.013395371711819355,4143
59,201580_def,-0.008164069167915214,0.013403111874883517,4132
60,201586_off,-0.017332604455114864,0.014917410526551224,2229
61,201586_def,-0.00584479530545641,0.014913559570046737,2235
62,201587_off,0.005219929157325037,0.010636465288466006,9967
63,201587_def,-0.006598769761409608,0.010645454192313207,9939
64,201588_off,-0.00774585896621563,0.01334200629563652,4439
65,201588_def,-0.035158364704484704,0.013352964100946678,4416
66,201599_off,-0.020184724200847576,0.013725646148717721,3354
67,201599_def,0.00961036524097941,0.013696887330591809,3394
68,201609_off,0.000498979306857341,0.013983797318706616,3081
69,201609_def,0.004680626216221496,0.013996375209736012,3066
70,201933_off,-0.00795623866548637,0.014067933747198337,3218
71,201933_def,-0.0034817841739313853,0.014077500361241285,3201
72,201935_off,0.03248485382435147,0.00980536833416012,15813
73,201935_def,0.00897779418484095,0.009798920705519885,15819
74,201937_off,-0.013466638236130105,0.014143891705476608,3178
75,201937_def,-0.02633803705128036,0.014153412926186704,3164
76,201939_off,0.034053011631661134,0.010952259690436256,16494
77,201939_def,-0.00752337331624205,0.010957015468450964,16381
78,201942_off,0.01907966824414165,0.010854595516125566,17645
79,201942_def,-0.003210496018284331,0.010851607520051668,17648
80,201949_off,-0.011180715141269577,0.014485068508532293,2851
81,201949_def,-0.01119358915250911,0.014472992502315592,2869
82,201950_off,0.031772303821610046,0.01001887287879478,15123
83,201950_def,-0.017150552073007367,0.010022548601435699,15087
84,201954_off,-0.0015939223274281772,0.017212284842377478,84
85,201954_def,0.0010398951617161813,0.01721228737822869,84
86,201959_off,-0.007273791640005603,0.013880247521176791,3241
87,201959_def,-0.012793200082113793,0.01387212995863681,3250
88,201961_off,-0.008156371995664885,0.015558948344732926,1644
89,201961_def,0.0016800228528757886,0.015564835422014799,1636
90,201976_off,-0.01108583284288853,0.010360582639168999,10156
91,201976_def,-0.01026539786450359,0.01034444127735317,10208
92,201980_off,-0.011594328798944549,0.013972302631172424,3722
93,201980_def,-0.006072906313625984,0.013972307382726378,3720
94,201988_off,-0.00415027355925325,0.01219147619315281,7075
95,201988_def,-0.0009222521334107088,0.01219610232259441,7041
96,202066_off,-0.03208070207924693,0.014070428132482781,3177
97,202066_def,0.008255230406139461,0.014072959540925136,3176
98,202083_off,-0.008065138160152661,0.01250712611319237,5428
99,202083_def,-0.011732507607486658,0.012475373459166201,5500
100,202322_off,-0.01957995421705966,0.015160425835380032,1589
101,202322_def,-0.0008371080217575268,0.015158836194099561,1591
102,202324_off,-0.019439035810333946,0.015861554264661328,1318
103,202324_def,-0.008954042867160308,0.01585312260207191,1328
104,202326_off,0.013276315554790245,0.015645584728657652,1587
105,202326_def,0.0005002498782336838,0.01565983637072867,1569
106,202328_off,0.00048174950203646417,0.016792031134190366,412
107,202328_def,-1.380656627148385e-05,0.016790988807371454,413
108,202330_off,-0.007616076200506852,0.011255191526511905,9150
109,202330_def,-0.009498388048857727,0.01125937201675477,9149
110,202331_off,0.034518111083219116,0.011111789175259224,11334
111,202331_def,-0.021642291280582437,0.01112240749158976,11294
112,202334_off,-0.00851980623625134,0.016822411640423106,393
113,202334_def,-0.00437344083334886,0.016826068214693173,390
114,202339_off,-0.016940395903708483,0.014725511500669182,2779
115,202339_def,-0.015728968144679015,0.014719242044538679,2789
116,202340_off,-0.019674054571365517,0.01475556291352123,2876
117,202340_def,-0.0018034946133563862,0.014742684342074904,2900
118,202355_off,0.015000645139525901,0.015080396591319344,2449
119,202355_def,-0.008138523053993846,0.015064954209468118,2475
120,202357_off,-0.004895507592890724,0.01490480049617973,2606
121,202357_def,-0.010444712211092416,0.014908140447822732,2599
122,202362_off,0.0016687995225390273,0.015584254210489874,1659
123,202362_def,0.009376253516152547,0.015584863643056241,1657
124,202397_off,-0.026319450831803703,0.01280947435893757,4660
125,202397_def,0.008516499507101786,0.012805826191905801,4666
126,202681_off,0.043639297517057266,0.01040823870568602,11467
127,202681_def,-0.005013763404866406,0.010415602633887817,11441
128,202683_off,-2.5501950729466997e-05,0.01634467394102602,831
129,202683_def,-0.006946465165944556,0.01635611107910101,820
130,202684_off,0.0015043163629180102,0.013949662165892484,3040
131,202684_def,0.004873073081922508,0.013953473653592582,3036
132,202685_off,0.010151566148971832,0.011442887535544824,13058
133,202685_def,0.007492537701792704,0.011446323263713894,13008
134,202687_off,-0.0019502850108655738,0.012660424051419983,4753
135,202687_def,-0.0008568123783610569,0.012655352424094064,4760
136,202688_off,-0.0024100159761825833,0.017143409000168107,136
137,202688_def,-0.0010098329557750101,0.017147304192875627,133
138,202689_off,-0.00965490569233302,0.015172207843640375,2193
139,202689_def,0.004097222280300092,0.015170123642349811,2198
140,202691_off,0.0051134213615926455,0.010629476686141184,14177
141,202691_def,0.014073894632358922,0.01063024415200398,14118
142,202692_off,0.003320756792501486,0.01096498331510495,9386
143,202692_def,-0.004500686547099955,0.0109723788677347,9357
144,202693_off,-0.010260741558312123,0.01484532405898578,1831
145,202693_def,0.0013304351385995527,0.014849587976346067,1830
146,202694_off,-0.0037244638677847914,0.01136605156331603,8751
147,202694_def,0.010663689944205346,0.01137388134810655,8734
148,202695_off,0.026537366612489403,0.011615270136930957,8388
149,202695_def,-0.023019615453107063,0.011625788996416198,8358
150,202696_off,-0.0012072232027577404,0.0118409790956528,16243
151,202696_def,0.008664473212405108,0.01182485500056326,16211
152,202699_off,0.007052320162001153,0.010875693878783392,16344
153,202699_def,-0.004784866594371469,0.0108689982790842,16333
154,202704_off,-0.02350477596810364,0.010554280840760598,12003
155,202704_def,-0.0109643941288243,0.010560809791542095,11996
156,202709_off,-0.0025002045418381132,0.012358312061800582,6325
157,202709_def,-0.0032549303879100345,0.012356252055315575,6325
158,202710_off,0.027193135958981745,0.010307271788996198,15284
159,202710_def,-0.009514508876576554,0.010309216120347723,15243
160,202711_off,0.0078031140546984306,0.010731069308130245,11582
161,202711_def,0.023899760670532115,0.010733256138703972,11578
162,202722_off,-0.005687889782847347,0.012916892177719404,4369
163,202722_def,-0.0011336158553015086,0.012931585921203756,4350
164,202738_off,-0.0033211233937996474,0.016369978668101037,746
165,202738_def,-0.0008558168802311667,0.01636777786165222,747
166,202954_off,-0.004230070722773538,0.016540097251170966,641
167,202954_def,-0.00041160991592625195,0.01653730952162079,644
168,203076_off,0.0036464108887016788,0.010739157517037586,13982
169,203076_def,-0.030568788137502773,0.010735035761476315,13964
170,203078_off,0.004096243154293105,0.010849493054471726,9972
171,203078_def,0.002126597333073655,0.010853992063851358,9951
172,203081_off,0.044939640434591914,0.010652329245137185,11870
173,203081_def,-0.001442524855346671,0.010654651716654612,11840
174,203082_off,-0.007287857682182775,0.012508514857314157,5892
175,203082_def,0.01736249149633201,0.01251862485306667,5862
176,203083_off,0.006744598222084512,0.011772283492262925,7531
177,203083_def,-0.009829448638778956,0.011755535404769124,7576
178,203084_off,0.0010015480230182458,0.011110688577253674,16330
179,203084_def,0.011238582638328989,0.011108427736909295,16324
180,203085_off,-0.006738890723346833,0.012835628813505988,5404
181,203085_def,0.01087284311124318,0.012816385054683715,5448
182,203086_off,0.0016216238723219334,0.01690907436299267,243
183,203086_def,0.004724249874733831,0.01690883349372302,243
184,203087_off,1.9304373949555224e-05,0.015318851184342236,1888
185,203087_def,-0.006845739265739995,0.015319884218009935,1886
186,203090_off,-0.010989206216481346,0.015487841637930147,1753
187,203090_def,-0.005735726248956973,0.015461687631597021,1785
188,203095_off,-0.02735996999951788,0.012471912051574854,6836
189,203095_def,-0.011869531639338944,0.012467958279392122,6838
190,203107_off,-0.014978551409099943,0.015369725403902215,1823
191,203107_def,0.001056031827796441,0.015356556152454367,1838
192,203109_off,-0.0005071393019770508,0.011704579915142439,7855
193,203109_def,-0.005456249266999226,0.01169631479901975,7884
194,203110_off,0.006875165294044233,0.011104654716133052,13023
195,203110_def,-0.04026579287516664,0.011109839226731642,12987
196,203114_off,0.011577146592614093,0.011141677901150253,9878
197,203114_def,-0.0019102745055506137,0.01115248257742565,9814
198,203115_off,-0.028648653260742635,0.01265814911217827,7006
199,203115_def,-0.0007491904061579167,0.012664646666488713,6992
200,203145_off,-0.015515071482754949,0.01602508401853477,1132
201,203145_def,-0.005357669151871417,0.016007676286366568,1150
202,203200_off,-0.015237797236954292,0.011549830890209747,7427
203,203200_def,0.0020060096435808527,0.011541078179520334,7445
204,203210_off,-0.013144130037858155,0.013521660445464741,4123
205,203210_def,0.00424789940024527,0.013493601689262228,4172
206,203457_off,-0.012356690842852198,0.015499750351393294,1549
207,203457_def,-0.0018663012933893847,0.015498190607172469,1553
208,203458_off,-0.0026183900552135793,0.014276252823990082,2673
209,203458_def,-0.024173606467656077,0.014267569413166568,2683
210,203463_off,-0.022188097138662054,0.014843865546314684,2608
211,203463_def,0.006361962132961527,0.01484194024995676,2610
212,203468_off,0.012233914033655686,0.010694614808603859,14935
213,203468_def,0.010641570104973184,0.010689666138976454,14871
214,203469_off,-0.0002936133338874138,0.014507628566678105,2183
215,203469_def,1.0276464680290128e-05,0.014490427682407138,2200
216,203471_off,-0.0013342254571535785,0.009469546641967723,13573
217,203471_def,-0.007409325005781439,0.009471703763631472,13568
218,203473_off,-0.016749589245872314,0.014309390507143922,3271
219,203473_def,-0.008473667186903084,0.014290197242024492,3293
220,203476_off,-0.016818953971783266,0.01540366036994641,1515
221,203476_def,0.00412689715826905,0.015396618859383995,1522
222,203482_off,0.005520872922874073,0.01105556629222295,9288
223,203482_def,0.013374867681803616,0.011058850977158832,9250
224,203484_off,0.010263671766642165,0.010817504412486441,15868
225,203484_def,-0.007316705136060595,0.010817112275464863,15833
226,203486_off,0.0028623709853509483,0.011375035801505095,9580
227,203486_def,0.0009194662315850203,0.011371857531344072,9600
228,203487_off,-0.001492201319698653,0.017169740740070594,88
229,203487_def,0.0038848915915832803,0.01717323894282003,86
230,203488_off,0.0030956739242938656,0.012651627729542722,4536
231,203488_def,-0.009305649241583372,0.012679457794910311,4481
232,203490_off,-0.001166151622907036,0.013497219736354555,4280
233,203490_def,-0.016646243708992547,0.013531087278204852,4222
234,203493_off,-0.005520957852589985,0.011178677940453245,10625
235,203493_def,0.0002630142509110457,0.011176741611013584,10609
236,203496_off,-0.007142321110419622,0.012098121411290276,6628
237,203496_def,-0.022369728853629204,0.012101068869984494,6610
238,203497_off,-0.0012194210815129908,0.010735996881046848,14696
239,203497_def,-0.028691036997924257,0.01073437161406493,14672
240,203500_off,0.030433750511844063,0.01297833091918105,6710
241,203500_def,-0.009148768165459755,0.012991247048035656,6670
242,203501_off,0.0064341863113446885,0.010651528582627199,11172
243,203501_def,0.004986452252786278,0.01065029993615868,11189
244,203503_off,-0.010774391505221454,0.015490529608960536,1673
245,203503_def,0.00389401997480165,0.015491659708458684,1672
246,203504_off,-0.009454406883583854,0.01621246658995539,953
247,203504_def,-0.0039058235673736104,0.01620187998510067,963
248,203506_off,-0.008185904482199203,0.013764009104067276,3403
249,203506_def,0.00027459847281497286,0.013757839720297942,3411
250,203507_off,0.03444169697284546,0.010388573409565758,15381
251,203507_def,-0.020355179930189368,0.010385391727304075,15337
252,203516_off,0.0005681378736027611,0.017169771503734853,116
253,203516_def,0.00047706713706705916,0.0171723477344846,114
254,203521_off,-0.009863901305338181,0.016598332613776533,440
255,203521_def,-0.00043544392127799496,0.016575641254923293,455
256,203524_off,-4.9239040193638335e-05,0.016960939539343682,279
257,203524_def,-0.007186979066521594,0.01696700358300253,274
258,203526_off,-0.0011422549706219434,0.013811703786208274,3748
259,203526_def,-0.0023220654370297777,0.013800562519274244,3765
260,203552_off,-0.0088621181630338,0.011282348984280497,8387
261,203552_def,-0.00535319345893836,0.011295075159280377,8346
262,203585_off,9.752471766331148e-05,0.014490731160840969,2652
263,203585_def,-0.007735381367577436,0.014487443471296811,2656
264,203648_off,-0.020380628431722503,0.015188850429735168,1764
265,203648_def,0.014027607000542022,0.015181572060319753,1772
266,203658_off,-0.003823026611786762,0.017274628371971266,37
267,203658_def,0.0003900372023865925,0.01727463541744669,37
268,203816_off,-0.0010454104493214467,0.017277528114620494,35
269,203816_def,-0.00064735760567846,0.01727889015651391,34
270,203897_off,0.0008799674107194435,0.011271571380751232,12535
271,203897_def,-0.006911296308377656,0.011267566640722078,12529
272,203901_off,-0.012778211165634644,0.01600029200435039,1162
273,203901_def,-0.004544515776651584,0.016007259754150453,1154
274,203903_off,0.011119280646418128,0.010739354946737082,12150
275,203903_def,0.005483559904880579,0.010740173829454453,12132
276,203914_off,0.0028631147376482957,0.01160359900343758,8691
277,203914_def,0.005877421407747712,0.011608067717101314,8676
278,203915_off,0.012881433349303873,0.009695086613822013,15008
279,203915_def,0.0015987042361451573,0.009687364667890691,15049
280,203917_off,-0.0010291450766420295,0.01716013510603149,123
281,203917_def,-0.004367248791911823,0.0171549186642818,127
282,203918_off,-0.0028524411207842735,0.015718251050544273,1434
283,203918_def,-0.0029629910006928584,0.015709178170149555,1444
284,203920_off,-0.0016427577947413074,0.014849987965636892,2418
285,203920_def,0.00046354507510135433,0.014843731204538762,2424
286,203924_off,-0.008536205772882626,0.010817480592812859,11240
287,203924_def,0.0013984713528683837,0.010812043747685471,11237
288,203925_off,-0.012225837016790688,0.013055279661305652,4462
289,203925_def,0.006745599137703073,0.013072084003226455,4434
290,203926_off,0.0024744093395053673,0.011546847555173365,7316
291,203926_def,0.03261569737013029,0.01157664568052811,7238
292,203932_off,0.0225851090035013,0.011623392098107557,15481
293,203932_def,-0.02160604893827415,0.011621154536588189,15425
294,203933_off,0.0028345378612807943,0.014725999807936613,1867
295,203933_def,-0.01586624187816749,0.014724813615220855,1868
296,203935_off,0.00115934680216837,0.011084983155415961,12714
297,203935_def,-0.016331966921352588,0.01107888997617085,12750
298,203937_off,-0.00842942028449593,0.010389079288667682,11576
299,203937_def,-0.013762954866026779,0.010386517597675761,11587
300,203939_off,0.012285561903655947,0.01175235326129516,8569
301,203939_def,-0.00195382651442437,0.011740759684354738,8607
302,203943_off,7.751621696712861e-05,0.016734365045604417,347
