col,player_side,coef,se,poss
0,2207_off,-0.0001303929954555815,0.02374777632616337,4.0
1,2207_def,0.00107715478489288,0.018779856290984713,4.0
2,2544_off,0.04081542578012362,0.011322232283291598,15101.0
3,2544_def,-0.013806660308187158,0.010501876051472753,15083.0
4,2546_off,-0.008427870579961843,0.01644459153593548,3710.0
5,2546_def,0.005548427272010878,0.014423915225134894,3685.0
6,2617_off,-0.017957438708687132,0.022381474339807816,331.0
7,2617_def,0.002854256701795398,0.01808034571517687,331.0
8,2730_off,-0.0013427394995333421,0.01839067246150253,1988.0
9,2730_def,0.008118447373352366,0.01572979630090813,2000.0
10,2738_off,-0.006950691356443255,0.019151484965051115,1561.0
11,2738_def,-0.018310817037787443,0.016204853358521492,1564.0
12,2772_off,-0.011232545389060686,0.020539892883228397,921.0
13,2772_def,0.002249660726851183,0.017052954363603476,925.0
14,101108_off,0.010440175029111867,0.01206405477567599,12699.0
15,101108_def,-0.02462382075052862,0.011060852283003676,12665.0
16,101139_off,-0.0001303929954555815,0.02374777632616337,4.0
17,101139_def,0.00107715478489288,0.018779856290984717,4.0
18,101150_off,-0.0020194828380684345,0.0193097896733356,1612.0
19,101150_def,0.00274136777787064,0.016287696474463584,1611.0
20,200746_off,-8.027696341153146e-05,0.0183724907533197,2175.0
21,200746_def,-0.0022041532194556094,0.01569745148490463,2167.0
22,200752_off,0.0059189928589103566,0.015865226783097153,3821.0
23,200752_def,-0.021817043497046204,0.014027753135674703,3823.0
24,200765_off,-0.034791025807059686,0.019081628228971338,1522.0
25,200765_def,-0.003363905473805452,0.016164915255432274,1535.0
26,200768_off,-0.00222196520447073,0.011378871119824045,13033.0
27,200768_def,-0.019293477692203933,0.01057917209242746,13026.0
28,200782_off,0.01062627458898407,0.012075178728171073,10124.0
29,200782_def,-0.009290160227735442,0.011148091721819207,10111.0
30,200794_off,-0.010347754720660698,0.020889664588287716,784.0
31,200794_def,0.00035484906414832995,0.017279440370392134,772.0
32,201142_off,0.03752789756551556,0.011260509344133937,14877.0
33,201142_def,-0.02212507673430067,0.010404052138860276,14845.0
34,201143_off,0.014375730182191796,0.012500746489818512,14216.0
35,201143_def,-0.01611981072517012,0.011426027450494147,14195.0
36,201144_off,0.015011241840533127,0.011862788397703387,13532.0
37,201144_def,-0.009552338745427028,0.010894167039545708,13445.0
38,201145_off,-0.01709172821277152,0.012329880304742564,9513.0
39,201145_def,0.008203409821387347,0.01132072427866817,9548.0
40,201152_off,-0.010669671687768393,0.014949723056053164,4367.0
41,201152_def,0.0031387777838925222,0.013417180458470927,4352.0
42,201565_off,-0.025926491438269254,0.01689643935257698,2822.0
43,201565_def,-0.012613963581133949,0.01478248118270882,2803.0
44,201566_off,-0.0017504900533658176,0.01123558930750855,13585.0
