team,pred_net_rating,pred_off,pred_def,total_minutes,matched_minutes,minute_coverage,run,source_file,actual_net_rating,actual_wins,team_ortg,team_drtg
NYK,2.8483320200774704,1.353636046313297,-1.494622161862996,19953.376666666667,19277.348333333335,0.9661196024799813,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,4.200000000000003,51,118.5,114.3
OKC,2.289626574560539,1.0859062504493788,-1.20373057003672,19703.11666666667,18161.95666666667,0.9217809026829089,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,12.799999999999997,68,120.3,107.5
ORL,1.3545406976865162,0.16618108202613807,-1.188173341674775,18422.075,16793.463333333333,0.9115945588829343,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-0.19999999999998863,41,109.4,109.6
PHI,0.8131367754758914,0.3117326909926407,-0.5014040844832505,19446.931666666667,14387.535,0.7398357358688719,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-6.299999999999997,24,111.9,118.2
PHO,1.7016968420499479,1.270042820906516,-0.43167146909268234,21059.495,18573.16,0.8819375773255722,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-3.0999999999999943,36,116.2,119.3
POR,-0.7934856261729394,-0.7546036502351382,0.038599352489585126,19834.43,18510.786666666667,0.9332653707047123,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-3.0,36,111.7,114.7
SAC,1.2383766578973687,0.9205926308847776,-0.317973636743565,20079.525,19322.091666666667,0.962278324146944,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,0.5,40,116.7,116.2
SAS,0.32261402776265824,0.05011168079907238,-0.2725426494369055,20653.281666666666,18449.76,0.8933088841652201,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-2.799999999999997,34,114.4,117.2
TOR,-0.20710167050520256,-0.279799422682305,-0.07300500549929752,18809.978333333333,13880.41,0.7379280163976797,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-4.299999999999997,30,110.5,114.8
UTA,-0.4733266239581954,-0.027111663457450502,0.4460632322313309,19597.205,15038.946666666667,0.7674026304601429,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-9.200000000000003,17,111.2,120.4
WAS,-0.6651025006197955,-0.4039948131163679,0.2613285861456789,18386.441666666666,11435.226666666666,0.6219379950715496,simple_rapm_with_playoff_indicator,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoff_indicator_players_2022_2024.csv,-12.299999999999997,18,106.8,119.1
ATL,0.25888994534634596,0.2532097742101516,-0.005609505256771766,20510.37,18094.266666666663,0.8822008899238124,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-1.1000000000000085,40,114.6,115.7
BKN,-1.0517281041130946,-0.6602490950038182,0.3915120808703349,18025.39833333333,17140.816666666666,0.9509258186527363,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-7.299999999999997,26,108.5,115.8
BOS,3.4192528751952884,1.860185364308676,-1.5590391825474832,19801.843333333334,19383.038333333334,0.9788502013196414,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,9.5,61,120.6,111.1
CHA,-0.09917581900977718,-0.12307185003042875,-0.02391938678774235,18609.108333333334,16040.375,0.8619636531035653,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-9.299999999999997,19,107.3,116.6
CHI,0.049656481635920804,0.08277751901457783,0.033077564215898886,19984.666666666668,18418.971666666668,0.9216551856423258,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-1.5,39,114.1,115.6
CLE,1.767586240267617,0.5013331666039252,-1.2663386592963806,20082.44,19478.22,0.9699130185375882,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,9.5,64,121.7,112.2
DAL,0.9449336719822264,0.38041013673122975,-0.5646385456536717,20921.701666666668,20865.085000000003,0.9972938785014381,simple_rapm_with_playoffs_home_rubber_band_season_effects,/Users/eadebayo/Documents/Projects/Sports Analytics/New SPM/rapm/simple_rapm/outputs/simple_rapm_with_playoffs_home_rubber_band_season_effects_players_2022_2024.csv,-1.2000000000000028,39,114.8,116.0
