Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
1997,Age-Adjusted RAPM,RAPM_at_ref,Poss,18,1.3913342057996223,1.5203370357144697,0.434095037549588,2.804750433538244,1.7854640988650055,1.733057348763127,100219.0
1998,Age-Adjusted RAPM,RAPM_at_ref,Poss,13,1.4946760180076133,0.2675143714946275,-0.9151629642855306,4.22583703571447,2.6164211216285027,1.7872061551005087,87303.0
1999,Age-Adjusted RAPM,RAPM_at_ref,Poss,14,2.4498673813712526,3.024113084839747,0.7220870357144696,3.9406278851704135,3.5557600217255305,3.6258150372058093,47152.0
2000,Age-Adjusted RAPM,RAPM_at_ref,Poss,14,2.0753860070455823,2.06083703571447,0.5425870357144695,3.23137891802734,3.392030023474204,3.445394731837005,76246.0
2001,Age-Adjusted RAPM,RAPM_at_ref,Poss,15,1.1410674921501651,1.6318370357144696,-1.0051629642855304,2.265514371494628,2.005105836281426,1.0017080817629729,68949.0
2002,Age-Adjusted RAPM,RAPM_at_ref,Poss,21,1.7538779863226281,1.792000433538244,-0.7161629642855303,3.031000433538244,3.179590201021292,2.5959386558348143,108082.0
2003,Age-Adjusted RAPM,RAPM_at_ref,Poss,18,1.04514405417222,0.6794187346263568,-0.2019936303404908,2.1214595840823005,1.70602641044333,1.7579909899780448,99846.0
2004,Age-Adjusted RAPM,RAPM_at_ref,Poss,16,2.229351891769853,1.380500433538244,-0.32624363034049086,3.6767095840823005,3.3253480126956325,3.1620673945428153,99011.0
2005,Age-Adjusted RAPM,RAPM_at_ref,Poss,27,2.4500806460986047,3.1678370357144696,0.15917570360454858,4.1787117981848665,3.435724060745336,3.609269505387875,140326.0
2006,Age-Adjusted RAPM,RAPM_at_ref,Poss,20,1.719226525471304,0.6818370357144696,-0.5254362718328127,4.522000433538244,3.000594142749538,2.7693465841929146,99205.0
2007,Age-Adjusted RAPM,RAPM_at_ref,Poss,21,2.4501261917876294,2.6888370357144695,0.2328370357144695,4.564000433538244,3.2033449396712133,3.350944990155626,98042.0
2008,Age-Adjusted RAPM,RAPM_at_ref,Poss,23,0.8771084195542016,0.7455143714946275,-0.30524259748356414,2.0669187346263564,1.2656171064169819,1.4164363519622427,109196.0
2009,Age-Adjusted RAPM,RAPM_at_ref,Poss,27,1.5030387207638582,1.8567117981848664,0.10791873462635676,3.1695143714946274,2.3250082241028673,2.268533390228802,155467.0
