cohort,Rookie_Age_Bin,era,series,value,n_players,weight_sum
All qualifying,22,2005-2014,RAPM VORP,0.7767459182234132,100,453724.0
All qualifying,22,2015-2024,RAPM VORP,0.21229834268814465,76,301271.0
Top 20 minutes,18,1997-2004,Age-Adjusted RAPM,3.9183877437219317,2,6610.0
Top 20 minutes,18,2005-2014,Age-Adjusted RAPM,0.3297117981848663,1,1304.0
Top 20 minutes,18,2015-2024,Age-Adjusted RAPM,,0,0.0
Top 20 minutes,19,1997-2004,Age-Adjusted RAPM,5.711903913443544,7,38175.0
Top 20 minutes,19,2005-2014,Age-Adjusted RAPM,3.2485277069669385,13,80949.0
Top 20 minutes,19,2015-2024,Age-Adjusted RAPM,2.9984340795015707,24,140077.0
Top 20 minutes,20,1997-2004,Age-Adjusted RAPM,3.4626438641708,23,149710.0
Top 20 minutes,20,2005-2014,Age-Adjusted RAPM,3.076308856710509,45,275122.0
Top 20 minutes,20,2015-2024,Age-Adjusted RAPM,2.6643961073898397,85,552963.0
Top 20 minutes,21,1997-2004,Age-Adjusted RAPM,2.4382388870962477,38,209177.0
Top 20 minutes,21,2005-2014,Age-Adjusted RAPM,2.6520865276227785,58,320839.0
Top 20 minutes,21,2015-2024,Age-Adjusted RAPM,2.373144285374741,51,305156.0
Top 20 minutes,22,1997-2004,Age-Adjusted RAPM,1.9349635752456582,58,281904.0
Top 20 minutes,22,2005-2014,Age-Adjusted RAPM,1.8051904783004549,83,425741.0
Top 20 minutes,22,2015-2024,Age-Adjusted RAPM,1.6425785213041468,40,232958.0
Top 20 minutes,18,1997-2004,Avg MPG,12.856494522691705,2,1561.0
Top 20 minutes,18,2005-2014,Avg MPG,7.3478260869565215,1,338.0
Top 20 minutes,18,2015-2024,Avg MPG,,0,0.0
Top 20 minutes,19,1997-2004,Avg MPG,19.983065256307817,7,9960.0
Top 20 minutes,19,2005-2014,Avg MPG,23.55834234831292,13,21048.0
Top 20 minutes,19,2015-2024,Avg MPG,23.240659842251574,24,34056.0
Top 20 minutes,20,1997-2004,Avg MPG,23.566561385262073,23,38212.0
Top 20 minutes,20,2005-2014,Avg MPG,22.329633927027505,45,69799.0
Top 20 minutes,20,2015-2024,Avg MPG,23.783236863512514,85,130598.0
Top 20 minutes,21,1997-2004,Avg MPG,21.330888640794807,38,54030.0
Top 20 minutes,21,2005-2014,Avg MPG,20.652735316923845,58,81365.0
Top 20 minutes,21,2015-2024,Avg MPG,22.34751494893639,51,72854.0
Top 20 minutes,22,1997-2004,Avg MPG,19.029804285965945,58,71178.0
Top 20 minutes,22,2005-2014,Avg MPG,19.41917432800999,83,108029.0
Top 20 minutes,22,2015-2024,Avg MPG,21.498016156380366,40,55038.0
Top 20 minutes,18,1997-2004,BRef BPM,-1.097565663036515,2,1561.0
Top 20 minutes,18,2005-2014,BRef BPM,-6.900000000000001,1,338.0
Top 20 minutes,18,2015-2024,BRef BPM,,0,0.0
Top 20 minutes,19,1997-2004,BRef BPM,-0.7203714859437751,7,9960.0
Top 20 minutes,19,2005-2014,BRef BPM,-1.6253420752565564,13,21048.0
Top 20 minutes,19,2015-2024,BRef BPM,-2.533441977918722,24,34056.0
Top 20 minutes,20,1997-2004,BRef BPM,-1.3849837747304512,23,38212.0
Top 20 minutes,20,2005-2014,BRef BPM,-1.4654837461854755,45,69799.0
Top 20 minutes,20,2015-2024,BRef BPM,-2.1232407846980803,85,130598.0
Top 20 minutes,21,1997-2004,BRef BPM,-1.043594299463261,38,54030.0
Top 20 minutes,21,2005-2014,BRef BPM,-1.6801388803539605,58,81365.0
Top 20 minutes,21,2015-2024,BRef BPM,-1.5202267548796224,51,72854.0
Top 20 minutes,22,1997-2004,BRef BPM,-1.6450743207170755,58,71178.0
Top 20 minutes,22,2005-2014,BRef BPM,-1.4930861157652113,83,108029.0
Top 20 minutes,22,2015-2024,BRef BPM,-1.8678840074130603,40,55038.0
Top 20 minutes,18,1997-2004,BRef VORP,0.2946188340807175,2,1561.0
Top 20 minutes,18,2005-2014,BRef VORP,-0.4000000000000001,1,338.0
Top 20 minutes,18,2015-2024,BRef VORP,,0,0.0
Top 20 minutes,19,1997-2004,BRef VORP,1.024487951807229,7,9960.0
Top 20 minutes,19,2005-2014,BRef VORP,0.3019621816799696,13,21048.0
Top 20 minutes,19,2015-2024,BRef VORP,-0.2250910265445149,24,34056.0
Top 20 minutes,20,1997-2004,BRef VORP,0.5461765937401861,23,38212.0
Top 20 minutes,20,2005-2014,BRef VORP,0.39063167094084433,45,69799.0
Top 20 minutes,20,2015-2024,BRef VORP,0.04539885756290296,85,130598.0
Top 20 minutes,21,1997-2004,BRef VORP,0.6698371275217474,38,54030.0
Top 20 minutes,21,2005-2014,BRef VORP,0.3319142137282615,58,81365.0
Top 20 minutes,21,2015-2024,BRef VORP,0.3600831800587476,51,72854.0
Top 20 minutes,22,1997-2004,BRef VORP,0.4521959032285257,58,71178.0
Top 20 minutes,22,2005-2014,BRef VORP,0.3566097992205797,83,108029.0
Top 20 minutes,22,2015-2024,BRef VORP,0.13960536356699008,40,55038.0
Top 20 minutes,18,1997-2004,RAPM VORP,0.5428320726172465,2,6610.0
Top 20 minutes,18,2005-2014,RAPM VORP,-2.057,1,1304.0
Top 20 minutes,18,2015-2024,RAPM VORP,,0,0.0
Top 20 minutes,19,1997-2004,RAPM VORP,1.7914024099541588,7,38175.0
Top 20 minutes,19,2005-2014,RAPM VORP,-0.3793922963841431,13,80949.0
Top 20 minutes,19,2015-2024,RAPM VORP,-0.530232257972401,24,140077.0
Top 20 minutes,20,1997-2004,RAPM VORP,0.3345206465833946,23,149710.0
Top 20 minutes,20,2005-2014,RAPM VORP,0.40336327883629813,45,275122.0
Top 20 minutes,20,2015-2024,RAPM VORP,-0.33702470870564577,85,552963.0
Top 20 minutes,21,1997-2004,RAPM VORP,0.6296226210338612,38,209177.0
Top 20 minutes,21,2005-2014,RAPM VORP,0.8734815000670118,58,320839.0
Top 20 minutes,21,2015-2024,RAPM VORP,0.2922656280721991,51,305156.0
Top 20 minutes,22,1997-2004,RAPM VORP,0.8619054997445939,58,281904.0
Top 20 minutes,22,2005-2014,RAPM VORP,0.8675717584165021,83,425741.0
Top 20 minutes,22,2015-2024,RAPM VORP,0.5305831694983645,40,232958.0
